unit,nace_r2,na_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
PCH_PRE_PERS_SCA,A,EMP_DC,AT	-1.9 	-0.8 	-1.4 	0.3 	0.4 	-1.1 	1.0 	-2.7 	-0.3 	-0.3 	-2.2 	1.1 
PCH_PRE_PERS_SCA,A,EMP_DC,BE	0.8 	0.2 	-1.5 	-0.5 	1.4 	0.5 	-1.0 	0.3 	-2.0 	-0.9 	1.9 	0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,BG	-1.8 p	0.6 p	-0.2 p	0.0 p	-11.4 p	1.1 p	1.4 p	-1.1 p	1.0 p	2.4 p	-5.1 p	-1.6 p
PCH_PRE_PERS_SCA,A,EMP_DC,CY	-0.2 	0.2 	1.0 	0.7 	-0.1 	0.3 	-1.2 	0.3 	0.5 	-0.1 	-0.3 	-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,DE	0.2 	-1.7 	-1.0 	-0.3 	-0.5 	-0.6 	-0.2 	0.5 	0.3 	-0.5 	-0.3 	-0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,DK	0.0 	1.4 	0.0 	-1.4 	0.0 	-1.4 	0.0 	1.4 	0.0 	0.0 	0.0 	0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,EA	0.0 	-0.1 	-0.6 	0.2 	0.5 	-0.1 	-0.1 	-0.6 	-0.6 	0.1 	0.3 	-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19	0.0 	-0.1 	-0.6 	0.2 	0.5 	-0.1 	-0.1 	-0.6 	-0.6 	0.1 	0.3 	-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,EE	2.0 	-6.7 	-2.9 	18.3 	-8.5 	-6.4 	0.1 	1.5 	-8.8 	-0.9 	-2.6 	3.9 
PCH_PRE_PERS_SCA,A,EMP_DC,ES	0.0 	1.3 	1.0 p	0.4 p	1.2 p	1.0 p	1.1 p	0.3 p	-0.6 p	-1.5 p	0.4 p	-0.3 p
PCH_PRE_PERS_SCA,A,EMP_DC,EU28	-0.6 	-0.2 	-2.6 	-0.8 	-1.2 	1.0 	1.3 	-0.3 	-1.0 	-0.4 	-0.4 	-1.3 
PCH_PRE_PERS_SCA,A,EMP_DC,FI	-1.9 	0.0 	-2.2 	1.6 	-1.2 	-1.6 	0.0 	1.4 	2.0 	-0.4 	0.1 	1.5 
PCH_PRE_PERS_SCA,A,EMP_DC,HR	0.2 d	-9.8 d	-3.7 d	-6.9 d	-6.1 d	3.9 d	-4.6 d	-1.0 d	1.7 d	-2.2 d	2.8 d	-16.1 d
PCH_PRE_PERS_SCA,A,EMP_DC,HU	0.7 	-0.9 	1.5 	-1.6 	-0.4 	-0.6 	-1.3 	-0.2 	-1.0 	1.5 	-0.6 	-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,IE	0.8 	-2.4 	2.9 	3.4 	-0.2 	-2.1 	-2.2 	-0.3 	0.2 	3.5 	0.8 	-8.7 
PCH_PRE_PERS_SCA,A,EMP_DC,IT	2.0 	-0.2 	1.1 	-0.2 	1.3 	0.0 	-0.5 	-0.4 	-2.0 	1.4 	0.9 	1.5 
