na_item,nace_r2,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
B1G,B-E,MIO_EUR_NSA,AL	331.0 	315.2 	316.8 p	325.8 p	312.2 p	354.9 p	322.7 p	348.4 p	310.1 p	352.5 p	405.0 p	448.7 p
B1G,B-E,MIO_EUR_NSA,AT	17126.8 	18033.6 	16821.1 	17258.0 	17248.7 	18541.9 	17936.1 	17972.6 	17852.1 	18710.0 	18762.3 	18894.6 
B1G,B-E,MIO_EUR_NSA,BE	15298.0 	15954.0 	15622.0 	15849.0 	15618.0 	16461.0 	16245.0 	16360.0 	16054.0 	16863.0 	16420.0 	16638.0 
B1G,B-E,MIO_EUR_NSA,BG	2374.7 	2268.4 	2292.5 	2620.2 	2729.0 	2488.9 	2394.8 	2754.7 	2888.0 	2862.2 	2461.0 p	2906.4 p
B1G,B-E,MIO_EUR_NSA,CH	29673.9 	30743.5 	29261.6 	30071.6 	29383.7 	29614.1 	30261.6 	29899.8 	28256.1 	28751.6 	28842.8 	29784.6 
B1G,B-E,MIO_EUR_NSA,CY	312.6 	296.9 	290.6 	311.0 	334.6 	327.1 	331.0 	353.6 	375.9 	354.8 	340.8 	375.0 
B1G,B-E,MIO_EUR_NSA,CZ	11767.2 	12133.2 	12724.1 	13292.2 	11979.9 	12507.6 	13452.0 	13858.9 	13198.0 	14027.9 	14494.7 	14607.3 
B1G,B-E,MIO_EUR_NSA,DE	179807.0 	178067.0 	183907.0 	191988.0 	187405.0 	184536.0 	191601.0 	192578.0 	194826.0 	193518.0 	197224.0 	201479.0 
B1G,B-E,MIO_EUR_NSA,DK	10350.3 	10742.3 	10944.7 	11108.7 	11024.8 	11677.2 	11299.2 	11588.1 	10832.5 	11297.6 	11236.9 	11649.1 
B1G,B-E,MIO_EUR_NSA,EA	468098.0 	485527.7 	488424.3 	495833.2 	477216.2 	501138.8 	506741.5 	504765.9 	499149.1 	522138.9 	523731.9 	524111.8 
B1G,B-E,MIO_EUR_NSA,EA19	468098.0 	485527.7 	488424.3 	495833.2 	477216.2 	501138.8 	506741.5 	504765.9 	499149.1 	522138.9 	523731.9 	524111.8 
B1G,B-E,MIO_EUR_NSA,EE	928.3 	938.2 	973.7 	1025.3 	975.8 	1014.2 	1046.4 	1121.9 	1039.0 	1113.6 	1124.6 	1183.8 
B1G,B-E,MIO_EUR_NSA,EL	5540.0 p	5124.5 p	4849.9 p	5385.9 p	5480.4 p	5255.1 p	5373.2 p	5756.4 p	6006.7 p	5540.5 p	5511.7 p	6061.5 p
B1G,B-E,MIO_EUR_NSA,ES	41427.0 	45244.0 	45023.0 p	43218.0 p	43182.0 p	47047.0 p	48309.0 p	45998.0 p	45494.0 p	50574.0 p	49344.0 p	47378.0 p
B1G,B-E,MIO_EUR_NSA,EU28	630793.8 	663333.5 	652118.4 	658918.0 	631023.1 	671603.3 	673676.0 	667606.3 	657230.2 	703260.2 	695131.9 	692087.1 
B1G,B-E,MIO_EUR_NSA,FI	8981.0 	10107.0 	8812.0 	9463.0 	9212.0 	10501.0 	9809.0 	10128.0 	9660.0 	11094.0 	10479.0 	10748.0 
B1G,B-E,MIO_EUR_NSA,FR	66792.0 	71238.0 	74186.0 	71231.0 	66506.0 	71154.0 	74303.0 	71384.0 	67809.0 	72316.0 	74784.0 	70800.0 
B1G,B-E,MIO_EUR_NSA,HR	1986.7 	2069.5 	1965.6 	2073.1 	2013.8 	2210.7 	2060.8 	2107.7 	2092.8 	2229.5 	2102.7 	2167.5 
B1G,B-E,MIO_EUR_NSA,HU	6225.3 	6843.3 	5872.8 	6723.0 	6299.1 	6857.2 	6267.6 	7070.2 	6667.0 	7311.3 	6645.6 	7575.5 
B1G,B-E,MIO_EUR_NSA,IE	22279.0 d	23907.2 d	22992.0 d	21634.2 d	19234.0 d	28099.5 d	23407.3 d	22073.7 d	24588.7 d	29453.9 d	26131.2 d	24614.4 d
B1G,B-E,MIO_EUR_NSA,IT	68030.2 	72274.4 	72692.3 	74985.7 	70383.4 	73622.2 	75088.6 	76191.6 	72323.4 	76039.2 	77928.3 	79136.9 
B1G,B-E,MIO_EUR_NSA,LT	1865.5 	1963.2 	1946.7 	1830.6 	1930.1 	2023.6 	2068.3 	1982.5 	2173.2 	2267.2 	2170.5 	2065.9 
B1G,B-E,MIO_EUR_NSA,LU	775.1 	841.1 	969.2 	927.3 	866.9 	860.8 	785.5 	863.5 	846.2 	937.3 	873.8 	897.9 
B1G,B-E,MIO_EUR_NSA,LV	826.1 	869.4 	847.5 	885.0 	826.6 	967.5 	942.5 	978.7 	937.9 	1040.9 	1000.8 	1037.7 
B1G,B-E,MIO_EUR_NSA,ME	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 
B1G,B-E,MIO_EUR_NSA,MK	377.1 	436.2 	390.7 p	403.9 p	426.0 p	459.0 p	395.4 e	406.9 e	424.8 e	477.8 e	410.4 e	422.1 e
B1G,B-E,MIO_EUR_NSA,MT	210.1 	214.6 	234.3 	235.2 	224.3 	215.5 	245.0 	251.4 	243.9 	255.8 	251.6 	264.9 
B1G,B-E,MIO_EUR_NSA,NL	23828.0 	24736.0 	24094.0 p	25296.0 p	23063.0 p	24292.0 p	24267.0 p	25624.0 p	23787.0 p	25414.0 p	25495.0 p	26495.0 p
B1G,B-E,MIO_EUR_NSA,NO	20644.9 	20445.2 	17961.5 	17843.2 	16548.1 	21290.5 	22860.2 	19119.2 	18510.1 	22193.6 	22477.3 	22558.4 
B1G,B-E,MIO_EUR_NSA,PL	21778.5 	29961.7 	25030.8 	22463.2 	22223.6 	30115.4 	27520.5 	24633.8 	24681.9 	34397.9 	29438.2 	25952.2 
B1G,B-E,MIO_EUR_NSA,PT	7169.2 	7470.1 	7287.8 	7508.0 	7469.4 	7765.4 	7758.3 	7799.8 	7598.7 	7910.9 	7970.0 	8138.5 
B1G,B-E,MIO_EUR_NSA,RO	11101.9 	11154.1 	7202.1 p	9774.8 p	11577.6 p	12384.3 p	8165.0 p	10714.9 p	12594.3 p	13964.2 p	8667.8 p	11597.8 p
B1G,B-E,MIO_EUR_NSA,RS	1826.9 	1858.8 	1705.7 	1869.9 	1864.6 	1957.3 	1760.1 p	2005.0 p	2096.9 p	2143.9 p	1959.9 p	2159.4 p
B1G,B-E,MIO_EUR_NSA,SE	17558.9 	20073.3 	19018.0 	18871.2 	17367.7 	19784.0 	20254.1 	19262.3 	18206.3 	20937.0 	20680.9 	19111.8 
B1G,B-E,MIO_EUR_NSA,SI	2274.1 	2226.1 	2253.0 	2533.2 	2355.8 	2344.3 	2379.6 	2700.6 	2542.1 	2589.1 	2594.1 	2906.1 
B1G,B-E,MIO_EUR_NSA,SK	4339.7 	5614.1 	4835.8 	4378.4 	4656.2 	5882.8 	5115.6 	4363.6 	4770.3 	6148.0 	5219.5 	4624.9 
B1G,B-E,MIO_EUR_NSA,TR	36164.6 	40951.8 	36539.7 	38994.0 	35466.8 	41820.3 	36050.1 	38785.0 	38581.6 	41479.6 	37781.4 	37169.8 
B1G,B-E,MIO_EUR_NSA,UK	79516.3 	82540.9 	78577.8 	76200.5 	68821.9 	72973.7 	76359.5 	71950.5 	68229.8 	75502.4 	77067.4 	73806.2 
B1G,B-E,MIO_EUR_NSA,XK	271.4 	272.7 	192.9 	268.8 	276.5 	282.0 	225.4 p	292.8 p	342.3 p	284.6 p	231.8 p	: 
B1G,B-E,MIO_EUR_SCA,AT	17034.7 	17262.1 	17501.7 	17104.6 	17403.3 	18007.0 	18170.8 	18130.6 	18179.8 	18419.3 	18938.3 	19142.6 
B1G,B-E,MIO_EUR_SCA,BE	15593.0 	15651.0 	15679.0 	15830.0 	15931.0 	16109.0 	16275.0 	16369.0 	16386.0 	16493.0 	16459.0 	16642.0 
B1G,B-E,MIO_EUR_SCA,BG	2266.8 	2338.3 	2498.7 	2484.0 	2582.8 	2535.5 	2634.7 	2643.0 	2726.0 	2858.9 	2736.9 p	2802.0 p
B1G,B-E,MIO_EUR_SCA,CH	29981.8 	30251.7 	29705.9 	29462.3 	29808.9 	29309.7 	30162.5 	29796.4 	28767.3 	28585.1 	29180.3 	29367.4 
B1G,B-E,MIO_EUR_SCA,CY	294.9 	298.9 	305.3 	309.1 	318.6 	330.3 	347.5 	352.1 	357.7 	358.0 	359.7 	373.6 
B1G,B-E,MIO_EUR_SCA,CZ	12341.0 	12289.9 	12576.0 	12552.8 	12643.5 	12670.7 	13028.5 	13500.7 	13990.3 	14223.4 	14275.5 	14109.3 
B1G,B-E,MIO_EUR_SCA,DE	177738.0 	177715.0 	186508.0 	185677.0 	185960.0 	186717.0 	188155.0 	192390.0 	195474.0 	198163.0 	197429.0 	199164.0 
B1G,B-E,MIO_EUR_SCA,DK	10578.4 	10643.7 	11053.4 	10855.3 	11311.1 	11535.2 	11250.4 	11479.2 	11131.1 	11157.0 	11351.7 	11352.0 
B1G,B-E,MIO_EUR_SCA,EA	476024.1 	478081.0 	488563.0 	486193.1 	487202.9 	497101.4 	497261.2 	505170.0 	513440.0 	520167.1 	518949.9 	521966.5 
B1G,B-E,MIO_EUR_SCA,EA19	476024.1 	478081.0 	488563.0 	486193.1 	487202.9 	497101.4 	497261.2 	505170.0 	513440.0 	520167.1 	518949.9 	521966.5 
B1G,B-E,MIO_EUR_SCA,EE	963.9 	928.2 	980.7 	991.4 	1004.7 	1003.8 	1030.3 	1093.4 	1079.0 	1111.4 	1116.9 	1134.4 
B1G,B-E,MIO_EUR_SCA,EL	5256.2 p	5235.1 p	5136.4 p	5241.9 p	5227.9 p	5398.6 p	5637.8 p	5593.3 p	5722.6 p	5724.4 p	5784.6 p	5887.5 p
B1G,B-E,MIO_EUR_SCA,ES	43003.0 	43309.0 	44111.0 p	43917.0 p	44993.0 p	45449.0 p	46725.0 p	47279.0 p	47757.0 p	48614.0 p	48242.0 p	48541.0 p
B1G,B-E,MIO_EUR_SCA,EU28	645970.6 	646194.1 	651874.4 	650985.7 	647926.1 	658403.6 	662954.5 	671795.6 	679469.1 	690430.7 	690613.9 	693947.4 
B1G,B-E,MIO_EUR_SCA,FI	9387.0 	9397.0 	9111.0 	9453.0 	9650.0 	9774.0 	10098.0 	10113.0 	10137.0 	10343.0 	10746.0 	10759.0 
B1G,B-E,MIO_EUR_SCA,FR	70364.0 	70445.0 	71319.0 	70612.0 	70309.0 	70628.0 	71049.0 	71616.0 	71815.0 	71643.0 	71423.0 	71255.0 
B1G,B-E,MIO_EUR_SCA,HR	2014.5 	1999.5 	2022.6 	2061.7 	2052.4 	2118.7 	2114.8 	2109.3 	2136.2 	2128.2 	2154.8 	2175.7 
B1G,B-E,MIO_EUR_SCA,HU	6330.2 	6473.3 	6346.4 	6401.4 	6383.1 	6528.7 	6601.4 	6858.9 	6856.5 	7093.9 	7157.7 	7264.6 
B1G,B-E,MIO_EUR_SCA,IE	23209.9 d	23590.4 d	22141.7 d	22221.0 d	20060.2 d	26757.8 d	22831.3 d	23135.8 d	25630.2 d	27370.7 d	25728.7 d	26150.8 d
B1G,B-E,MIO_EUR_SCA,IT	70009.0 	71417.7 	72919.3 	72188.9 	73338.6 	73756.7 	73647.9 	74698.1 	76084.4 	76542.5 	76719.2 	76876.2 
B1G,B-E,MIO_EUR_SCA,LT	1869.3 	1908.4 	1903.6 	1924.2 	1927.4 	1965.1 	2065.6 	2083.0 	2159.3 	2188.7 	2160.9 	2175.0 
B1G,B-E,MIO_EUR_SCA,LU	807.6 	850.7 	939.7 	912.9 	900.1 	863.5 	768.8 	851.7 	873.8 	935.8 	862.1 	885.6 
B1G,B-E,MIO_EUR_SCA,LV	852.1 	832.6 	847.8 	866.8 	857.6 	918.8 	947.1 	974.2 	984.0 	997.2 	1021.2 	1016.0 
B1G,B-E,MIO_EUR_SCA,MT	210.1 	214.6 	234.3 	235.2 	224.3 	215.5 	245.0 	251.4 	243.9 	255.8 	251.6 	264.9 
B1G,B-E,MIO_EUR_SCA,NL	24867.1 	24104.8 	24293.3 p	24340.4 p	24071.5 p	23932.1 p	24105.9 p	24968.3 p	25032.5 p	25285.1 p	25555.3 p	25555.7 p
B1G,B-E,MIO_EUR_SCA,NO	22298.6 	19218.0 	17221.4 	18351.2 	17886.1 	20050.4 	21585.7 	19840.5 	20147.9 	20848.7 	21413.5 	23421.0 
B1G,B-E,MIO_EUR_SCA,PL	24686.8 	25166.4 	24215.0 	24835.4 	25211.8 	25167.4 	26713.7 	27370.3 	27835.7 	28557.4 	28766.9 	28961.3 
B1G,B-E,MIO_EUR_SCA,PT	7258.5 	7400.8 	7314.5 	7423.1 	7566.1 	7727.0 	7684.1 	7766.1 	7730.2 	7887.3 	7968.7 	8038.9 
B1G,B-E,MIO_EUR_SCA,RO	9963.3 	9565.8 	9678.1 p	10020.2 p	10390.1 p	10620.0 p	10973.5 p	10989.5 p	11293.3 p	11978.0 p	11647.9 p	11901.6 p
B1G,B-E,MIO_EUR_SCA,SE	18782.9 	18911.8 	18885.4 	18814.9 	18719.1 	18559.6 	19542.6 	19572.5 	19885.7 	19806.5 	19940.4 	19283.7 
B1G,B-E,MIO_EUR_SCA,SI	2268.1 	2255.1 	2350.4 	2333.3 	2375.7 	2421.4 	2448.6 	2535.4 	2592.0 	2675.9 	2704.9 	2758.5 
B1G,B-E,MIO_EUR_SCA,UK	83052.9 	80536.8 	75947.9 	76794.0 	71719.3 	71934.7 	73573.7 	73106.0 	71403.1 	73870.5 	74916.5 	75568.4 
