sex,age,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,TOTAL,PC,AT	19.0 	19.7 	18.9 	22.3 b	20.5 	20.5 	20.3 	19.6 	20.1 	20.5 	19.1 	18.9 	19.3 
F,TOTAL,PC,BE	23.7 	23.1 	23.1 	22.4 	21.8 	21.7 	21.5 	22.3 	21.2 	21.5 	22.2 	22.0 	21.4 
F,TOTAL,PC,BG	: 	62.1 	61.9 	46.4 b	48.1 	50.9 	50.5 	50.9 	49.4 	41.3 b	43.0 	42.1 b	40.4 
F,TOTAL,PC,CH	: 	: 	19.4 	20.1 	19.7 	18.6 	18.7 	19.2 	17.5 	18.3 b	19.6 	19.1 	: 
F,TOTAL,PC,CY	26.7 	27.4 	27.6 	25.9 b	26.0 	26.3 	26.4 	29.0 	28.8 	28.8 	29.8 	28.7 	26.4 
F,TOTAL,PC,CZ	21.4 	19.4 	17.4 	17.2 	15.7 	16.0 	16.9 	16.9 	16.1 	16.3 	15.6 	14.6 	13.9 
F,TOTAL,PC,DE	19.7 	21.3 	22.3 	21.6 	21.2 	20.9 	21.3 	21.1 	21.9 	21.8 	21.1 	21.2 	20.3 
F,TOTAL,PC,DK	18.3 	17.9 	17.7 	17.0 	18.2 	19.0 	18.0 b	17.5 	18.6 	18.2 	18.0 	17.2 	16.6 
F,TOTAL,PC,EA18	23.2 	23.5 	23.4 	23.1 	22.9 	23.0 	23.9 	24.3 	23.9 	24.3 	23.7 	24.0 	23.0 e
F,TOTAL,PC,EA19	23.4 	23.6 	23.5 	23.2 	22.9 	23.1 	24.0 	24.4 	24.0 	24.3 	23.8 	24.0 	23.0 e
F,TOTAL,PC,EE	27.3 	23.7 	24.2 	24.3 	25.5 	22.0 	22.9 	24.4 	24.4 	27.3 b	26.0 	26.7 	25.6 
F,TOTAL,PC,EL	31.6 	31.1 	29.9 	29.8 	29.0 	29.3 	32.3 	35.2 	36.8 	36.7 	36.6 	36.6 	35.7 
F,TOTAL,PC,ES	25.6 	25.5 	24.6 	25.1 b	25.6 	26.7 	27.4 	27.2 	26.7 	28.9 	28.3 	27.9 	27.1 
F,TOTAL,PC,EU27	27.1 e	26.6 e	25.9 	25.1 	24.5 	24.8 	25.3 	25.7 	25.4 	25.2 	24.4 	24.4 	23.3 e
F,TOTAL,PC,EU28	: 	: 	: 	: 	: 	24.8 	25.4 	25.8 	25.5 	25.2 	24.5 	24.4 	23.3 e
F,TOTAL,PC,FI	18.1 	17.9 	19.0 	18.9 	17.9 	17.7 	18.5 	17.4 	16.2 	17.6 	16.8 	16.6 	15.7 
F,TOTAL,PC,FR	20.0 	20.3 	20.0 	19.7 b	19.7 	19.9 	19.9 	19.6 	18.9 	19.5 	18.2 	19.1 	17.6 
F,TOTAL,PC,HR	: 	: 	: 	: 	: 	32.1 	33.4 	33.3 	30.2 	29.9 	29.6 	28.6 	: 
F,TOTAL,PC,HU	32.8 	31.8 	30.1 	29.0 	30.0 	30.3 	32.0 	34.0 	35.2 	32.3 	28.4 	26.5 	26.1 
F,TOTAL,PC,IE	25.9 	24.6 	24.6 	24.7 	26.4 	28.1 	29.8 	30.7 	30.5 	28.1 	26.6 	25.3 	: 
F,TOTAL,PC,IS	13.5 	13.4 	14.5 	12.6 	12.6 	14.0 	14.1 	12.8 	13.2 	11.6 	13.0 	12.6 p	: 
F,TOTAL,PC,IT	27.6 	27.9 	28.0 	27.4 	26.7 	26.8 	29.8 	31.9 	29.8 	29.5 	29.6 	30.8 	29.8 
F,TOTAL,PC,LT	42.9 	37.7 	30.9 	30.4 	31.4 	34.2 	33.3 	33.4 	33.0 	28.8 	30.4 	31.5 	31.3 
F,TOTAL,PC,LU	18.3 	17.1 	16.9 	16.7 	19.6 	17.7 	18.0 	19.4 	19.4 	19.5 	19.3 	20.9 b	22.8 
F,TOTAL,PC,LV	48.7 	44.8 	37.4 	36.6 b	39.4 	38.6 	40.3 	36.8 	35.9 	34.4 	33.4 	30.6 	31.1 
F,TOTAL,PC,MK	: 	: 	: 	: 	: 	47.0 	49.9 	50.4 	47.8 	43.0 	41.8 	41.0 	: 
F,TOTAL,PC,MT	22.0 	21.1 	20.9 	21.5 	21.6 	22.4 	23.2 	24.3 	24.9 	24.7 	23.0 	20.1 	20.1 
F,TOTAL,PC,NL	17.7 	17.4 	16.9 	15.5 	15.9 	16.0 	16.6 	16.3 	16.9 	17.2 	16.9 	17.3 b	17.3 
F,TOTAL,PC,NO	17.4 	18.4 	18.3 	16.8 	16.8 	15.9 	15.5 	14.5 	14.9 	14.5 	16.6 	17.1 	17.0 
F,TOTAL,PC,PL	45.8 	40.0 	35.1 	31.2 b	28.6 	28.5 	27.7 	27.3 	26.2 	24.7 	23.2 	22.2 	19.6 
F,TOTAL,PC,PT	26.9 	26.0 	26.0 	26.8 	25.8 	25.8 	25.1 	25.9 	27.4 	28.1 	27.3 	26.0 	24.0 
F,TOTAL,PC,RO	: 	: 	48.0 	45.3 	44.2 	42.4 	41.9 	43.8 	42.5 	40.7 	38.2 	39.8 	36.5 
F,TOTAL,PC,RS	: 	: 	: 	: 	: 	: 	: 	: 	42.0 	42.6 	40.7 	38.5 	: 
F,TOTAL,PC,SE	15.4 	16.7 	14.2 	17.7 b	19.0 	18.8 	20.0 	18.7 	19.6 	19.2 	19.8 	19.5 	18.3 
F,TOTAL,PC,SI	20.5 	18.8 	19.2 	20.3 	19.1 	20.1 	21.1 	20.8 	21.4 	21.5 	20.8 	19.9 	18.3 
F,TOTAL,PC,SK	33.2 	27.6 	23.1 	22.0 	21.1 	21.6 	21.7 	21.3 	20.2 	18.7 	18.6 	18.2 	16.2 
F,TOTAL,PC,TR	: 	66.7 	64.9 	64.7 	64.6 	66.4 	64.5 	62.1 	52.1 b	42.8 	42.4 	: 	: 
F,TOTAL,PC,UK	25.9 	25.4 	24.1 	24.7 	22.8 	24.2 	24.1 	24.9 b	25.8 	25.2 	24.4 	23.2 	: 
M,TOTAL,PC,AT	15.8 	15.7 	14.5 	18.9 b	17.6 	17.3 	17.9 	17.3 	17.4 	17.7 	17.5 	16.9 	16.8 
M,TOTAL,PC,BE	21.4 	20.0 	19.9 	19.1 	18.5 	20.0 	20.4 	20.9 	20.4 	20.9 	20.0 	19.4 	19.1 
