age,unit,sex,indic_em,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y15-24,PC_POP,T,ACT,AT	58.0 	57.9 	59.4 b	59.5 	59.5 	58.3 	59.2 	59.2 	58.8 	58.0 	57.4 	57.5 	56.1 
Y15-24,PC_POP,T,ACT,BE	35.0 	34.7 	33.9 	33.4 	32.4 	32.5 	32.0 	31.5 	31.0 	30.2 	30.0 	28.5 	28.1 b
Y15-24,PC_POP,T,ACT,BG	27.9 	28.9 	28.9 	30.1 	29.5 	31.2 b	29.5 b	30.4 	29.6 	27.2 	26.0 	23.9 	26.3 
Y15-24,PC_POP,T,ACT,CH	: 	: 	: 	: 	: 	68.1 b	68.5 	67.6 	68.0 	67.9 	67.5 	68.4 	68.7 
Y15-24,PC_POP,T,ACT,CY	42.6 	41.5 	41.7 	41.7 	40.4 b	40.6 	38.8 	38.9 	38.4 	40.3 	37.9 	37.2 	36.6 
Y15-24,PC_POP,T,ACT,CZ	34.0 	33.5 	31.9 	31.1 	31.8 	30.9 	29.9 b	31.3 	31.5 	32.2 	32.5 	32.0 	31.7 
Y15-24,PC_POP,T,ACT,DE	49.6 b	50.4 	51.5 	52.2 	51.8 	51.3 b	52.4 b	50.7 	50.8 	49.9 	48.8 	49.2 	49.9 
Y15-24,PC_POP,T,ACT,DK	68.1 	69.9 	70.6 	72.2 	70.9 	67.5 	67.1 	64.1 	61.7 	61.5 	62.1 	66.2 b	63.3 b
Y15-24,PC_POP,T,ACT,EA18	44.4 	44.4 	44.6 	44.6 	43.7 	42.4 	42.0 	41.6 	41.1 	40.3 	39.9 	39.8 	39.9 
Y15-24,PC_POP,T,ACT,EA19	44.1 	44.1 	44.4 	44.4 	43.5 	42.3 	41.9 	41.4 	41.0 	40.2 	39.8 	39.7 	39.9 
Y15-24,PC_POP,T,ACT,EE	36.2 	35.7 	37.9 	40.8 	39.0 	37.8 	40.0 	40.8 	39.8 	39.2 	41.8 	43.3 	46.1 
Y15-24,PC_POP,T,ACT,EL	33.7 	32.2 	31.0 	30.1 	30.7 b	30.0 	29.1 	29.1 	28.4 	28.0 	26.0 	24.6 	25.0 
Y15-24,PC_POP,T,ACT,ES	47.9 b	48.2 	47.9 	47.7 	45.0 	42.7 	40.9 	39.0 	37.8 	35.7 	34.7 	33.0 	33.3 
Y15-24,PC_POP,T,ACT,EU27	44.3 	44.3 	44.2 	44.4 	43.7 	43.0 	42.7 	42.5 	42.3 	41.8 	41.7 	41.7 	41.8 
Y15-24,PC_POP,T,ACT,EU28	44.3 	44.2 	44.2 	44.3 	43.6 	42.9 	42.6 	42.4 	42.1 	41.7 	41.6 	41.7 	41.7 
Y15-24,PC_POP,T,ACT,FI	50.7 	51.8 	53.4 	53.5 	50.4 	49.4 	50.5 	51.6 	51.8 	52.1 	52.2 	52.2 	53.2 
Y15-24,PC_POP,T,ACT,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.5 	37.1 	36.9 	36.9 
Y15-24,PC_POP,T,ACT,FX	38.1 	38.1 	38.4 	38.5 	39.6 	38.9 	37.9 	37.4 	37.4 	36.6 	37.3 	37.2 	37.2 
Y15-24,PC_POP,T,ACT,HR	38.4 e	36.5 e	36.6 	36.6 	36.3 	35.9 	32.5 	30.1 	29.9 	33.6 	33.2 	37.2 	35.7 
Y15-24,PC_POP,T,ACT,HU	27.1 	26.7 	25.7 	25.1 	24.7 	24.8 	24.3 	25.7 	27.4 	29.5 	31.0 	32.3 	32.4 
