unit,age,sex,lmp_type,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
RT,TOTAL,F,TOT2_7,AT	17.1 u	21.3 u	23.6 u	26.1 u	28.8 	24.6 	23.4 	22.7 	23.6 	23.7 	21.1 	21.6 
RT,TOTAL,F,TOT2_7,BE	24.0 u	31.0 u	37.9 u	46.5 u	47.4 u	44.6 	43.3 	43.1 	37.7 	40.7 	45.5 e	60.7 e
RT,TOTAL,F,TOT2_7,BG	12.0 	16.7 	15.3 	21.8 	14.9 	4.9 	3.3 	4.1 	8.4 	3.8 	3.5 	6.9 
RT,TOTAL,F,TOT2_7,CY	: 	3.1 	9.1 e	14.6 e	13.6 	23.7 	22.4 	16.0 	5.9 	9.1 	9.5 	7.0 
RT,TOTAL,F,TOT2_7,DE	18.1 u	20.7 u	22.9 u	22.9 	26.7 e	29.8 e	28.1 e	26.9 	26.5 e	26.9 e	26.3 e	16.7 
RT,TOTAL,F,TOT2_7,DK	45.3 	56.2 	49.7 	64.4 	54.6 	55.7 e	48.2 e	45.8 e	45.6 e	45.0 e	54.3 e	43.4 e
RT,TOTAL,F,TOT2_7,EE	2.7 e	2.9 	2.2 e	1.8 	2.7 	4.2 	5.4 	7.7 	6.4 	5.6 	6.0 	: 
RT,TOTAL,F,TOT2_7,EL	: 	7.6 	7.5 	8.9 	: 	: 	: 	2.6 u	4.7 u	8.5 u	6.4 u	2.3 u
RT,TOTAL,F,TOT2_7,ES	: 	63.1 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RT,TOTAL,F,TOT2_7,EU28	: 	: 	25.9 u	25.1 u	22.0 u	: 	: 	16.4 u	: 	: 	: 	: 
RT,TOTAL,F,TOT2_7,FI	25.6 u	27.0 u	29.3 u	32.2 	28.8 	30.4 	34.2 	33.9 	32.2 	32.6 	29.7 	29.8 
RT,TOTAL,F,TOT2_7,FR	32.4 u	33.7 u	37.9 u	39.1 u	31.5 u	34.4 u	31.0 u	30.4 u	30.8 u	31.8 u	33.6 u	35.3 u
RT,TOTAL,F,TOT2_7,HR	: 	: 	: 	: 	: 	: 	: 	3.3 	5.5 	5.3 	7.7 	8.3 e
RT,TOTAL,F,TOT2_7,HU	: 	: 	: 	: 	11.6 u	19.1 u	12.0 u	40.4 e	33.0 e	32.2 	37.2 	50.1 
RT,TOTAL,F,TOT2_7,IE	38.0 	34.6 	36.2 	35.1 	29.3 	21.0 	20.4 	18.5 	18.5 	20.6 	23.5 u	23.7 
RT,TOTAL,F,TOT2_7,IT	16.8 u	17.2 u	17.6 u	17.3 u	17.6 u	16.2 u	16.0 u	13.7 u	11.9 u	10.7 u	: 	: 
