duration,sex,age,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
M0-11,T,Y20-64,PC,AT	13.5 b	13.5 	13.9 b	14.0 	13.4 	13.6 	14.7 	14.0 	13.9 	13.4 	14.0 	14.3 	14.8 
M0-11,T,Y20-64,PC,BE	11.0 b	11.4 	12.3 	12.1 	10.6 	10.6 	12.1 b	11.6 	10.5 	10.9 	10.8 	11.2 	11.4 b
M0-11,T,Y20-64,PC,BG	16.2 b	15.8 	13.3 	12.7 b	10.6 	9.7 b	10.5 b	11.2 	11.5 	10.6 	9.9 	9.6 	10.2 
M0-11,T,Y20-64,PC,CH	12.5 b	13.2 	13.4 	14.2 	13.3 	13.8 b	15.5 	14.6 	14.5 	15.0 	15.9 	15.4 	16.1 
M0-11,T,Y20-64,PC,CY	14.6 b	15.4 	16.6 	17.3 	16.0 b	15.8 	15.7 	15.7 	15.7 	18.5 	18.1 	19.7 	20.0 
M0-11,T,Y20-64,PC,CZ	10.0 b	10.4 	10.2 	9.9 	9.8 	10.1 	10.3 b	9.7 	9.3 	9.7 	10.0 	10.1 	10.5 
M0-11,T,Y20-64,PC,DE	12.0 b	12.8 	13.4 	13.5 	12.5 	12.9 b	13.1 b	12.9 	12.1 	12.0 	12.2 	12.4 	12.5 
M0-11,T,Y20-64,PC,DK	19.6 b	21.2 	23.5 	21.8 	18.5 	17.4 	18.3 	18.0 	19.1 	19.8 	19.4 	21.6 b	20.9 b
M0-11,T,Y20-64,PC,EA18	12.8 b	13.4 	13.9 	13.6 	11.9 	12.1 	12.7 	12.3 	11.6 	12.0 	12.6 	12.9 	13.4 
M0-11,T,Y20-64,PC,EA19	12.8 b	13.4 	13.9 	13.6 	11.9 	12.1 	12.7 	12.3 	11.7 	12.1 	12.6 	13.0 	13.4 
M0-11,T,Y20-64,PC,EE	15.8 b	15.1 	14.1 	13.9 	13.0 	15.2 	17.4 	16.1 	15.3 	15.2 	14.8 	15.6 	16.6 
M0-11,T,Y20-64,PC,EL	7.7 b	8.9 	8.1 	8.4 	8.5 b	7.9 	6.9 	6.6 	8.0 	9.9 	10.1 	9.5 	9.9 
M0-11,T,Y20-64,PC,ES	20.3 b	21.2 	20.8 	19.1 	15.4 	15.0 	14.8 	13.9 	14.1 	15.6 	16.5 	16.9 	17.5 
M0-11,T,Y20-64,PC,EU27	13.3 b	13.8 	14.1 	13.7 	11.9 	12.1 	12.5 	12.3 	11.8 	12.3 	12.7 	13.0 	13.3 
