sex,indic_em,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
T,EMP_PCH,AT	1.2 	1.7 	1.8 	1.9 	-0.4 	0.7 	1.6 	1.1 	0.5 	0.9 
T,EMP_PCH,BE	1.4 	1.1 	1.7 	1.8 	-0.2 	0.6 	1.4 	0.4 	-0.4 	0.3 
T,EMP_PCH,BG	2.7 	3.3 	3.2 	2.4 	-1.7 	-3.9 	-2.2 	-2.5 p	-0.4 p	0.4 p
T,EMP_PCH,CY	3.6 	1.7 	4.1 	2.5 	-0.2 	1.0 	0.5 	-3.2 	-6.0 	-1.1 p
T,EMP_PCH,CZ	1.9 	1.3 	2.1 	2.2 	-1.8 	-1.0 	-0.3 	0.4 	0.3 	0.6 
T,EMP_PCH,DE	0.0 	0.8 	1.7 	1.3 	0.1 	0.3 	1.4 	1.2 	0.6 	0.9 
T,EMP_PCH,DK	1.4 	2.2 	2.2 	1.1 	-3.0 	-2.3 	-0.1 	-0.6 	0.1 	0.8 
T,EMP_PCH,EA18	1.0 	1.8 	1.9 	0.9 	-1.8 	-0.5 	0.1 	-0.5 	-0.7 	0.6 
T,EMP_PCH,EA19	1.0 	1.8 	1.9 	0.8 	-1.9 	-0.6 	0.1 	-0.4 	-0.7 	0.6 
T,EMP_PCH,EE	2.3 	4.8 	0.2 	-0.2 	-10.2 	-5.0 	6.5 	1.7 	1.2 	0.8 
T,EMP_PCH,EL	0.9 	1.8 	1.3 	1.3 	-0.6 	-2.6 	-6.9 p	-6.3 p	-3.6 p	0.1 p
T,EMP_PCH,ES	4.3 	4.2 	3.3 	0.2 	-6.3 	-1.7 	-2.7 	-4.1 p	-2.9 p	0.9 p
T,EMP_PCH,EU28	1.0 	1.7 	1.9 	1.0 	-1.7 	-0.7 	0.1 	-0.4 	-0.3 	1.0 
T,EMP_PCH,FI	1.6 	1.8 	2.1 	2.2 	-2.4 	-0.7 	1.3 	0.9 	-0.7 	-0.8 
T,EMP_PCH,FR	0.7 	1.1 	1.4 	0.5 	-1.1 	0.1 	0.8 	0.3 	0.0 	0.4 
T,EMP_PCH,HR	0.7 	3.9 	9.7 	3.8 	-0.7 	-3.8 	-3.9 	-3.6 	-2.6 	2.7 
T,EMP_PCH,HU	-0.3 	0.4 	0.1 	-2.0 	-2.5 	-0.3 	0.0 	0.1 	0.9 	4.8 
T,EMP_PCH,IE	4.9 	4.6 	4.4 	-0.6 	-7.8 	-4.1 	-1.8 	-0.6 	2.4 	1.7 
T,EMP_PCH,IT	0.6 	2.0 	1.2 	0.2 	-1.7 	-0.6 	0.3 	-0.3 	-1.8 	0.1 
T,EMP_PCH,LT	0.8 	-0.3 	2.0 	-1.3 	-7.7 	-5.3 	0.5 	1.8 	1.3 	2.0 
T,EMP_PCH,LU	2.8 	3.8 	4.4 	4.8 	1.0 	1.8 	3.0 	2.4 	1.8 	2.5 
T,EMP_PCH,LV	0.9 	5.8 	3.8 	-0.8 	-14.3 	-6.7 	1.5 	1.4 	2.3 	-1.3 
T,EMP_PCH,MT	1.3 	1.5 	2.2 	2.5 	0.0 	1.7 	3.0 	2.5 	3.7 	5.0 
T,EMP_PCH,NL	0.7 	2.2 	2.9 	1.6 	-0.9 	-0.7 	0.9 	-0.2 	-0.9 p	-0.2 p
T,EMP_PCH,NO	1.3 	3.4 	4.1 	3.3 	-0.5 	-0.5 	1.5 	2.1 	1.1 	1.1 
T,EMP_PCH,PL	2.2 	3.2 	4.5 	3.8 	0.4 	-2.7 b	0.6 	0.1 	-0.1 	1.7 
T,EMP_PCH,PT	-0.5 	0.4 	0.0 	0.4 	-2.7 	-1.4 	-1.9 	-4.1 	-2.9 	1.4 
T,EMP_PCH,RO	-1.5 	0.7 	0.4 	0.0 	-2.0 	-0.3 	-0.8 	-4.8 b	-0.9 	0.8 p
T,EMP_PCH,SE	0.3 	1.7 	2.3 	0.9 	-2.4 	1.0 	2.1 	0.7 	0.9 	1.4 
T,EMP_PCH,SI	-0.5 	1.6 	3.4 	2.6 	-1.8 	-2.1 	-1.7 	-0.9 	-1.4 	0.6 
T,EMP_PCH,SK	1.6 	2.1 	2.1 	3.2 	-2.0 	-1.5 	1.8 	0.1 	-0.8 	1.4 
T,EMP_PCH,UK	1.1 	1.0 	0.8 	0.8 	-1.6 	0.2 	0.5 	1.1 	1.2 	2.3 
