age,unit,indic_em,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y20-64,PC_POP,EMP_LFS,AT	12.9 	12.9 	13.3 b	12.5 	10.5 	10.2 	10.0 	9.7 	9.1 	8.2 	8.2 	7.8 	8.0 
Y20-64,PC_POP,EMP_LFS,BE	15.7 	15.2 	14.7 	13.4 	12.2 	11.9 	11.5 	11.0 	10.2 	8.7 	8.3 	9.3 	9.8 b
Y20-64,PC_POP,EMP_LFS,BG	9.7 	9.5 	9.9 	10.7 	9.8 	7.8 b	6.2 b	5.6 	5.7 	6.1 	6.6 	7.3 	8.0 
Y20-64,PC_POP,EMP_LFS,CH	: 	: 	: 	: 	: 	12.9 b	12.2 	11.4 	10.9 	9.8 	9.7 	9.0 	9.4 
Y20-64,PC_POP,EMP_LFS,CY	21.7 	20.3 	18.7 	17.0 	14.5 b	12.9 	11.9 	11.3 	10.4 	7.7 	8.3 	9.7 	9.5 
Y20-64,PC_POP,EMP_LFS,CZ	18.8 	18.6 	19.1 	19.5 	18.8 	18.7 	18.2 b	17.7 	17.2 	17.5 	16.6 	16.0 	15.8 
Y20-64,PC_POP,EMP_LFS,DE	12.5 b	12.2 	12.4 	12.3 	10.9 	10.7 b	10.4 b	10.5 	9.6 	9.1 	8.7 	8.2 	7.9 
Y20-64,PC_POP,EMP_LFS,DK	8.6 	9.0 	8.5 	8.4 	6.0 	5.6 	6.6 	6.4 	6.3 	7.3 	7.6 	6.7 b	6.5 b
Y20-64,PC_POP,EMP_LFS,EA18	17.5 	17.0 	16.6 	15.7 	13.9 	13.3 	13.0 	12.1 	11.5 	11.2 	11.3 	11.3 	11.3 
Y20-64,PC_POP,EMP_LFS,EA19	17.3 	16.9 	16.5 	15.7 	13.8 	13.2 	12.9 	12.1 	11.4 	11.1 	11.2 	11.2 	11.2 
Y20-64,PC_POP,EMP_LFS,EE	4.9 	7.0 	8.8 	8.6 	2.0 	1.9 	5.7 	5.7 	6.6 	7.7 	7.9 	8.2 	7.3 
Y20-64,PC_POP,EMP_LFS,EL	29.6 	28.6 	28.4 	27.5 	25.6 b	24.2 	22.1 	19.8 	19.4 	18.3 	18.0 	19.0 	19.7 
