indic_em,age,sex,unit,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LTU,Y15-74,F,PC_ACT,AT	1.5 	1.4 	1.5 b	1.0 	1.1 	1.0 	1.1 	1.1 	1.2 	1.4 	1.4 	1.7 	1.7 
LTU,Y15-74,F,PC_ACT,BE	5.0 	4.9 	4.3 	3.6 	3.6 	4.1 	3.6 	3.2 	3.7 	3.8 	3.9 	3.8 	3.3 b
LTU,Y15-74,F,PC_ACT,BG	6.0 	5.3 	4.5 	3.1 	3.1 	4.4 b	5.5 b	5.8 	6.6 	6.0 	5.0 	4.1 	3.2 
LTU,Y15-74,F,PC_ACT,CH	: 	: 	: 	: 	: 	1.9 b	1.7 	1.6 	1.7 	1.9 	1.9 	1.9 	1.9 
LTU,Y15-74,F,PC_ACT,CY	1.8 	1.2 	0.7 u	0.5 u	0.6 bu	1.3 	1.5 	3.1 	5.6 	7.0 	6.2 	5.1 	4.0 
LTU,Y15-74,F,PC_ACT,CZ	5.3 	4.9 	3.6 	2.8 	2.5 	3.5 	3.2 b	3.6 	3.7 	3.2 	2.9 	2.0 	1.3 
LTU,Y15-74,F,PC_ACT,DE	5.7 b	5.7 	4.9 	3.9 	3.4 	3.0 b	2.6 b	2.2 	2.1 	1.9 	1.7 	1.4 	1.3 
LTU,Y15-74,F,PC_ACT,DK	1.2 	0.9 	0.7 	0.5 	0.5 	1.1 	1.7 	2.1 	2.0 	1.7 	1.7 	1.4 b	1.3 b
LTU,Y15-74,F,PC_ACT,EA18	4.6 	4.3 	3.7 	3.3 	3.6 	4.3 	4.6 	5.3 	6.0 	6.1 	5.6 	5.2 	4.6 
LTU,Y15-74,F,PC_ACT,EA19	4.6 	4.2 	3.7 	3.2 	3.6 	4.3 	4.7 	5.3 	6.0 	6.1 	5.6 	5.1 	4.5 
LTU,Y15-74,F,PC_ACT,EE	4.2 	2.6 	1.7 	1.3 	2.9 	5.8 	6.2 	4.9 	3.4 	2.7 	2.2 	1.8 	1.6 
LTU,Y15-74,F,PC_ACT,EL	8.9 	8.1 	7.0 	5.9 	6.0 b	8.1 	11.6 	17.4 	21.4 	22.4 	21.2 	20.5 	19.4 
LTU,Y15-74,F,PC_ACT,ES	3.3 b	2.7 	2.4 	2.8 	4.9 	7.6 	9.3 	11.4 	13.5 	13.7 	12.4 	10.8 	8.8 
LTU,Y15-74,F,PC_ACT,EU27	4.4 	4.0 	3.3 	2.7 	3.0 	3.7 	4.0 	4.6 	5.1 	5.0 	4.5 	4.0 	3.5 
LTU,Y15-74,F,PC_ACT,EU28	4.4 	4.0 	3.3 	2.8 	3.1 	3.7 	4.1 	4.6 	5.1 	5.0 	4.5 	4.0 	3.5 
