age,unit,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT25,PC_ACT,F,AT	10.3 	9.8 	9.6 	8.6 	10.1 	9.4 	9.1 	9.2 	10.0 	9.9 	10.0 	10.2 	8.7 
Y_LT25,PC_ACT,F,BE	22.1 	22.6 	20.9 	18.7 	22.5 	22.4 	18.7 	18.9 	22.5 	22.3 	20.0 	18.2 	18.0 b
Y_LT25,PC_ACT,F,BG	19.7 	18.9 	14.8 	10.5 	12.8 	20.1 d	23.6 	26.0 	25.7 	23.7 	22.3 	16.9 	12.4 
Y_LT25,PC_ACT,F,CY	14.7 	11.1 	9.4 	9.4 	14.0 	17.2 	21.5 	26.7 	36.8 	34.6 	31.1 	31.8 	22.9 
Y_LT25,PC_ACT,F,CZ	19.1 	18.7 	11.0 	9.9 	16.7 	18.5 	18.0 	19.0 	19.3 	17.1 	14.4 	11.4 	8.7 
Y_LT25,PC_ACT,F,DE	14.0 d	12.5 	11.0 	9.9 	9.7 	8.8 	7.8 	7.3 	7.1 	7.1 	6.5 	6.1 	5.8 
Y_LT25,PC_ACT,F,DK	8.6 	7.5 d	7.4 	8.7 	10.3 	11.8 	12.7 	13.5 	11.8 	11.5 	10.0 	10.9 	10.7 
Y_LT25,PC_ACT,F,EA18	19.2 	18.2 	16.5 	16.4 	19.6 	20.6 	20.9 	23.1 	23.9 	23.3 	21.6 	20.4 	18.2 
Y_LT25,PC_ACT,F,EA19	19.2 	18.1 	16.4 	16.3 	19.6 	20.7 	21.0 	23.1 	23.9 	23.2 	21.6 	20.3 	18.1 
Y_LT25,PC_ACT,F,EE	13.8 	15.1 	7.2 	11.3 d	21.8 	29.5 	20.7 	18.5 	19.8 	10.0 	12.2 	10.6 	10.0 
Y_LT25,PC_ACT,F,EL	34.2 	34.2 	31.7 	28.3 	33.3 	40.3 	51.6 	63.1 	63.8 	58.1 	55.0 	50.7 	48.2 
Y_LT25,PC_ACT,F,ES	23.4 	21.5 	21.7 	25.5 	36.1 	39.6 	44.0 	51.4 	54.6 	52.9 	48.0 	44.9 	37.4 
Y_LT25,PC_ACT,F,EU27	19.0 	18.0 	16.1 	15.8 	18.9 	20.4 	20.9 	22.3 	22.8 	21.3 	19.3 	17.8 	16.0 
Y_LT25,PC_ACT,F,EU28	19.1 	18.1 	16.2 	15.8 	19.0 	20.4 	21.0 	22.4 	23.0 	21.4 	19.5 	17.9 	16.1 
Y_LT25,PC_ACT,F,FI	19.5 	18.4 	16.6 	15.8 	19.0 	19.0 	18.4 	18.0 	17.1 	18.4 	19.7 	18.6 	19.3 
Y_LT25,PC_ACT,F,FR	22.0 	23.2 	20.1 	18.8 	22.3 	23.7 	23.3 	23.8 	25.2 	23.1 	23.3 	24.1 	21.3 
Y_LT25,PC_ACT,F,HR	35.1 	32.1 d	29.2 	28.0 	27.8 	33.1 	36.3 	42.3 	50.4 	45.4 	43.5 	32.2 	28.2 
Y_LT25,PC_ACT,F,HU	19.1 	19.8 	18.6 	20.4 d	24.5 	24.7 	24.7 	27.1 	27.9 	20.9 	16.0 	12.9 	12.1 
Y_LT25,PC_ACT,F,IE	7.8 	8.1 	7.9 	10.1 	16.8 	20.9 	22.3 	23.6 	22.8 	19.8 	16.3 	13.6 	12.6 
Y_LT25,PC_ACT,F,IS	5.9 	7.6 	6.2 	7.5 	12.0 	14.0 	10.7 	12.4 	7.8 	6.9 	6.7 	6.4 	7.7 
Y_LT25,PC_ACT,F,IT	27.6 	25.4 	23.3 	24.7 	28.5 	29.4 	32.1 	37.6 	41.5 	44.7 	42.5 	39.6 	37.3 
Y_LT25,PC_ACT,F,JP	7.4 	7.1 	7.2 	6.8 	8.4 	8.2 	7.1 b	7.4 	6.0 	5.5 	5.2 	4.5 	4.5 
Y_LT25,PC_ACT,F,LT	15.5 	10.0 	10.4 	13.9 	22.4 	31.6 	29.4 	22.7 	20.4 	18.7 	16.6 	12.6 	11.7 
Y_LT25,PC_ACT,F,LU	17.2 	14.9 d	18.2 	22.0 	18.2 	14.3 	17.9 	17.3 	14.2 	18.7 	15.2 	16.8 	13.4 
