unit,na_item,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_EU28_MPPS_CP,NLPR_HW,AT	115.4 	115.8 	115.2 	114.8 	116.6 	114.5 	114.5 	117.0 	116.9 	117.2 	119.5 	118.7 	118.0 
PC_EU28_MPPS_CP,NLPR_HW,BE	142.6 	140.5 	138.6 	137.0 	138.6 	140.3 	137.6 	137.3 	136.3 	136.9 	137.4 	137.2 	136.0 
PC_EU28_MPPS_CP,NLPR_HW,BG	36.7 	36.6 	38.2 	39.0 	39.7 	41.4 	42.5 	43.4 p	42.4 p	43.6 p	43.8 p	45.1 p	46.3 p
PC_EU28_MPPS_CP,NLPR_HW,CH	117.2 	120.9 	126.4 	127.8 	126.3 e	126.9 	127.7 	127.8 	128.6 	129.6 	129.2 	126.8 	: 
PC_EU28_MPPS_CP,NLPR_HW,CY	82.4 	83.8 	84.7 	84.6 	84.3 	81.4 	80.8 	79.2 	78.4 	77.2 	77.1 	76.9 	76.7 p
PC_EU28_MPPS_CP,NLPR_HW,CZ	68.2 	69.1 	72.2 	72.8 	73.7 	70.8 	70.9 	70.2 	70.9 	72.6 	74.0 	73.4 	73.6 
PC_EU28_MPPS_CP,NLPR_HW,DE	129.2 	127.2 	127.4 	126.4 	125.6 	125.0 	126.4 	125.4 	125.3 	127.2 	126.5 	127.5 	127.4 
PC_EU28_MPPS_CP,NLPR_HW,DK	124.6 	124.6 	124.5 	126.2 	128.0 	133.8 	132.0 	131.7 	131.8 	133.1 	132.4 	129.4 	131.7 
PC_EU28_MPPS_CP,NLPR_HW,EA	115.4 	115.2 	114.8 	114.1 	113.8 	112.6 	112.4 	112.1 	112.5 	112.3 	111.5 	111.6 	111.4 
PC_EU28_MPPS_CP,NLPR_HW,EA19	112.7 	112.5 	112.4 	112.0 	112.5 	111.5 	111.5 	111.2 	111.6 	111.8 	111.5 	111.6 	111.4 
PC_EU28_MPPS_CP,NLPR_HW,EE	49.5 	51.4 	55.9 	56.2 	60.2 	62.2 	62.1 	63.7 	64.0 	65.7 	63.3 	65.0 	65.6 
PC_EU28_MPPS_CP,NLPR_HW,EL	77.0 	79.6 	78.0 	78.4 	78.0 	73.3 	69.4 p	68.5 p	68.9 p	69.6 p	67.1 p	66.0 p	64.7 p
PC_EU28_MPPS_CP,NLPR_HW,ES	96.3 	98.5 	99.2 	98.7 	101.6 	98.4 	97.7 	99.2 	99.5 	99.5 	97.9 	97.6 p	98.0 p
