geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
AT	67.07 	67.34 	67.59 	67.81 	67.03 	67.17 	67.40 	67.59 	67.81 	67.95 	68.13 
BE	85.23 	84.93 	85.33 	85.47 	92.08 	90.99 	90.69 	91.90 	93.27 	92.81 	92.20 
BG	: 	: 	: 	76.73 	81.70 	80.89 	81.61 	81.61 	81.61 	81.61 	81.61 
CY	61.53 	61.53 	61.45 	: 	: 	: 	: 	: 	: 	: 	: 
CZ	65.69 	63.49 	66.86 	68.17 	79.45 	79.96 	80.19 	80.12 	80.11 	80.20 	80.27 
DE	74.43 	75.05 	74.18 	73.92 	74.89 	72.94 	73.34 	73.29 	72.99 	73.03 	73.10 
DK	91.52 	90.91 	89.86 	88.92 	89.16 	89.55 	89.13 	89.82 	89.40 	89.61 	89.59 
EA18	76.08 	76.39 	75.86 	76.71 	77.12 	76.27 	76.58 	76.43 	76.60 	76.61 	76.45 
EA19	76.13 	76.42 	75.90 	76.76 	77.21 	76.20 	76.50 	76.34 	76.49 	76.46 	76.50 
EE	64.28 	63.50 	63.03 	62.55 	61.88 	62.71 	63.50 	64.29 	63.66 	63.66 	62.88 
EL	55.50 	56.38 	59.08 	62.76 	65.32 	51.45 	57.38 	51.56 	50.89 	50.29 	50.57 
ES	80.20 	80.26 	81.49 	81.18 	80.61 	82.64 	82.71 	82.81 	81.74 	81.73 	81.43 
EU27	71.65 	71.98 	71.36 	74.39 	75.16 	74.67 	74.69 	74.30 	74.19 	73.96 	73.95 
EU28	70.62 	70.90 	70.26 	74.43 	75.26 	74.76 	74.79 	74.40 	74.24 	74.01 	74.00 
FI	77.80 	76.31 	74.24 	73.28 	72.10 	72.31 	72.27 	74.97 	75.59 	81.67 	76.34 
FR	81.58 	80.82 	77.36 	77.22 	77.19 	76.93 	77.36 	77.28 	77.31 	77.43 	76.47 
HR	: 	: 	: 	: 	: 	: 	: 	: 	81.04 	81.04 	80.13 
HU	62.40 	77.68 	80.64 	80.31 	80.61 	79.94 	79.63 	79.48 	78.76 	78.56 	78.41 
IE	74.19 	76.60 	78.57 	79.50 	80.61 	78.18 	75.91 	74.18 	73.72 	73.19 	71.84 
IS	66.73 	85.23 	83.67 	81.41 	85.37 	86.18 	86.24 	86.24 	86.24 	84.78 	83.80 
IT	72.02 	72.95 	73.13 	78.82 	79.21 	78.42 	77.70 	77.30 	79.69 	79.68 	80.77 
JP	57.35 	57.91 	58.34 	58.51 	48.93 	49.85 	49.71 	49.85 	46.14 	50.26 	48.74 
LT	80.65 	78.77 	79.76 	81.60 	86.22 	69.78 	68.47 	66.64 	64.39 	61.49 	81.56 
LU	86.11 	86.30 	86.55 	86.45 	85.51 	85.72 	86.75 	86.13 	86.51 	86.69 	87.60 
LV	87.82 	87.81 	86.99 	85.48 	87.46 	89.86 	89.92 	90.06 	89.03 	88.35 	87.86 
MT	60.29 	59.95 	61.11 	58.26 	58.31 	58.62 	55.66 	55.92 	55.97 	57.65 	57.05 
NL	79.93 	81.77 	83.45 	83.81 	83.49 	84.00 	83.89 	84.04 	83.74 	82.22 	82.33 
NO	74.77 	75.38 	75.82 	75.84 	75.71 	75.70 	75.75 	75.86 	75.86 	75.64 	75.64 
PL	83.02 	82.57 	78.24 	76.24 	76.00 	81.59 	80.67 	80.84 	80.90 	79.36 	81.82 
PT	80.98 	81.87 	81.50 	81.06 	80.67 	79.03 	79.04 	79.15 	79.95 	79.84 	80.27 
RO	: 	: 	: 	56.85 	61.72 	57.57 	52.02 	52.14 	52.01 	50.60 	49.40 
SE	87.08 	86.96 	82.18 	78.83 	76.47 	74.68 	73.69 	72.32 	71.30 	69.49 	68.92 
SI	82.61 	82.27 	80.69 	83.40 	83.43 	83.15 	89.66 	89.53 	89.75 	89.71 	89.59 
SK	42.78 	43.33 	43.60 	44.34 	42.23 	42.61 	44.33 	44.32 	44.26 	44.51 	44.74 
UK	68.05 	67.92 	67.73 	65.15 	65.43 	64.78 	65.67 	63.91 	62.67 	62.48 	61.65 
US	70.40 	70.45 	70.48 	69.43 	68.13 	68.37 	67.89 	67.60 	70.70 	70.85 	70.80 
