sex,age,unit,isced11,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,Y25-64,PC,ED3-8,AT	80.4 	80.1 b	79.9 	80.9 	81.6 	82.4 	82.4 	82.9 	83.0 	83.9 b	84.6 	84.5 	85.0 
T,Y25-64,PC,ED3-8,BE	66.1 	66.9 	68.0 	69.6 b	70.6 	70.5 	71.3 	71.6 	72.8 	73.6 b	74.7 	75.1 	76.8 b
T,Y25-64,PC,ED3-8,BG	72.5 	75.5 b	77.4 	77.5 	77.9 	79.1 b	80.0 	81.0 	81.8 	81.1 b	81.9 	82.3 	82.8 
T,Y25-64,PC,ED3-8,CH	83.0 	85.2 	86.0 	86.8 	86.9 	85.0 b	84.8 	85.7 	86.4 	87.2 b	87.3 	87.4 	87.8 
T,Y25-64,PC,ED3-8,CY	66.6 	69.5 	72.1 	73.1 	72.3 b	74.0 	75.2 	77.4 	78.5 	77.6 b	77.9 	79.5 	81.1 
T,Y25-64,PC,ED3-8,CZ	89.9 	90.3 	90.5 	90.9 	91.4 	91.9 	92.3 b	92.5 	92.8 	93.2 b	93.2 	93.4 	93.8 
T,Y25-64,PC,ED3-8,DE	83.1 b	83.2 	84.4 	85.3 	85.5 	86.1 b	86.6 	86.6 	86.7 	86.9 b	86.8 	86.5 	86.5 
T,Y25-64,PC,ED3-8,DK	81.0 	81.6 	74.3 b	73.8 	74.8 	75.6 	76.9 	77.9 	78.3 	79.6 b	80.4 	80.7 b	81.3 b
T,Y25-64,PC,ED3-8,EA18	65.2 	65.7 	66.6 	67.4 	67.9 	68.6 	69.4 	70.2 	71.3 	72.4 b	73.0 	73.5 	74.0 
T,Y25-64,PC,ED3-8,EA19	65.4 	65.9 	66.8 	67.6 	68.1 	68.8 	69.6 	70.4 	71.5 	72.6 b	73.2 	73.7 	74.2 
T,Y25-64,PC,ED3-8,EE	89.0 	88.5 	89.1 	88.4 	88.8 	89.3 	89.1 	90.0 	90.6 	88.2 b	88.7 	89.1 	88.8 
T,Y25-64,PC,ED3-8,EL	60.2 	59.2 	60.1 	61.3 	61.5 b	62.7 	64.6 	65.8 	67.2 	68.4 b	70.4 	71.8 	72.9 
T,Y25-64,PC,ED3-8,ES	48.8 b	49.7 	50.6 	51.1 	51.6 	52.9 	54.0 	54.7 	55.5 	56.6 b	57.4 	58.3 	59.1 
T,Y25-64,PC,ED3-8,EU27	69.4 	70.0 	70.7 	71.4 	72.0 	72.6 	73.3 	74.2 	75.1 	75.8 b	76.5 	76.9 	77.5 
T,Y25-64,PC,ED3-8,EU28	69.4 	70.0 	70.7 	71.4 	72.0 	72.7 	73.4 	74.2 	75.2 	75.9 b	76.5 	77.0 	77.5 
T,Y25-64,PC,ED3-8,FI	78.8 	79.6 	80.5 	81.1 	82.0 	83.0 	83.7 	84.8 	85.9 	86.5 b	87.7 	88.1 	88.3 
T,Y25-64,PC,ED3-8,FR	66.7 	67.3 	68.5 	69.5 	70.1 	70.7 	71.5 	72.4 	75.0 b	76.7 b	77.5 	78.1 	78.4 
T,Y25-64,PC,ED3-8,HR	72.8 	74.1 	75.7 	76.7 	77.5 	77.3 b	78.2 	80.5 	81.3 	82.7 b	83.1 	82.7 	83.8 
T,Y25-64,PC,ED3-8,HU	76.4 	78.0 	79.0 	79.6 	80.5 	81.2 	81.5 	82.0 	82.5 	83.1 b	83.2 	83.4 	84.0 
T,Y25-64,PC,ED3-8,IE	65.2 	66.7 	68.2 b	70.2 	71.3 	72.8 	73.7 	74.7 	76.9 	79.0 b	80.1 	80.3 	82.0 b
T,Y25-64,PC,ED3-8,IS	62.9 	63.3 u	63.9 	64.1 	65.9 	66.5 	70.7 	71.0 	72.2 	73.6 b	75.0 	78.2 	77.3 
T,Y25-64,PC,ED3-8,IT	50.1 	51.3 	52.2 	53.3 	54.2 	55.1 	56.0 	57.2 	58.2 	59.3 b	59.9 	60.1 	60.9 
T,Y25-64,PC,ED3-8,LT	87.5 	87.8 	88.5 	90.4 	91.2 	91.9 	92.9 	93.3 	93.4 	93.3 b	93.5 	94.6 	94.8 
T,Y25-64,PC,ED3-8,LU	65.9 	65.5 	65.7 b	67.9 	77.3 b	77.7 	77.3 	78.3 	80.5 	82.0 b	76.0 b	78.4 u	76.4 u
T,Y25-64,PC,ED3-8,LV	84.4 	84.1 	84.6 	85.9 	86.8 	88.6 	87.9 	89.1 	89.4 	89.5 b	90.1 	90.7 	90.4 
T,Y25-64,PC,ED3-8,ME	: 	: 	: 	: 	: 	: 	82.5 	83.6 	84.6 	85.6 b	85.9 	85.5 	86.1 
T,Y25-64,PC,ED3-8,MK	: 	57.6 	60.5 	59.2 	61.2 	62.5 	63.7 	64.9 	65.6 	65.7 b	66.4 	68.4 	69.6 
T,Y25-64,PC,ED3-8,MT	25.2 b	26.5 	26.6 	27.8 	30.8 	33.0 	35.5 b	38.1 	41.2 	44.1 b	46.0 	48.4 	51.1 
T,Y25-64,PC,ED3-8,NL	71.8 	72.4 	73.2 	73.3 	73.4 	72.3 b	72.5 b	73.4 	75.8 b	75.9 b	76.4 	77.1 	78.4 
T,Y25-64,PC,ED3-8,NO	88.2 	78.5 b	78.7 	80.0 	80.5 	80.9 	81.3 	82.1 	82.4 	82.7 b	82.7 	82.3 	82.2 
T,Y25-64,PC,ED3-8,PL	84.8 	85.8 	86.3 	87.1 	88.0 	88.5 b	88.9 	89.6 	90.1 	90.5 b	90.8 	91.3 	92.1 
T,Y25-64,PC,ED3-8,PT	26.3 	27.5 	27.3 	28.1 	29.7 	31.7 	34.6 b	37.3 	39.8 	43.3 b	45.1 	46.9 	48.0 
T,Y25-64,PC,ED3-8,RO	73.1 	74.2 	75.0 	75.3 	74.7 	73.9 b	74.5 	75.4 	75.7 	72.8 b	75.0 	76.7 	77.9 
T,Y25-64,PC,ED3-8,SE	83.6 b	78.9 b	79.4 	80.0 	80.7 	81.2 	81.6 	82.4 	83.2 	83.7 b	84.3 	85.0 	85.3 
T,Y25-64,PC,ED3-8,SI	80.3 	81.6 	81.8 	82.0 	83.3 	83.3 	84.5 	85.0 	85.5 	85.7 b	86.8 	87.3 	87.9 
