wstatus,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
EMP,Y_GE18,F,AT	6.1 	6.3 	5.7 	7.7 b	7.3 	6.9 	6.6 	7.3 	7.8 	6.4 	7.2 	7.9 	7.4 
EMP,Y_GE18,F,BE	3.1 	3.7 	4.3 	5.2 	4.7 	4.2 	4.0 	4.5 	4.3 	5.2 	4.8 	4.6 	4.7 
EMP,Y_GE18,F,BG	: 	5.6 	5.6 	7.0 	7.1 	6.8 	7.5 	7.0 	6.4 	8.6 	7.2 	9.6 	8.3 
EMP,Y_GE18,F,CH	: 	: 	7.9 	9.6 	9.1 	8.3 	7.9 	8.5 	8.0 	6.2 b	8.2 	6.9 	: 
EMP,Y_GE18,F,CY	6.6 	7.3 	6.7 	6.9 b	7.6 	9.0 	7.9 	9.0 	9.7 	7.9 	9.0 	8.5 	7.5 
EMP,Y_GE18,F,CZ	3.6 	3.9 	3.3 	4.2 	3.4 	3.6 	4.0 	4.7 	4.3 	3.9 	4.5 	3.9 	3.7 
EMP,Y_GE18,F,DE	5.5 	6.2 	8.2 	7.7 	7.5 	8.2 	8.2 	8.8 	9.8 	11.1 	10.5 	11.0 	10.1 
EMP,Y_GE18,F,DK	4.8 	3.4 	3.2 	4.2 	4.5 	5.8 	5.4 b	4.1 	5.2 	4.9 	4.5 	4.9 	4.3 
EMP,Y_GE18,F,EA18	6.4 	6.6 	7.2 	7.5 	7.6 	7.5 	8.2 	8.3 	8.4 	9.3 	8.8 	9.3 	9.3 e
EMP,Y_GE18,F,EA19	6.5 	6.6 	7.3 	7.5 	7.6 	7.5 	8.2 	8.3 	8.5 	9.3 	8.8 	9.3 	9.3 e
EMP,Y_GE18,F,EE	8.1 	8.7 	9.2 	8.6 	9.7 	7.9 	9.0 	10.0 	9.2 	11.9 b	9.4 	9.3 	9.0 
EMP,Y_GE18,F,EL	11.6 	12.5 	12.3 	12.1 	10.6 	10.2 	10.1 	13.1 	12.6 	10.4 	11.0 	12.3 	9.9 
EMP,Y_GE18,F,ES	9.1 	8.5 	8.8 	10.2 b	10.6 	10.0 	10.6 	10.1 	9.9 	12.1 	12.1 	12.4 	12.8 
EMP,Y_GE18,F,EU27	7.3 e	7.3 e	7.6 	8.0 	7.8 	7.8 	8.4 	8.4 	8.5 	9.1 	8.7 	9.1 	9.1 e
EMP,Y_GE18,F,EU28	: 	: 	: 	: 	: 	7.8 	8.3 	8.4 	8.5 	9.1 	8.7 	9.1 	9.1 e
EMP,Y_GE18,F,FI	3.6 	4.2 	5.5 	5.0 	3.4 	3.3 	3.4 	3.3 	3.5 	3.4 	2.9 	2.9 	2.8 
EMP,Y_GE18,F,FR	5.0 	5.6 	5.9 	6.0 b	6.2 	6.2 	7.7 	7.6 	6.9 	7.8 	6.7 	7.6 	7.3 
EMP,Y_GE18,F,HR	: 	: 	: 	: 	: 	4.7 	5.5 	5.1 	4.6 	4.1 	4.6 	4.2 	: 
EMP,Y_GE18,F,HU	6.5 	5.4 	4.9 	4.5 	5.3 	4.6 	5.4 	4.7 	6.2 	5.9 	8.7 	9.9 	10.6 
EMP,Y_GE18,F,IE	5.5 	6.0 	5.4 	5.7 	4.4 	3.6 	4.5 	4.8 	4.7 	5.1 	4.1 	4.7 	: 
EMP,Y_GE18,F,IS	7.3 	6.2 	7.1 	6.4 	8.0 	6.5 	6.5 	5.0 	6.1 	4.4 	6.3 	6.0 p	: 
EMP,Y_GE18,F,IT	6.2 	6.3 	6.9 	6.6 	8.3 	7.4 	9.5 	9.5 	9.9 	10.1 	9.5 	9.5 	10.6 
EMP,Y_GE18,F,LT	9.7 	9.0 	8.4 	9.6 	11.3 	14.3 	9.7 	8.3 	10.4 	8.1 	8.4 	7.7 	7.7 
EMP,Y_GE18,F,LU	9.8 	10.3 	9.1 	9.6 	9.5 	10.4 	10.6 	9.9 	10.8 	10.3 	11.4 	12.7 b	13.0 
EMP,Y_GE18,F,LV	9.2 	12.4 	9.6 	10.7 	10.7 	9.6 	10.3 	9.2 	10.0 	8.8 	9.5 	8.2 	9.4 
EMP,Y_GE18,F,MK	: 	: 	: 	: 	: 	: 	8.5 	9.8 	10.0 	7.8 	6.8 	6.5 	: 
EMP,Y_GE18,F,MT	2.4 	2.0 	2.5 	2.5 	2.6 	3.7 	3.6 	3.0 	2.8 	3.6 	3.2 	3.1 	3.4 
EMP,Y_GE18,F,NL	5.4 	4.2 	4.6 	4.7 	5.1 	4.6 	5.0 	4.3 	3.8 	4.6 	4.6 	5.0 b	6.7 
EMP,Y_GE18,F,NO	4.0 	5.8 	6.0 	4.7 	5.7 	5.1 	4.9 	4.6 	5.3 	5.1 	5.9 	6.4 	7.6 
EMP,Y_GE18,F,PL	12.3 	11.4 	10.5 	10.4 	9.8 	10.6 	9.7 	8.7 	9.4 	9.3 	9.8 	9.5 	9.1 
EMP,Y_GE18,F,PT	10.9 	10.6 	9.1 	11.3 	9.6 	9.3 	9.9 	8.5 	9.2 	9.9 	10.2 	10.5 	10.4 
EMP,Y_GE18,F,RO	: 	: 	15.3 	15.4 	14.8 	15.3 	16.1 	15.8 	14.9 	16.1 	15.7 	15.2 	13.6 
EMP,Y_GE18,F,RS	: 	: 	: 	: 	: 	: 	: 	: 	12.8 	13.4 	10.6 	9.9 	: 
EMP,Y_GE18,F,SE	4.8 	6.3 	5.8 	6.5 b	7.1 	7.6 	7.1 	6.7 	7.2 	6.9 	6.9 	6.4 	5.6 
EMP,Y_GE18,F,SI	4.0 	4.0 	4.0 	4.5 	4.2 	4.2 	4.5 	5.3 	5.5 	4.4 	5.4 	4.8 	5.2 
EMP,Y_GE18,F,SK	9.2 	6.3 	4.9 	5.4 	4.9 	5.4 	5.9 	5.6 	5.5 	5.3 	5.5 	6.0 	5.8 
EMP,Y_GE18,F,TR	: 	21.0 	19.2 	21.3 	22.1 	21.3 	17.5 	15.7 	13.9 	12.1 	11.5 	: 	: 
EMP,Y_GE18,F,UK	7.6 	7.4 	7.7 	9.0 	7.1 	6.7 	8.1 	8.9 b	8.1 	8.3 	7.3 	8.1 	: 
EMP,Y_GE18,M,AT	7.3 	6.4 	6.3 	9.1 b	9.0 	7.9 	8.4 	8.7 	8.1 	7.8 	8.4 	8.6 	7.9 
EMP,Y_GE18,M,BE	4.5 	4.5 	4.4 	4.5 	4.6 	4.8 	4.3 	4.5 	4.5 	4.5 	4.4 	4.8 	5.3 
EMP,Y_GE18,M,BG	: 	5.3 	6.1 	7.9 	7.7 	8.4 	8.8 	7.7 	7.9 	9.7 	8.2 	13.0 	11.3 
EMP,Y_GE18,M,CH	: 	: 	7.5 	9.4 	7.4 	7.0 	7.6 	8.5 	7.3 	6.3 b	8.2 	7.7 	: 
EMP,Y_GE18,M,CY	6.4 	7.2 	6.0 	5.8 b	6.2 	5.9 	6.7 	7.0 	8.1 	7.6 	9.1 	8.0 	8.2 
EMP,Y_GE18,M,CZ	3.4 	3.2 	3.3 	3.2 	3.0 	3.7 	4.1 	4.4 	3.8 	3.3 	3.6 	3.7 	3.4 
EMP,Y_GE18,M,DE	4.3 	4.9 	6.8 	6.5 	6.2 	6.3 	7.2 	6.9 	7.6 	8.9 	8.9 	8.1 	8.1 
EMP,Y_GE18,M,DK	4.8 	5.3 	4.9 	5.7 	7.1 	7.0 	7.2 b	6.2 	5.7 	4.9 	6.3 	5.6 	6.2 
EMP,Y_GE18,M,EA18	7.9 	7.8 	8.4 	8.6 	8.7 	8.4 	8.8 	8.9 	8.9 	9.5 	9.9 	9.7 	9.6 e
EMP,Y_GE18,M,EA19	8.0 	7.9 	8.4 	8.6 	8.7 	8.4 	8.8 	8.9 	8.9 	9.5 	9.9 	9.7 	9.6 e
EMP,Y_GE18,M,EE	6.9 	6.3 	6.4 	6.0 	6.5 	5.0 	6.8 	6.6 	6.0 	11.7 b	10.6 	9.9 	9.7 
EMP,Y_GE18,M,EL	13.8 	14.7 	15.5 	15.9 	16.1 	16.4 	13.2 	16.5 	13.4 	15.4 	15.2 	15.3 	15.0 
EMP,Y_GE18,M,ES	11.5 	11.2 	11.2 	12.1 b	12.5 	11.5 	11.2 	11.3 	10.9 	12.9 	14.0 	13.7 	13.3 
EMP,Y_GE18,M,EU27	8.9 e	8.7 e	8.9 	9.1 	8.9 	8.8 	9.2 	9.4 	9.4 	9.9 	10.2 	10.1 	10.0 e
EMP,Y_GE18,M,EU28	: 	: 	: 	: 	: 	8.8 	9.2 	9.4 	9.4 	9.9 	10.1 	10.0 	10.0 e
EMP,Y_GE18,M,FI	3.8 	4.7 	4.5 	5.3 	4.0 	4.0 	4.3 	4.2 	4.0 	3.9 	4.1 	3.3 	2.6 
EMP,Y_GE18,M,FR	7.0 	6.4 	7.0 	7.1 b	7.0 	6.8 	7.5 	8.4 	8.6 	8.2 	8.2 	8.2 	7.5 
EMP,Y_GE18,M,HR	: 	: 	: 	: 	: 	7.6 	7.5 	6.8 	7.5 	7.1 	7.0 	6.7 	: 
EMP,Y_GE18,M,HU	10.6 	8.1 	6.6 	6.8 	7.0 	6.0 	6.9 	6.6 	7.7 	7.4 	9.7 	9.4 	9.9 
EMP,Y_GE18,M,IE	6.4 	6.2 	5.7 	7.1 	6.1 	7.1 	6.6 	6.3 	5.3 	5.8 	5.5 	4.9 	: 
EMP,Y_GE18,M,IS	8.5 	6.9 	6.9 	6.9 	7.4 	6.8 	6.4 	5.4 	6.1 	4.9 	6.6 	6.9 p	: 
EMP,Y_GE18,M,IT	10.4 	10.6 	10.8 	10.6 	11.5 	11.0 	12.0 	12.0 	11.8 	11.5 	12.8 	13.2 	13.3 
EMP,Y_GE18,M,LT	10.4 	10.9 	7.7 	9.1 	9.2 	10.6 	9.3 	6.8 	7.8 	8.5 	11.4 	9.3 	9.3 
EMP,Y_GE18,M,LU	9.8 	10.2 	9.4 	9.2 	10.5 	10.8 	9.3 	10.5 	11.6 	11.7 	11.8 	11.5 b	14.3 
EMP,Y_GE18,M,LV	8.8 	9.9 	8.9 	10.2 	10.9 	9.2 	8.3 	8.0 	7.7 	7.3 	9.0 	8.4 	8.2 
EMP,Y_GE18,M,MK	: 	: 	: 	: 	: 	: 	11.2 	11.9 	11.8 	11.0 	10.3 	10.6 	: 
EMP,Y_GE18,M,MT	5.1 	5.1 	5.5 	6.3 	6.8 	7.0 	7.4 	6.5 	7.8 	7.0 	6.7 	7.5 	7.5 
EMP,Y_GE18,M,NL	6.1 	4.5 	4.6 	4.8 	5.0 	5.6 	5.8 	4.8 	5.2 	5.8 	5.4 	6.1 b	5.5 
EMP,Y_GE18,M,NO	5.0 	6.3 	5.6 	6.0 	5.5 	5.3 	6.1 	5.3 	5.9 	4.9 	5.2 	5.2 	7.5 
EMP,Y_GE18,M,PL	15.1 	13.9 	12.6 	12.4 	12.1 	12.2 	12.3 	11.8 	11.8 	11.7 	12.4 	11.9 	10.6 
EMP,Y_GE18,M,PT	12.8 	11.8 	10.2 	12.2 	11.0 	10.0 	10.6 	11.1 	11.7 	11.5 	11.6 	11.3 	11.2 
EMP,Y_GE18,M,RO	: 	: 	19.0 	19.3 	19.3 	19.7 	21.4 	21.3 	21.0 	22.6 	21.0 	21.5 	20.1 
EMP,Y_GE18,M,RS	: 	: 	: 	: 	: 	: 	: 	: 	16.5 	16.3 	15.7 	14.8 	: 
EMP,Y_GE18,M,SE	6.2 	8.4 	7.0 	8.1 b	7.8 	7.8 	7.8 	7.6 	7.9 	8.4 	8.9 	7.0 	8.1 
EMP,Y_GE18,M,SI	5.2 	5.4 	5.2 	5.5 	5.2 	6.2 	7.2 	7.6 	8.4 	7.9 	7.7 	7.1 	7.7 
EMP,Y_GE18,M,SK	8.7 	6.3 	4.8 	6.2 	5.5 	5.9 	6.7 	6.6 	5.9 	6.1 	6.5 	6.9 	6.8 
EMP,Y_GE18,M,TR	: 	17.3 	17.3 	17.2 	17.5 	16.7 	15.4 	15.2 	15.3 	15.4 	14.7 	: 	: 
EMP,Y_GE18,M,UK	8.8 	8.1 	8.3 	8.1 	6.4 	6.8 	7.7 	9.1 b	8.7 	9.0 	8.9 	9.0 	: 
