unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y_LT18,T,AT	19.3 	18.5 	22.9 b	20.8 	22.4 	22.1 	20.9 	22.9 	23.3 	22.3 	20.0 	23.0 
PC,Y_LT18,T,BE	21.4 	21.6 	21.3 	20.5 	23.2 	23.3 	22.8 	21.9 	23.2 	23.3 	21.6 	22.0 
PC,Y_LT18,T,BG	61.0 	60.8 	44.2 b	47.3 	49.8 	51.8 	52.3 	51.5 	45.2 b	43.7 	45.6 b	41.6 
PC,Y_LT18,T,CH	: 	20.8 	21.4 	20.4 	19.8 	18.9 	18.9 	17.2 	17.3 b	20.7 	20.5 	: 
PC,Y_LT18,T,CY	21.3 	20.8 	21.5 b	20.2 	21.8 	23.4 	27.5 	27.7 	24.7 	28.9 	29.6 	25.5 
PC,Y_LT18,T,CZ	22.7 	21.5 	18.6 	17.2 	18.9 	20.0 	18.8 	16.4 	19.5 	18.5 	17.4 	14.2 
PC,Y_LT18,T,DE	20.9 	19.7 	20.1 	20.4 	21.7 	19.9 	18.4 	19.4 	19.6 	18.5 	19.3 	18.0 
PC,Y_LT18,T,DK	14.5 	14.2 	12.7 	14.0 	15.1 	15.7 b	14.9 	15.4 	14.5 	15.7 	13.9 	14.5 
PC,Y_LT18,T,EA18	23.1 	22.9 	23.6 	24.2 	25.3 	25.4 	25.5 	25.1 	25.7 	25.3 	25.2 	24.2 e
PC,Y_LT18,T,EA19	23.2 	23.0 	23.7 	24.3 	25.4 	25.5 	25.6 	25.2 	25.7 	25.4 	25.3 	24.3 e
PC,Y_LT18,T,EE	24.1 	20.1 	19.4 	24.5 	24.0 	24.8 	22.4 	22.3 	23.8 b	22.5 	21.2 	18.8 
PC,Y_LT18,T,EL	27.9 	28.2 	28.7 	30.0 	28.7 	30.4 	35.4 	38.1 	36.7 	37.8 	37.5 	36.2 
PC,Y_LT18,T,ES	29.5 	28.6 	30.1 b	32.0 	33.3 	32.2 	32.4 	32.6 	35.8 	34.4 	32.9 	31.3 
PC,Y_LT18,T,EU27	27.5 e	26.5 	26.5 	26.5 	27.6 	27.3 	28.0 	27.9 	27.8 	27.0 	26.4 	24.5 e
PC,Y_LT18,T,EU28	: 	: 	: 	: 	27.6 	27.3 	28.1 	27.9 	27.8 	27.1 	26.4 	24.5 e
PC,Y_LT18,T,FI	13.8 	15.1 	15.1 	14.0 	14.2 	16.1 	14.9 	13.0 	15.6 	14.9 	14.7 	15.1 
PC,Y_LT18,T,FR	18.1 	19.6 	21.2 b	21.2 	22.9 	23.0 	23.2 	20.8 	21.6 	21.2 	22.6 	22.3 
PC,Y_LT18,T,HR	: 	: 	: 	: 	29.4 	31.1 	34.8 	29.3 	29.0 	28.2 	26.6 	: 
PC,Y_LT18,T,HU	37.7 	34.1 	33.4 	37.2 	38.7 	40.4 	41.9 	43.9 	41.8 	36.1 	33.6 	31.6 
PC,Y_LT18,T,IE	28.0 	26.2 	26.6 	31.4 	34.1 	34.1 	33.5 	34.4 	30.4 	28.8 	27.3 	: 
PC,Y_LT18,T,IS	14.9 	15.7 	13.2 	11.2 	16.9 	16.6 	16.0 	16.6 	13.7 	15.0 	14.4 p	: 
PC,Y_LT18,T,IT	28.4 	28.6 	28.4 	28.7 	29.5 	31.5 	34.1 	32.0 	32.1 	33.5 	33.2 	32.1 
