age,sex,workint,indic_il,hhtyp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT	46.6 	45.3 	49.6 b	50.9 	56.0 	50.2 	53.2 	50.2 	54.1 	49.1 	51.9 	61.0 
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE	56.3 	55.3 	54.7 	57.6 	55.4 	62.9 	60.4 	60.7 	62.2 	58.5 	65.5 	70.4 
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG	68.6 	75.4 	77.8 	78.8 	76.2 	75.7 	71.5 	72.0 	67.7 	75.4 	71.6 b	75.8 
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH	: 	54.0 	48.9 	52.4 	54.5 	53.9 	50.4 	51.6 	42.9 b	44.2 	38.9 	: 
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY	38.2 	51.9 	50.4 b	50.6 	48.6 	46.6 	45.4 	52.4 	51.7 	50.9 	51.4 	47.8 
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ	54.6 	61.7 	55.4 	57.0 	57.6 	58.3 	54.6 	53.5 	67.1 	65.6 	70.6 	64.8 
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE	45.9 	56.0 	64.2 	67.2 	67.3 	68.7 	68.5 	63.7 	65.0 	68.9 	66.8 	68.5 
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DK	44.0 	44.9 	41.5 	43.8 	44.4 	39.5 b	38.6 	40.4 	43.8 	44.6 	48.0 	50.4 
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA18	50.2 	52.7 	55.2 	56.0 	57.8 	58.9 	59.6 	59.2 	59.4 	60.6 	60.8 	62.1 e
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EA19	50.3 	52.9 	55.3 	56.1 	57.9 	58.9 	59.6 	59.2 	59.5 	60.7 	60.9 	62.3 e
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EE	81.4 	82.1 	82.3 	73.5 	69.9 	72.8 	73.0 	78.4 	70.9 b	77.2 	78.1 	71.9 
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,EL	43.9 	41.6 	40.3 	35.8 	39.1 	54.1 	56.8 	58.4 	51.1 	51.6 	52.2 	51.6 
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,ES	60.0 	57.3 	51.4 b	55.2 	58.2 	57.6 	61.1 	61.3 	63.1 	61.6 	63.6 	65.7 
