wstatus,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
EMP,T,Y18-64,AT	6.3 	6.1 	8.5 b	8.2 	7.5 	7.6 	8.2 	7.9 	7.2 	7.8 	8.3 	7.7 
EMP,T,Y18-64,BE	4.0 	4.3 	4.7 	4.5 	4.4 	4.1 	4.5 	4.4 	4.8 	4.5 	4.7 	5.0 
EMP,T,Y18-64,BG	5.5 	5.9 	7.6 	7.5 	7.7 	8.2 	7.4 	7.2 	9.3 	7.8 	11.6 	10.0 
EMP,T,Y18-64,CH	: 	7.7 	9.2 	8.1 	7.5 	7.6 	8.5 	7.6 	6.2 b	8.1 	7.3 	: 
EMP,T,Y18-64,CY	7.2 	6.3 	6.3 b	6.8 	7.4 	7.3 	8.0 	9.0 	7.8 	9.2 	8.4 	8.0 
EMP,T,Y18-64,CZ	3.5 	3.3 	3.6 	3.2 	3.7 	4.1 	4.6 	4.1 	3.6 	4.0 	3.8 	3.6 
EMP,T,Y18-64,DE	5.5 	7.4 	7.1 	6.8 	7.1 	7.7 	7.7 	8.6 	9.9 	9.6 	9.5 	9.0 
EMP,T,Y18-64,DK	4.5 	4.2 	5.0 	5.9 	6.3 	6.3 b	5.3 	5.4 	4.8 	5.1 	5.3 	5.4 
EMP,T,Y18-64,EA18	7.2 	7.9 	8.1 	8.2 	8.0 	8.5 	8.6 	8.7 	9.4 	9.4 	9.5 	9.4 e
EMP,T,Y18-64,EA19	7.3 	7.9 	8.1 	8.2 	8.0 	8.5 	8.6 	8.7 	9.4 	9.4 	9.5 	9.4 e
EMP,T,Y18-64,EE	7.8 	7.9 	7.4 	8.3 	6.7 	8.2 	8.5 	7.7 	11.8 b	10.3 	9.9 	9.7 
EMP,T,Y18-64,EL	13.7 	14.1 	14.2 	13.7 	13.9 	11.9 	15.1 	13.0 	13.2 	13.4 	14.0 	12.8 
EMP,T,Y18-64,ES	10.1 	10.2 	11.3 b	11.7 	10.8 	10.9 	10.8 	10.6 	12.6 	13.2 	13.1 	13.1 
EMP,T,Y18-64,EU27	8.0 e	8.3 	8.5 	8.4 	8.3 	8.8 	8.9 	9.0 	9.6 	9.5 	9.6 	9.6 e
EMP,T,Y18-64,EU28	: 	: 	: 	: 	8.3 	8.8 	8.9 	9.0 	9.5 	9.5 	9.6 	9.6 e
EMP,T,Y18-64,FI	4.4 	5.0 	5.1 	3.7 	3.7 	3.9 	3.8 	3.8 	3.7 	3.5 	3.1 	2.7 
