indic_he,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
F_65_DFLE,AT	6.9 	7.7 	7.9 	7.5 b	8.2 	7.9 	8.3 	9.5 	8.8 	7.7 	7.7 	7.4 
F_65_DFLE,BE	9.8 bd	10 	10.4 	10.4 	10.3 	9.7 	10.3 	11.0 	10.9 	11.0 	11.0 	11.4 
F_65_DFLE,BG	: 	13.7 d	14.2 	9.4 b	9.3 	9.9 	9.7 	9.5 	9.9 	9.6 	9.5 	10.1 b
F_65_DFLE,CH	: 	: 	12.1 	12.8 	12.1 	12.2 	12.8 	14.2 	10.4 b	9.6 	: 	9.8 
F_65_DFLE,CY	5 d	7.3 bd	7.3 	7.6 	8.2 	7.9 	5.9 	7.7 	8.7 	8.8 	7.3 	10.3 
F_65_DFLE,CZ	7 d	7.1 	8.4 b	8.2 	8.5 	8.8 	8.7 	8.9 	8.9 	9.3 	8.6 	8.9 
F_65_DFLE,DE	5.9 	7.5 bd	7.7 	6.7 b	6.7 	7.1 	7.3 	6.9 	7.0 	6.7 	12.3 b	12.4 
F_65_DFLE,DK	14 	14.1 	14.3 	12.4 b	12.1 	12.8 	13.0 	12.9 	12.7 	12.8 	11.9 	11.9 
F_65_DFLE,EE	3.6 	4 	4.2 	4.3 b	5.4 	5.5 	5.7 	5.5 	5.7 	6.0 	5.3 	7.0 
F_65_DFLE,EL	10 	10.3 	9.7 	8.4 b	7.3 	8.2 	7.9 	7.3 	6.8 	7.1 	7.5 	7.8 
F_65_DFLE,ES	9.2 	9.6 	10.0 	8.8 b	8.5 	9.1 	9.2 	9.0 	9.0 	9.4 	8.9 	10.4 
F_65_DFLE,EU27	8.9 e	9 e	9.0 	8.5 b	8.4 	8.9 e	: 	: 	: 	: 	: 	: 
F_65_DFLE,EU28	: 	: 	: 	: 	: 	8.8 e	8.6 	8.5 	8.6 e	8.6 	9.4 b	10.1 
F_65_DFLE,FI	6.6 	7.5 	8.9 b	9.0 	9.0 	8.7 	8.6 	9.0 	: 	9.3 	9.0 	8.9 
F_65_DFLE,FR	9.7 	9.6 	9.9 	10.1 	9.5 	9.8 	9.9 	10.4 	10.7 	10.7 	10.7 	10.6 
F_65_DFLE,HR	: 	: 	: 	: 	: 	6.5 	7.3 	7.9 b	5.9 b	5.8 	4.5 	4.9 
F_65_DFLE,HU	5 d	5.6 d	5.9 	6.4 	5.7 	5.9 	6.0 	6.4 	6.1 	6.1 	5.9 	6.4 
F_65_DFLE,IE	9.8 	10.5 	10.5 	10.3 	10.5 	11.1 	11.8 	12.2 	12.1 	12.3 	12.0 	13.2 
F_65_DFLE,IS	12.3 	12.9 	16.3 b	13.9 	13.5 	14.8 	13.7 	14.3 	15.1 	15.1 	15.1 	: 
F_65_DFLE,IT	10.2 	8.8 bd	7.6 b	7.1 	7.2 	: 	7.0 	7.1 	7.1 	7.3 	7.5 	10.1 b
F_65_DFLE,LT	4.3 d	5.3 bd	5.6 	6.6 	6.8 	6.7 	6.7 	6.1 	6.3 	6.1 	5.5 	5.6 
F_65_DFLE,LU	9.3 	9.4 	10.7 	11.6 	11.5 	12.4 	11.8 	11.9 	10.6 	10.8 	8.7 	8.0 b
F_65_DFLE,LV	5.5 d	4.4 bd	4.6 	4.9 	5.7 	5.5 	5.0 	6.4 	4.2 b	4.6 	4.0 	4.5 
F_65_DFLE,MT	11.1 d	9.9 	11.5 	11.6 	11.7 	11.7 	11.0 	12.3 	12.7 	13.7 	14.0 	12.9 
F_65_DFLE,NL	11.1 d	11.4 	12.2 	9.7 b	10.4 	9.5 	9.9 	10.1 	9.2 	10.2 	9.4 	9.9 b
F_65_DFLE,NO	12.3 d	: 	13.1 	14.9 b	14.0 	15.7 	: 	16.0 	14.8 	15.9 	15.3 	15.2 
F_65_DFLE,PL	10.2 d	8.2 bd	7.1 	7.7 	7.7 	7.5 	8.3 	7.8 	7.8 	8.1 	8.4 	8.9 
F_65_DFLE,PT	5.2 bd	6 	5.4 	5.6 	5.5 	5.8 	6.3 	9.0 b	9.3 	5.6 b	5.4 	6.4 
F_65_DFLE,RO	: 	: 	7.8 	8.0 	7.1 	5.1 b	4.7 	5.1 	5.2 	5.7 	5.7 	5.6 
F_65_DFLE,SE	11.1 	14.2 bd	13.9 	14.0 b	14.7 	13.7 b	13.2 	: 	13.8 	16.7 b	16.8 	16.6 
F_65_DFLE,SI	8.6 d	9.6 	10.0 	9.4 	9.9 	7.2 b	6.9 	6.9 	7.6 	8.6 	7.6 	8.2 
F_65_DFLE,SK	5.4 d	3.8 bd	4.2 	2.7 b	2.9 	2.8 	2.9 	3.1 	3.7 	3.6 	3.8 	4.2 
F_65_DFLE,UK	11.4 d	11.1 	11.7 	11.7 	11.4 	11.8 	11.9 	10.5 	10.7 	10.6 	10.4 	11.1 
