unit,incgrp,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,TOTAL,T,AT	5.0 	5.4 	8.5 bu	8.0 u	7.5 u	7.8 u	7.0 	7.2 	6.6 	6.4 	7.2 	7.1 
PC,TOTAL,TOTAL,T,BE	9.8 	10.1 	12.5 	8.7 	8.9 	10.6 	11.0 	9.6 	10.4 	9.4 	9.5 	9.1 
PC,TOTAL,TOTAL,T,BG	15.4 	21.2 	13.3 	7.0 	5.9 	8.7 	14.5 	14.3 	12.9 	14.8 	20.7 b	18.9 
PC,TOTAL,TOTAL,T,CH	: 	: 	: 	13.2 	14.1 	13.1 	12.1 	10.6 	11.7 b	11.7 	12.0 	: 
PC,TOTAL,TOTAL,T,CY	3.0 	1.7 	1.8 b	2.4 	3.1 	3.1 	3.3 	3.3 	4.0 	3.9 	3.1 	2.8 
PC,TOTAL,TOTAL,T,CZ	10.8 	10.3 	12.8 	8.9 	9.7 	9.5 	10.0 	11.7 	10.5 	10.4 	9.5 	8.7 
PC,TOTAL,TOTAL,T,DE	: 	: 	: 	: 	14.5 	16.1 	16.6 	16.4 	15.9 	15.6 	15.8 	14.5 
PC,TOTAL,TOTAL,T,DK	16.1 	13.4 	17.1 	24.2 	21.9 	18.5 b	16.7 	17.9 	15.6 	15.1 	15.1 	15.7 
PC,TOTAL,TOTAL,T,EA18	9.7 e	8.4 e	8.2 e	8.0 e	9.6 	10.7 	11.1 	11.3 	11.5 	11.3 	11.0 	10.3 e
PC,TOTAL,TOTAL,T,EA19	9.7 e	8.3 e	8.2 e	8.0 e	9.6 	10.7 	11.1 	11.3 	11.4 	11.3 	11.0 	10.2 e
PC,TOTAL,TOTAL,T,EE	6.8 	5.2 	3.6 	4.4 	6.0 	7.4 	7.9 	7.2 	8.3 b	6.8 	4.9 	4.8 
PC,TOTAL,TOTAL,T,EL	24.6 	15.8 	22.2 	21.8 	18.1 	24.2 	33.1 	36.9 	44.9 	45.5 	40.5 	39.6 
PC,TOTAL,TOTAL,T,ES	7.4 	8.3 	9.4 b	10.4 	9.7 	10.0 	10.7 	10.3 	10.9 	10.3 	10.2 	9.8 
PC,TOTAL,TOTAL,T,EU27	11.6 e	10.7 e	10.5 e	9.9 e	10.7 	11.4 	11.0 	11.1 	11.7 	11.4 	11.1 	10.2 e
PC,TOTAL,TOTAL,T,EU28	: 	: 	: 	: 	10.8 	11.4 	11.0 	11.1 	11.6 	11.4 	11.1 	10.2 e
PC,TOTAL,TOTAL,T,FI	3.7 	4.7 	4.7 	4.4 	4.2 	4.4 	4.5 	4.9 	5.1 	4.9 	4.4 	4.3 
PC,TOTAL,TOTAL,T,FR	6.0 	5.7 	4.2 	4.0 	5.1 	5.2 	5.2 	5.2 	5.1 	5.7 	5.2 	4.7 
PC,TOTAL,TOTAL,T,HR	: 	: 	: 	: 	14.1 	8.0 	6.8 	8.4 	7.5 	7.2 	6.4 	: 
PC,TOTAL,TOTAL,T,HU	12.3 	10.9 	11.6 	8.9 	11.3 	13.0 	14.7 	14.3 	12.8 	8.5 	8.8 	10.7 
PC,TOTAL,TOTAL,T,IE	2.5 	3.1 	3.3 	4.0 	4.9 	6.1 	6.3 	4.6 	6.2 	4.6 	4.6 	: 
PC,TOTAL,TOTAL,T,IS	14.3 	10.5 	11.4 	9.5 	9.6 	11.3 	9.0 	8.8 	8.1 	8.2 	6.3 p	: 
PC,TOTAL,TOTAL,T,IT	12.2 	7.5 	8.3 	7.8 	7.7 	8.7 	8.1 	8.9 	8.5 	8.6 	9.6 	8.2 
PC,TOTAL,TOTAL,T,LT	6.9 	4.8 	5.0 	5.6 	10.6 	11.1 	8.9 	8.2 	7.1 	9.1 	7.8 	7.2 
PC,TOTAL,TOTAL,T,LU	4.8 	3.9 	3.7 	3.7 	4.7 	4.2 	4.9 	5.6 	6.8 	6.0 	9.5 b	10.0 
PC,TOTAL,TOTAL,T,LV	10.6 	9.9 	8.7 	9.3 	9.8 	12.5 	11.2 	11.4 	9.6 	8.1 	7.0 	6.9 
PC,TOTAL,TOTAL,T,MK	: 	: 	: 	: 	: 	19.5 	20.1 	17.6 	15.6 	12.3 	12.5 	: 
PC,TOTAL,TOTAL,T,MT	1.8 	2.5 	3.3 	2.8 	3.7 	3.0 	2.6 	2.6 	1.6 	1.1 	1.4 	1.4 
PC,TOTAL,TOTAL,T,NL	19.7 	18.3 	13.7 	13.1 	14.0 	14.5 	14.4 	15.7 	15.4 	14.9 	10.7 b	9.4 
PC,TOTAL,TOTAL,T,NO	10.8 	12.9 	12.5 	10.9 	9.1 	10.4 	9.7 	9.6 	8.2 	9.4 	9.7 	9.1 
PC,TOTAL,TOTAL,T,PL	12.0 	10.5 	9.7 	8.2 	9.1 	10.2 	10.5 	10.3 	9.6 	8.7 	7.7 	6.7 
PC,TOTAL,TOTAL,T,PT	4.5 	7.4 	7.6 	6.1 	4.2 	7.2 	8.3 	8.3 	9.2 	9.1 	7.5 	6.7 
PC,TOTAL,TOTAL,T,RO	: 	19.7 	19.1 	15.4 	15.8 	10.5 	18.4 	16.9 	16.2 	15.9 	14.4 	12.3 
PC,TOTAL,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	28.0 	32.6 	29.1 	28.2 	: 
PC,TOTAL,TOTAL,T,SE	9.6 	7.9 	10.0 b	10.6 	7.8 	9.3 	8.7 	9.0 	8.6 	8.7 	8.5 	8.4 
PC,TOTAL,TOTAL,T,SI	3.0 	5.0 	4.4 	3.9 	4.3 	4.7 	5.2 	6.0 	6.4 	6.1 	5.7 	5.2 
PC,TOTAL,TOTAL,T,SK	16.4 	17.8 	5.6 	9.4 	7.6 	8.4 	8.4 	8.3 	9.0 	9.1 	7.7 	8.4 
PC,TOTAL,TOTAL,T,TR	13.7 	9.1 	10.4 	11.2 	11.0 	10.7 	9.8 	11.7 	10.3 	10.5 	: 	: 
PC,TOTAL,TOTAL,T,UK	16.4 	16.3 	16.3 	16.3 	16.5 	16.4 	7.3 b	7.9 	12.5 b	12.4 	12.3 	: 
