indic_il,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_GAP_MD60,T,Y_GE65,AT	13.4 	12.0 	18.2 b	17.4 	18.6 	19.1 	19.0 	20.7 	19.6 	17.8 	16.1 	18.0 
LI_GAP_MD60,T,Y_GE65,BE	17.2 	14.6 	14.1 	12.0 	13.0 	13.2 	12.7 	10.5 	13.7 	11.1 	13.3 	11.7 
LI_GAP_MD60,T,Y_GE65,BG	15.8 	17.8 	18.2 	22.5 	26.6 	24.2 	22.4 	20.6 	17.9 	21.9 	16.3 b	20.0 
LI_GAP_MD60,T,Y_GE65,CH	: 	22.8 	24.1 	26.8 	22.8 	22.1 	24.8 	24.3 	22.6 b	22.5 	25.9 	: 
LI_GAP_MD60,T,Y_GE65,CY	21.6 	23.4 	17.7 b	18.5 	18.7 	17.5 	15.3 	13.2 	14.1 	12.0 	14.3 	14.3 
LI_GAP_MD60,T,Y_GE65,CZ	7.3 	7.0 	7.9 	9.4 	7.5 	8.1 	7.1 	8.3 	7.3 	9.0 	10.2 	7.6 
LI_GAP_MD60,T,Y_GE65,DE	17.0 	18.4 	16.8 	16.5 	16.6 	17.6 	18.8 	18.4 	19.9 	18.4 	18.6 	18.7 
LI_GAP_MD60,T,Y_GE65,DK	7.5 	8.6 	7.9 	9.5 	11.7 	8.2 b	8.6 	10.4 	8.3 	5.4 	5.7 	7.3 
LI_GAP_MD60,T,Y_GE65,EA18	18.3 	18.2 	16.6 	16.3 	15.6 	16.2 	15.9 	15.5 	16.4 	15.6 	16.0 	16.7 
LI_GAP_MD60,T,Y_GE65,EA19	18.3 	18.2 	16.6 	16.3 	15.6 	16.2 	15.9 	15.5 	16.4 	15.6 	16.0 	16.8 
LI_GAP_MD60,T,Y_GE65,EE	11.2 	14.2 	14.8 	11.4 	9.0 	8.7 	8.1 	8.1 	10.0 b	12.0 	14.7 	16.7 
LI_GAP_MD60,T,Y_GE65,EL	24.4 	24.2 	20.8 	14.7 	14.6 	21.1 	14.8 	13.7 	17.3 	17.3 	18.7 	19.7 
LI_GAP_MD60,T,Y_GE65,ES	20.8 	19.1 	17.8 b	17.5 	16.9 	17.3 	16.3 	16.6 	15.0 	14.2 	13.9 	20.2 
LI_GAP_MD60,T,Y_GE65,EU27	18.5 	18.6 	17.1 	16.8 	16.5 	16.8 	16.1 	15.9 	16.6 	16.4 	16.7 	16.7 
LI_GAP_MD60,T,Y_GE65,EU28	: 	: 	: 	: 	16.6 	16.9 	16.3 	16.0 	16.7 	16.5 	16.8 	16.7 
LI_GAP_MD60,T,Y_GE65,FI	11.3 	10.2 	11.4 	10.9 	10.6 	9.6 	11.3 	11.3 	10.1 	9.2 	8.9 	9.0 
LI_GAP_MD60,T,Y_GE65,FR	19.2 	18.1 	8.1 b	14.1 	12.0 	13.6 	13.5 	12.0 	12.0 	11.6 	11.0 	10.7 
LI_GAP_MD60,T,Y_GE65,HR	: 	: 	: 	: 	25.0 	24.6 	25.0 	24.1 	24.2 	21.5 	25.1 	: 
LI_GAP_MD60,T,Y_GE65,HU	17.0 	13.3 	10.2 	12.7 	11.0 	10.2 	11.6 	11.2 	11.6 	15.3 	14.3 	14.7 
LI_GAP_MD60,T,Y_GE65,IE	8.4 	10.1 	7.6 	13.9 	25.2 	29.7 	22.7 	27.1 	30.5 	11.8 	11.1 	: 
LI_GAP_MD60,T,Y_GE65,IS	7.5 	7.7 	12.0 	8.7 	10.7 u	31.5 u	13.3 u	14.0 u	5.3 u	7.8 u	6.1 pu	: 
LI_GAP_MD60,T,Y_GE65,IT	18.0 	19.2 	19.3 	17.5 	16.4 	15.8 	15.3 	14.8 	14.5 	15.1 	16.5 	16.6 
LI_GAP_MD60,T,Y_GE65,LT	13.1 	15.1 	15.9 	14.0 	8.9 	13.0 	9.4 	13.6 	14.7 	16.0 	18.9 	19.9 
LI_GAP_MD60,T,Y_GE65,LU	17.5 	9.3 	15.4 	14.0 	16.7 	11.7 	11.4 	14.7 	13.6 	12.9 	36.4 b	21.2 
LI_GAP_MD60,T,Y_GE65,LV	16.8 	19.8 	26.3 	23.7 	9.5 	16.8 	11.2 	11.9 	12.1 	15.8 	20.4 	21.7 
LI_GAP_MD60,T,Y_GE65,MK	: 	: 	: 	: 	: 	: 	25.7 	26.0 	22.5 	23.8 	25.1 	: 
LI_GAP_MD60,T,Y_GE65,MT	16.5 	17.4 	18.9 	15.5 	18.6 	19.4 	17.4 	14.6 	11.3 	13.0 	11.1 	12.3 
LI_GAP_MD60,T,Y_GE65,NL	7.8 	8.8 	14.5 	12.8 	10.2 	10.2 	12.5 	10.0 	16.1 	12.3 	11.4 b	10.4 
LI_GAP_MD60,T,Y_GE65,NO	14.0 	11.6 	12.8 	11.4 	11.5 	11.0 	9.1 	8.8 	9.1 	9.1 	9.3 	9.0 
LI_GAP_MD60,T,Y_GE65,PL	13.7 	14.4 	13.8 	15.0 	16.1 	15.7 	14.9 	16.7 	14.7 	14.9 	16.3 	15.8 
LI_GAP_MD60,T,Y_GE65,PT	17.4 	18.7 	17.7 	15.5 	15.9 	11.0 	11.4 	13.4 	20.6 	18.2 	18.0 	15.4 
LI_GAP_MD60,T,Y_GE65,RO	: 	28.5 	23.4 	23.4 	19.4 	18.8 	18.1 	17.5 	20.2 	21.6 	20.1 	21.8 
LI_GAP_MD60,T,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	26.9 	25.1 	26.2 	27.5 	: 
LI_GAP_MD60,T,Y_GE65,SE	12.1 	10.9 	10.9 b	11.4 	10.2 	11.9 	11.0 	11.3 	9.9 	9.4 	10.9 	10.7 
LI_GAP_MD60,T,Y_GE65,SI	18.3 	19.7 	19.6 	20.2 	18.9 	18.8 	18.9 	18.9 	18.1 	18.1 	19.1 	17.9 
LI_GAP_MD60,T,Y_GE65,SK	14.8 	11.6 	9.4 	14.7 	7.1 	8.3 	12.4 	7.9 	10.5 	10.4 	10.3 	9.6 
LI_GAP_MD60,T,Y_GE65,TR	38.2 	30.6 	30.4 	38.3 	36.3 	33.7 	35.0 	30.6 	32.4 	31.3 	: 	: 
LI_GAP_MD60,T,Y_GE65,UK	18.2 	19.0 	19.2 	17.9 	19.2 	19.6 	18.2 b	17.7 	18.8 	19.6 	20.8 	: 
LI_GAP_MD60,T,Y_GE75,AT	13.4 	12.6 	19.1 b	17.9 	18.6 	19.3 	18.7 	18.3 	18.9 	17.8 	15.0 	16.1 
LI_GAP_MD60,T,Y_GE75,BE	17.3 	15.6 	14.4 	11.5 	12.1 	10.7 	12.4 	9.2 	13.8 	12.4 	13.3 	10.8 
LI_GAP_MD60,T,Y_GE75,BG	16.2 	18.5 	20.2 	22.9 	29.5 	25.4 	23.8 	20.7 	18.4 	21.9 	15.4 b	19.2 
LI_GAP_MD60,T,Y_GE75,CH	: 	23.9 	23.9 	26.2 	25.2 	23.0 	25.0 	25.6 	23.0 b	22.4 	25.3 	: 
LI_GAP_MD60,T,Y_GE75,CY	24.5 	24.3 	19.2 b	19.6 	19.2 	18.3 	15.7 	13.4 	13.7 	11.2 	14.5 	14.9 
LI_GAP_MD60,T,Y_GE75,CZ	8.3 	6.5 	8.0 	9.7 	7.1 	7.7 	6.5 	9.0 	6.6 	9.1 	9.9 	6.5 
LI_GAP_MD60,T,Y_GE75,DE	18.7 	22.9 	14.8 	13.9 	17.4 	16.3 	16.0 	16.7 	18.5 	17.3 	16.7 	17.3 
LI_GAP_MD60,T,Y_GE75,DK	8.4 	8.8 	8.1 	9.6 	12.0 	7.2 b	8.5 	8.7 	8.3 	5.4 	5.4 	5.9 
LI_GAP_MD60,T,Y_GE75,EA18	19.0 	18.7 	15.9 	15.2 	14.3 	14.8 	14.2 	13.7 	15.0 	14.6 	14.2 	15.4 
