indic_il,age,sex,tenure,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_R_MD60,Y_GE65,T,OWN,AT	16.8 	13.6 	18.9 b	17.2 	16.4 	16.7 	14.9 	15.4 	13.8 	12.9 	12.5 	11.9 
LI_R_MD60,Y_GE65,T,OWN,BE	21.7 	22.1 	19.4 	19.7 	18.1 	18.8 	18.0 	16.9 	15.4 	13.3 	13.0 	14.6 
LI_R_MD60,Y_GE65,T,OWN,BG	19.9 	24.3 	33.7 	39.1 	32.2 	31.1 	28.1 	27.8 	22.5 	31.7 	24.3 b	32.0 
LI_R_MD60,Y_GE65,T,OWN,CH	: 	24.0 	27.4 	28.6 	28.2 	29.1 	28.5 	30.1 	25.3 b	26.3 	24.4 	: 
LI_R_MD60,Y_GE65,T,OWN,CY	52.6 	51.1 	47.2 b	46.9 	40.4 	36.1 	29.3 	20.1 	22.2 	17.1 	19.8 	21.7 
LI_R_MD60,Y_GE65,T,OWN,CZ	4.9 	4.9 	6.7 	6.6 	6.1 	6.1 	5.9 	5.7 	6.8 	7.1 	7.4 	9.6 
LI_R_MD60,Y_GE65,T,OWN,DE	11.9 	14.7 	12.2 	11.2 	11.3 	11.2 	11.2 	11.0 	12.1 	12.0 	13.2 	12.8 
LI_R_MD60,Y_GE65,T,OWN,DK	23.7 	24.4 	24.2 	25.8 	24.2 	17.2 b	15.2 	12.3 	11.4 	9.8 	8.9 	9.5 
LI_R_MD60,Y_GE65,T,OWN,EA18	19.5 	19.1 	17.3 	16.6 	14.5 	14.4 	13.1 	12.1 	11.8 	11.9 	12.4 	12.5 e
LI_R_MD60,Y_GE65,T,OWN,EA19	19.5 	19.3 e	17.4 	16.7 	14.4 	14.4 	13.2 	12.1 	11.9 	12.0 	12.5 	12.7 e
LI_R_MD60,Y_GE65,T,OWN,EE	24.6 	32.6 	38.5 	33.4 	15.0 	13.1 	17.2 	24.2 	32.3 b	35.5 	39.7 	40.7 
LI_R_MD60,Y_GE65,T,OWN,EL	26.5 	23.7 	22.8 	21.8 	21.3 	23.6 	17.2 	14.9 	14.7 	13.2 	12.2 	12.3 
LI_R_MD60,Y_GE65,T,OWN,ES	28.9 	25.6 	24.5 b	23.4 	21.4 	19.4 	14.4 	12.0 	10.9 	11.9 	12.6 	14.2 
LI_R_MD60,Y_GE65,T,OWN,EU27	19.4 e	19.2 	18.6 	17.5 	15.5 	15.4 	13.9 	13.0 	12.9 	13.1 	13.4 	13.4 e
LI_R_MD60,Y_GE65,T,OWN,EU28	: 	: 	: 	: 	15.7 	15.6 	14.0 	13.1 	13.0 	13.2 	13.6 	13.4 e
LI_R_MD60,Y_GE65,T,OWN,FI	21.3 	20.3 	19.7 	19.3 	16.5 	17.4 	16.7 	14.4 	14.7 	12.6 	11.4 	11.7 
LI_R_MD60,Y_GE65,T,OWN,FR	15.7 	12.9 	9.2 b	10.1 	7.8 	8.9 	9.2 	8.4 	7.8 	7.4 	7.0 	6.4 
LI_R_MD60,Y_GE65,T,OWN,HR	: 	: 	: 	: 	30.5 b	29.5 	25.7 	23.4 	23.2 	26.3 	26.4 	: 
LI_R_MD60,Y_GE65,T,OWN,HU	9.3 	6.1 	4.2 	4.4 	4.1 	4.8 	6.2 	4.7 	4.6 	4.3 	6.7 	9.1 
LI_R_MD60,Y_GE65,T,OWN,IE	24.9 	26.8 	19.9 	15.0 	9.5 	10.5 	12.1 	10.0 	10.9 	12.8 	14.7 	: 
LI_R_MD60,Y_GE65,T,OWN,IS	11.6 	14.4 	13.4 	10.6 	4.3 	2.9 	3.7 	4.3 	6.3 	5.8 	5.8 p	: 
LI_R_MD60,Y_GE65,T,OWN,IT	21.1 	21.6 	20.2 	19.1 	15.8 	16.4 	15.4 	14.5 	13.5 	13.6 	14.1 	14.4 
LI_R_MD60,Y_GE65,T,OWN,LT	22.0 	29.5 	30.7 	23.4 	9.4 	9.4 	18.6 	19.3 	20.1 	24.8 	27.7 	32.8 
LI_R_MD60,Y_GE65,T,OWN,LU	6.1 	4.8 	4.7 	4.8 	4.8 	3.6 	4.7 	5.4 	5.3 	6.7 	7.8 b	9.6 
LI_R_MD60,Y_GE65,T,OWN,LV	29.6 	34.8 	51.3 	46.4 	16.0 	9.0 	13.3 	16.8 	26.7 	33.5 	36.5 	38.5 
