indic_il,age,sex,geo\time	2004 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LIP_MD60,TOTAL,F,AT	: 	7.3 	6.3 	7.9 	7.1 	11.0 b	9.9 	10.0 	10.4 	9.6 	8.2 	10.4 
LIP_MD60,TOTAL,F,BE	: 	8.3 	9.7 	10.4 	10.0 	7.8 	10.3 	8.4 	9.4 	9.7 	11.0 	12.6 
LIP_MD60,TOTAL,F,BG	: 	: 	: 	11.5 	18.9 	17.8 	14.6 	15.0 	17.3 	18.4 	17.1 b	17.1 
LIP_MD60,TOTAL,F,CH	: 	: 	: 	: 	: 	: 	: 	: 	7.7 	6.5 	7.7 	: 
LIP_MD60,TOTAL,F,CY	: 	: 	11.5 	12.6 	10.9 	9.6 	10.3 	11.2 	8.9 	8.2 	8.6 	8.0 
LIP_MD60,TOTAL,F,CZ	: 	: 	4.3 	4.2 	5.9 	4.5 	5.2 	4.9 	3.4 	5.1 	5.2 	5.5 
LIP_MD60,TOTAL,F,DE	11 	: 	7.7 	9.0 	9.2 	10.8 	10.9 	11.1 	9.5 	11.3 	11.4 	12.4 
LIP_MD60,TOTAL,F,DK	: 	4.9 	4.6 	1.5 	7.0 	6.1 	5.3 	6.2 	5.2 	4.8 	6.5 	3.4 
LIP_MD60,TOTAL,F,EA18	: 	: 	9.7 	10.6 	11.1 	10.7 	11.2 	10.9 	10.9 	11.8 	11.9 e	: 
LIP_MD60,TOTAL,F,EA19	: 	: 	9.7 	10.6 	11.0 	10.6 	11.2 	10.9 	11.0 	11.9 	11.9 e	: 
LIP_MD60,TOTAL,F,EE	: 	12.5 	16.5 	13.9 	11.7 	11.0 	12.3 	9.9 	11.4 b	14.4 	15.5 	18.4 
LIP_MD60,TOTAL,F,EL	: 	13.8 	14.7 	16.6 	18.7 	10.6 	13.5 	13.0 	15.5 	13.3 	15.5 	: 
LIP_MD60,TOTAL,F,ES	: 	10.9 	11.9 	13.3 	12.2 	14.0 b	13.7 	11.6 	14.4 	15.2 	14.3 	15.3 
LIP_MD60,TOTAL,F,EU27	: 	: 	9.3 e	9.9 e	10.7 	10.3 	11.0 	10.5 	10.6 	11.3 	11.5 e	: 
LIP_MD60,TOTAL,F,EU28	: 	: 	: 	: 	10.7 e	10.3 e	11.0 e	10.5 	10.7 	11.3 	11.5 e	: 
LIP_MD60,TOTAL,F,FI	: 	8.5 	7.4 	7.7 	8.1 	8.1 	8.1 	7.4 	7.3 	8.9 	6.5 	6.2 
LIP_MD60,TOTAL,F,FR	: 	6.9 	: 	: 	: 	: 	7.7 	8.4 	8.3 	9.1 	9.0 	8.1 
LIP_MD60,TOTAL,F,HR	: 	: 	: 	: 	: 	: 	: 	13.4 	: 	14.5 	14.1 	: 
LIP_MD60,TOTAL,F,HU	: 	: 	7.5 	8.1 	5.4 	8.3 	7.5 	6.8 	8.2 	6.9 	7.1 	5.0 
LIP_MD60,TOTAL,F,IE	: 	11.7 	: 	: 	: 	7.4 	14.5 	9.3 	11.6 	8.9 	: 	: 
LIP_MD60,TOTAL,F,IS	: 	3.8 	3.0 	5.1 	3.3 	1.5 	1.7 	3.2 	1.7 	2.9 	1.4 p	: 
LIP_MD60,TOTAL,F,IT	: 	15.6 	13.7 	14.1 	13.3 	12.7 	14.8 	14.6 	13.7 	15.7 	15.7 	14.4 
LIP_MD60,TOTAL,F,LT	: 	: 	11.5 	13.3 	8.0 	6.5 b	12.2 	10.4 	16.4 	15.9 	15.1 	: 
LIP_MD60,TOTAL,F,LU	: 	9.8 	9.2 	9.9 	6.9 	7.5 	7.8 	9.8 	10.3 	12.6 	9.6 b	10.8 
LIP_MD60,TOTAL,F,LV	: 	: 	14.1 	17.7 	10.5 	9.2 	11.9 b	11.6 	11.4 	11.3 	16.7 	16.6 
LIP_MD60,TOTAL,F,MK	: 	: 	: 	: 	: 	: 	: 	: 	14.1 	12.3 	10.5 	: 
LIP_MD60,TOTAL,F,MT	: 	: 	7.8 	9.0 	9.7 	12.6 	9.5 	9.8 	10.7 	11.8 	11.7 	10.2 
LIP_MD60,TOTAL,F,NL	: 	: 	5.8 	4.1 	9.5 	7.3 	6.8 	6.7 	8.7 	7.7 	7.5 b	5.2 
LIP_MD60,TOTAL,F,NO	: 	7.7 	7.2 	7.3 	6.3 	6.4 	8.0 	6.4 	6.6 	6.6 	7.0 	6.1 
LIP_MD60,TOTAL,F,PL	: 	: 	10.2 	10.1 	10.7 	9.9 	11.0 	9.0 	10.6 	10.2 	9.7 	8.7 
LIP_MD60,TOTAL,F,PT	: 	15.0 	14.1 	10.4 	13.5 	13.8 	11.9 	11.4 	12.0 	13.2 	11.8 	14.8 
LIP_MD60,TOTAL,F,RO	: 	: 	: 	: 	18.7 	17.7 	19.0 	17.3 	19.7 	19.2 	20.2 	19.8 
LIP_MD60,TOTAL,F,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.6 	: 
LIP_MD60,TOTAL,F,SE	: 	2.2 	2.7 	4.3 	5.2 	5.2 	8.2 b	8.2 	8.0 	8.3 b	5.8 	7.4 
LIP_MD60,TOTAL,F,SI	: 	: 	9.0 	8.1 	8.0 	9.1 	7.3 	9.2 	10.5 	9.1 	9.5 	10.2 
LIP_MD60,TOTAL,F,SK	: 	: 	5.2 	5.6 	7.3 	8.0 	8.7 	7.4 	9.4 	7.7 	8.0 	: 
LIP_MD60,TOTAL,F,TR	: 	: 	: 	18.3 	19.0 	: 	: 	: 	15.8 	16.7 	: 	: 
LIP_MD60,TOTAL,F,UK	: 	: 	9.2 	8.3 	7.7 	7.8 	9.1 	8.6 	7.2 	8.2 	9.9 	: 
LIP_MD60,TOTAL,M,AT	: 	3.5 	4.9 	4.4 	5.8 	8.5 b	7.5 	7.9 	6.6 	8.1 	8.0 	7.8 
LIP_MD60,TOTAL,M,BE	: 	7.3 	8.3 	7.8 	8.5 	8.2 	9.5 	9.1 	9.6 	9.9 	9.0 	8.7 
LIP_MD60,TOTAL,M,BG	: 	: 	: 	9.8 	13.7 	15.9 	11.0 	11.8 	15.7 	13.7 	13.3 b	14.5 
LIP_MD60,TOTAL,M,CH	: 	: 	: 	: 	: 	: 	: 	: 	5.2 	5.6 	6.2 	: 
LIP_MD60,TOTAL,M,CY	: 	: 	8.2 	7.4 	7.3 	7.5 	6.3 	8.7 	5.7 	6.2 	6.7 	5.2 
LIP_MD60,TOTAL,M,CZ	: 	: 	3.5 	3.1 	5.1 	3.8 	3.4 	3.3 	3.4 	3.9 	3.4 	3.3 
LIP_MD60,TOTAL,M,DE	7 	: 	6.6 	7.0 	9.0 	10.0 	9.9 	10.0 	9.5 	11.3 	9.6 	10.9 
LIP_MD60,TOTAL,M,DK	: 	4.5 	5.2 	4.0 	5.5 	6.7 	6.0 	4.0 	5.4 	3.8 	7.9 	7.7 
LIP_MD60,TOTAL,M,EA18	: 	: 	8.1 	8.8 	9.5 	9.5 	9.6 	10.0 	10.2 	11.1 	10.5 e	: 
LIP_MD60,TOTAL,M,EA19	: 	: 	8.2 	8.8 	9.5 	9.4 	9.7 	10.0 	10.2 	11.1 	10.5 e	: 
LIP_MD60,TOTAL,M,EE	: 	9.5 	10.1 	11.5 	7.8 	9.9 	11.6 	8.6 	11.0 b	11.5 	11.4 	13.5 
LIP_MD60,TOTAL,M,EL	: 	12.4 	11.3 	15.6 	16.3 	10.4 	14.0 	11.7 	13.5 	13.2 	14.9 	: 
LIP_MD60,TOTAL,M,ES	: 	9.6 	10.1 	11.7 	11.1 	11.4 b	12.9 	12.6 	14.2 	16.3 	15.3 	14.1 
LIP_MD60,TOTAL,M,EU27	: 	: 	8.1 e	8.5 e	9.3 	9.3 	9.7 	9.6 	9.9 	10.4 	10.4 e	: 
LIP_MD60,TOTAL,M,EU28	: 	: 	: 	: 	9.3 e	9.3 e	9.7 e	9.6 	9.9 	10.4 	10.4 e	: 
LIP_MD60,TOTAL,M,FI	: 	6.5 	6.2 	5.1 	7.4 	6.8 	6.6 	6.5 	6.6 	7.6 	5.5 	5.9 
LIP_MD60,TOTAL,M,FR	: 	5.9 	: 	: 	: 	: 	6.3 	8.3 	7.5 	7.8 	6.9 	7.9 
LIP_MD60,TOTAL,M,HR	: 	: 	: 	: 	: 	: 	: 	13.1 	: 	14.9 	14.8 	: 
LIP_MD60,TOTAL,M,HU	: 	: 	7.8 	9.2 	6.2 	8.4 	7.7 	7.9 	9.1 	7.7 	8.9 	6.7 
LIP_MD60,TOTAL,M,IE	: 	11.6 	: 	: 	: 	10.1 	11.7 	8.8 	9.9 	9.9 	: 	: 
LIP_MD60,TOTAL,M,IS	: 	4.6 	2.4 	3.3 	3.5 	2.0 	2.4 	1.7 	2.8 	2.9 	1.6 p	: 
LIP_MD60,TOTAL,M,IT	: 	13.4 	11.5 	11.8 	9.9 	10.9 	11.4 	11.7 	12.0 	12.7 	13.2 	13.4 
LIP_MD60,TOTAL,M,LT	: 	: 	10.2 	9.1 	6.7 	9.1 b	12.5 	9.9 	15.5 	12.5 	11.5 	: 
LIP_MD60,TOTAL,M,LU	: 	7.9 	7.7 	7.7 	5.2 	5.6 	6.4 	8.5 	7.2 	11.3 	9.9 b	9.4 
LIP_MD60,TOTAL,M,LV	: 	: 	10.7 	13.2 	10.6 	9.4 	13.4 b	12.7 	10.1 	8.6 	13.4 	12.8 
LIP_MD60,TOTAL,M,MK	: 	: 	: 	: 	: 	: 	: 	: 	17.8 	12.1 	11.7 	: 
LIP_MD60,TOTAL,M,MT	: 	: 	7.7 	6.3 	8.4 	10.2 	10.0 	7.2 	10.6 	13.6 	10.9 	11.2 
LIP_MD60,TOTAL,M,NL	: 	: 	6.9 	5.4 	6.8 	8.1 	4.8 	6.3 	6.6 	6.8 	6.9 b	6.0 
LIP_MD60,TOTAL,M,NO	: 	4.1 	4.0 	4.0 	4.8 	4.0 	5.2 	5.9 	4.5 	8.1 	2.9 	4.3 
LIP_MD60,TOTAL,M,PL	: 	: 	10.7 	10.4 	10.2 	10.4 	10.4 	9.1 	10.8 	10.0 	9.7 	9.7 
LIP_MD60,TOTAL,M,PT	: 	13.1 	12.0 	9.2 	13.0 	13.3 	10.9 	12.1 	12.0 	14.0 	11.2 	13.6 
LIP_MD60,TOTAL,M,RO	: 	: 	: 	: 	17.3 	17.4 	18.4 	16.8 	19.3 	19.5 	20.2 	18.5 
LIP_MD60,TOTAL,M,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.8 	: 
LIP_MD60,TOTAL,M,SE	: 	1.9 	2.5 	3.1 	4.4 	2.9 	6.1 b	6.9 	5.2 	5.8 b	6.3 	6.7 
LIP_MD60,TOTAL,M,SI	: 	: 	6.3 	5.8 	5.6 	5.9 	4.9 	5.7 	8.5 	7.0 	7.5 	6.2 
LIP_MD60,TOTAL,M,SK	: 	: 	4.6 	5.1 	4.6 	7.6 	8.5 	6.7 	10.3 	7.2 	7.4 	: 
LIP_MD60,TOTAL,M,TR	: 	: 	: 	17.8 	19.2 	: 	: 	: 	15.2 	15.6 	: 	: 
LIP_MD60,TOTAL,M,UK	: 	: 	7.7 	7.6 	7.0 	6.1 	8.1 	7.0 	5.7 	6.3 	8.9 	: 
LIP_MD60,TOTAL,T,AT	: 	5.5 	5.6 	6.2 	6.5 	9.8 b	8.7 	8.9 	8.5 	8.8 	8.1 	9.1 
LIP_MD60,TOTAL,T,BE	: 	7.8 	9.0 	9.2 	9.3 	8.0 	9.9 	8.7 	9.5 	9.8 	10.0 	10.8 
LIP_MD60,TOTAL,T,BG	: 	: 	: 	10.7 	16.4 	16.9 	12.9 	13.4 	16.5 	16.2 	15.3 b	15.9 
LIP_MD60,TOTAL,T,CH	: 	: 	: 	: 	: 	: 	: 	: 	6.5 	6.1 	7.0 	: 
LIP_MD60,TOTAL,T,CY	: 	: 	9.9 	10.1 	9.2 	8.6 	8.3 	10.0 	7.3 	7.3 	7.6 	6.6 
LIP_MD60,TOTAL,T,CZ	: 	: 	3.9 	3.7 	5.5 	4.2 	4.3 	4.1 	3.4 	4.5 	4.3 	4.4 
LIP_MD60,TOTAL,T,DE	9 	: 	7.2 	8.1 	9.1 	10.4 	10.4 	10.6 	9.5 	11.3 	10.5 	11.6 
LIP_MD60,TOTAL,T,DK	: 	4.7 	4.9 	2.7 	6.3 	6.4 	5.7 	5.1 	5.3 	4.3 	7.2 	5.5 
LIP_MD60,TOTAL,T,EA18	: 	: 	9.0 	9.7 	10.3 	10.1 	10.4 	10.4 	10.6 	11.5 	11.2 e	: 
LIP_MD60,TOTAL,T,EA19	: 	: 	9.0 	9.7 	10.3 	10.0 	10.4 	10.4 	10.6 	11.5 	11.2 e	: 
LIP_MD60,TOTAL,T,EE	: 	11.1 	13.6 	12.9 	9.9 	10.5 	12.0 	9.3 	11.2 b	13.1 	13.5 	16.1 
LIP_MD60,TOTAL,T,EL	: 	13.1 	13.0 	16.1 	17.6 	10.5 	13.8 	12.4 	14.5 	13.3 	15.2 	: 
LIP_MD60,TOTAL,T,ES	: 	10.2 	11.0 	12.5 	11.6 	12.7 b	13.3 	12.1 	14.3 	15.8 	14.8 	14.7 
LIP_MD60,TOTAL,T,EU27	: 	: 	8.7 e	9.2 e	10.0 	9.8 	10.3 	10.0 	10.3 	10.9 	10.9 e	: 
LIP_MD60,TOTAL,T,EU28	: 	: 	: 	: 	10.0 e	9.8 e	10.3 e	10.0 	10.3 	10.9 	11.0 e	: 
