indic_il,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
LI_GAP_MD60,T,TOTAL,AT	15.5 	17.0 	19.9 b	19.2 	21.8 	19.1 	20.1 	21.3 	20.1 	20.5 	19.8 	22.4 
LI_GAP_MD60,T,TOTAL,BE	19.4 	17.8 	17.2 	18.1 	18.0 	18.6 	18.7 	19.2 	18.8 	17.4 	19.4 	17.7 
LI_GAP_MD60,T,TOTAL,BG	28.1 	33.5 	27.0 	27.4 	29.6 	29.4 	31.4 	30.9 	33.2 	30.3 	30.4 b	30.5 
LI_GAP_MD60,T,TOTAL,CH	: 	23.6 	21.1 	21.7 	21.0 	21.6 	22.3 	19.1 	21.0 b	20.7 	22.2 	: 
LI_GAP_MD60,T,TOTAL,CY	18.9 	19.7 	15.3 b	17.2 	18.0 	19.0 	19.0 	17.7 	18.5 	19.8 	17.3 	15.1 
LI_GAP_MD60,T,TOTAL,CZ	16.8 	18.1 	18.5 	18.8 	21.1 	17.2 	19.1 	16.6 	18.0 	19.2 	19.5 	16.6 
LI_GAP_MD60,T,TOTAL,DE	20.4 	23.2 	22.2 	21.5 	20.7 	21.4 	21.1 	20.4 	23.2 	22.0 	20.7 	20.9 
LI_GAP_MD60,T,TOTAL,DK	16.5 	17.0 	18.0 	18.4 	21.6 	20.5 b	19.5 	23.5 	18.5 	22.0 	20.8 	21.7 
LI_GAP_MD60,T,TOTAL,EA18	22.0 	22.1 	21.4 	21.8 	22.4 	22.8 	23.3 	24.0 	24.8 	24.9 	24.8 	24.3 
LI_GAP_MD60,T,TOTAL,EA19	22.1 	22.2 	21.4 	21.9 	22.5 	22.8 	23.2 	24.0 	24.8 	24.9 	24.8 	24.4 
LI_GAP_MD60,T,TOTAL,EE	22.0 	20.2 	20.3 	17.0 	23.2 	26.0 	23.8 	21.5 	22.0 b	21.0 	20.5 	20.7 
LI_GAP_MD60,T,TOTAL,EL	25.8 	26.0 	24.7 	24.1 	23.4 	26.1 	29.9 	32.7 	31.3 	30.6 	31.9 	30.3 
LI_GAP_MD60,T,TOTAL,ES	26.4 	25.9 	25.6 b	25.7 	26.8 	27.4 	30.6 	30.9 	31.6 	33.8 	31.4 	32.4 
LI_GAP_MD60,T,TOTAL,EU27	23.3 	23.4 	21.9 	22.2 	22.8 	22.9 	23.3 	23.8 	24.5 	24.8 	25.0 	24.7 
LI_GAP_MD60,T,TOTAL,EU28	: 	: 	: 	: 	22.9 	23.0 	23.4 	23.8 	24.6 	24.8 	25.0 	24.7 
LI_GAP_MD60,T,TOTAL,FI	14.5 	14.1 	15.7 	15.1 	13.8 	13.5 	15.0 	15.0 	13.9 	13.2 	13.9 	13.7 
LI_GAP_MD60,T,TOTAL,FR	18.5 	17.9 	14.5 b	18.2 	19.5 	17.1 	16.2 	16.8 	16.6 	15.7 	16.6 	16.9 
LI_GAP_MD60,T,TOTAL,HR	: 	: 	: 	: 	27.6 	27.9 	31.0 	28.1 	27.9 	26.4 	28.2 	: 
LI_GAP_MD60,T,TOTAL,HU	24.1 	19.8 	17.3 	16.3 	16.5 	18.2 	20.9 	21.0 	22.3 	21.8 	18.8 	16.7 
LI_GAP_MD60,T,TOTAL,IE	16.6 	17.6 	17.7 	16.2 	15.5 	17.5 	20.0 	17.5 	18.9 	18.5 	18.1 	: 
LI_GAP_MD60,T,TOTAL,IS	19.4 	16.1 	14.9 	16.4 	19.0 	20.5 	23.5 	17.8 	16.4 	18.5 	15.3 p	: 
LI_GAP_MD60,T,TOTAL,IT	24.1 	22.7 	23.2 	23.1 	24.8 	26.6 	26.0 	28.2 	28.2 	29.3 	31.6 	28.1 
LI_GAP_MD60,T,TOTAL,LT	29.1 	25.7 	25.6 	23.8 	32.6 	29.0 	22.6 	24.8 	22.7 	26.0 	28.0 	28.0 
LI_GAP_MD60,T,TOTAL,LU	19.7 	18.8 	16.6 	17.6 	18.6 	15.7 	15.0 	17.5 	16.3 	17.4 	23.2 b	21.8 
LI_GAP_MD60,T,TOTAL,LV	24.4 	24.8 	28.6 	29.0 	28.9 	31.7 	28.6 	27.5 	23.6 	25.5 	24.0 	25.3 
LI_GAP_MD60,T,TOTAL,MK	: 	: 	: 	: 	: 	: 	43.1 	39.0 	36.1 	33.1 	32.9 	: 
LI_GAP_MD60,T,TOTAL,MT	18.2 	18.1 	20.3 	16.2 	17.3 	17.7 	16.1 	19.1 	17.8 	17.3 	15.9 	16.7 
LI_GAP_MD60,T,TOTAL,NL	16.9 	17.0 	14.9 	16.5 	16.2 	15.5 	17.3 	16.5 	16.9 	16.8 	17.3 b	17.8 
LI_GAP_MD60,T,TOTAL,NO	20.8 	21.7 	22.4 	21.4 	19.4 	20.1 	19.5 	16.9 	21.3 	19.7 	20.8 	22.1 
LI_GAP_MD60,T,TOTAL,PL	25.0 	24.0 	20.6 	22.7 	22.2 	21.4 	22.2 	22.6 	23.2 	22.3 	24.4 	23.6 
LI_GAP_MD60,T,TOTAL,PT	23.5 	24.3 	23.2 	23.6 	22.7 	23.2 	24.1 	27.4 	30.3 	29.0 	26.7 	27.0 
LI_GAP_MD60,T,TOTAL,RO	: 	36.6 	32.3 	31.4 	31.3 	31.4 	31.1 	33.6 	34.6 	38.2 	36.2 	34.5 
LI_GAP_MD60,T,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	36.6 	40.3 	37.6 	38.1 	: 
LI_GAP_MD60,T,TOTAL,SE	22.7 	20.3 	18.0 b	19.2 	19.9 	20.3 	22.7 	19.2 	21.7 	19.9 	21.1 	21.2 
LI_GAP_MD60,T,TOTAL,SI	18.6 	19.4 	19.3 	20.2 	20.2 	19.9 	19.1 	20.4 	22.0 	20.3 	20.2 	19.6 
LI_GAP_MD60,T,TOTAL,SK	20.0 	19.2 	18.1 	23.2 	25.7 	22.8 	20.5 	24.1 	29.0 	28.9 	26.1 	26.0 
LI_GAP_MD60,T,TOTAL,TR	36.5 	28.9 	30.0 	32.1 	32.3 	31.9 	30.3 	27.9 	28.4 	27.8 	: 	: 
LI_GAP_MD60,T,TOTAL,UK	22.8 	22.4 	21.0 	20.6 	21.4 	21.3 	20.9 b	19.6 	19.4 	20.4 	22.4 	: 
LI_GAP_MD60,T,Y18-64,AT	19.0 	21.4 	21.3 b	21.4 	23.8 	19.1 	23.9 	23.4 	21.1 	21.8 	20.6 	25.9 
LI_GAP_MD60,T,Y18-64,BE	21.1 	20.5 	19.1 	20.7 	21.1 	20.0 	20.9 	22.8 	21.7 	19.8 	21.2 	19.5 
LI_GAP_MD60,T,Y18-64,BG	31.1 	39.3 	29.6 	29.9 	29.6 	31.6 	34.9 	34.4 	35.8 	34.1 	36.3 b	34.3 
LI_GAP_MD60,T,Y18-64,CH	: 	24.3 	20.5 	20.3 	20.8 	22.1 	21.8 	19.1 	21.1 b	20.3 	19.7 	: 
LI_GAP_MD60,T,Y18-64,CY	18.0 	17.7 	14.0 b	18.6 	20.1 	20.4 	20.5 	18.3 	19.3 	21.8 	18.1 	15.4 
LI_GAP_MD60,T,Y18-64,CZ	17.7 	19.1 	19.8 	21.5 	22.2 	19.4 	21.5 	17.3 	19.0 	19.6 	20.7 	17.7 
LI_GAP_MD60,T,Y18-64,DE	21.7 	25.9 	25.0 	23.8 	22.7 	24.5 	23.1 	22.1 	25.1 	24.7 	23.6 	23.5 
LI_GAP_MD60,T,Y18-64,DK	23.4 	24.5 	25.1 	29.2 	29.3 	26.3 b	23.6 	26.6 	29.5 	25.0 	26.7 	25.5 
LI_GAP_MD60,T,Y18-64,EA18	24.3 	24.5 	23.8 	24.3 	24.9 	25.3 	25.5 	25.9 	27.3 	27.5 	27.9 	27.2 
LI_GAP_MD60,T,Y18-64,EA19	24.4 	24.5 	23.9 	24.3 	25.0 	25.4 	25.5 	25.9 	27.3 	27.5 	27.9 	27.2 
LI_GAP_MD60,T,Y18-64,EE	27.8 	25.9 	26.5 	23.1 	25.9 	29.7 	29.9 	28.3 	31.2 b	29.6 	28.7 	29.1 
LI_GAP_MD60,T,Y18-64,EL	27.3 	26.0 	25.9 	26.1 	24.8 	28.8 	32.5 	33.6 	34.2 	33.5 	34.6 	32.6 
LI_GAP_MD60,T,Y18-64,ES	29.8 	29.4 	26.3 b	27.5 	29.7 	29.1 	32.0 	31.4 	33.0 	35.0 	33.2 	33.1 
LI_GAP_MD60,T,Y18-64,EU27	25.5 	25.5 	23.9 	24.4 	25.0 	25.1 	25.5 	25.8 	26.9 	27.1 	27.8 	27.4 
LI_GAP_MD60,T,Y18-64,EU28	: 	: 	: 	: 	25.1 	25.2 	25.6 	25.8 	26.9 	27.2 	27.9 	27.4 
LI_GAP_MD60,T,Y18-64,FI	16.7 	16.7 	19.2 	19.2 	17.4 	17.9 	18.3 	18.9 	18.3 	18.9 	16.9 	18.1 
LI_GAP_MD60,T,Y18-64,FR	20.6 	18.1 	18.5 b	19.8 	21.7 	18.3 	17.6 	17.9 	18.2 	17.3 	19.4 	19.5 
LI_GAP_MD60,T,Y18-64,HR	: 	: 	: 	: 	28.1 	28.3 	32.3 	30.2 	28.0 	28.2 	30.7 	: 
