n_item,unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
GE3,PC,TOTAL,F,AT	10.4 	10.7 	13.9 b	11.2 	11.3 	10.6 	10.2 	10.4 	10.2 	8.3 	8.9 	8.2 
GE3,PC,TOTAL,F,BE	13.9 	12.9 	12.3 	12.3 	12.6 	13.1 	12.7 	11.6 	11.7 	12.1 	13.2 	11.6 
GE3,PC,TOTAL,F,BG	71.8 	72.8 	56.3 b	57.1 	60.7 	61.1 	62.9 	59.2 	48.3 b	50.9 	48.9 b	45.5 
GE3,PC,TOTAL,F,CH	: 	7.0 	5.7 	6.4 	5.6 	3.3 	3.9 	3.8 	4.6 b	4.9 	5.5 	: 
GE3,PC,TOTAL,F,CY	31.0 	31.9 	25.3 b	25.3 	28.6 	29.8 	32.1 	36.1 	36.7 	34.0 	29.9 	28.8 
GE3,PC,TOTAL,F,CZ	20.6 	17.3 	17.3 	16.7 	16.2 	17.4 	18.4 	17.2 	17.9 	14.5 	12.8 	10.6 
GE3,PC,TOTAL,F,DE	14.1 	13.1 	13.7 	13.1 	11.5 	13.3 	12.2 	12.5 	12.1 	11.2 	10.4 	9.9 
GE3,PC,TOTAL,F,DK	8.5 	7.9 	6.3 	6.3 	6.1 	7.3 	7.6 	9.7 	8.2 	8.3 	6.6 	6.6 
GE3,PC,TOTAL,F,EA18	14.8 	14.1 	14.6 	14.7 	14.7 	16.0 	16.9 	16.9 	16.8 	15.8 	14.8 	13.4 e
GE3,PC,TOTAL,F,EA19	15.1 	14.3 	14.7 	14.8 	14.9 	16.2 	17.0 	17.0 	16.9 	15.9 	14.9 	13.5 e
GE3,PC,TOTAL,F,EE	19.0 	16.9 	13.1 b	17.4 	22.5 	21.6 	22.1 	19.9 	16.3 b	13.0 	12.5 	12.5 
GE3,PC,TOTAL,F,EL	24.7 	23.1 	23.4 	24.2 	25.2 	29.0 	33.7 	37.3 	39.8 	40.9 	39.5 	36.4 
GE3,PC,TOTAL,F,ES	13.4 	11.3 	10.9 	13.6 	15.7 	13.3 	16.1 	16.8 	17.9 	16.6 	15.7 	13.2 
GE3,PC,TOTAL,F,EU27	20.0 e	18.9 	18.2 	17.9 e	18.3 	19.0 	20.2 	20.0 	19.0 	17.4 	16.2 	15.2 e
GE3,PC,TOTAL,F,EU28	: 	: 	: 	: 	18.4 	19.1 	20.3 	20.1 	19.1 	17.5 	16.3 	15.2 e
GE3,PC,TOTAL,F,FI	10.8 	10.5 	10.2 	8.4 	9.0 	8.6 	9.1 	8.8 	7.9 	8.1 	8.8 	8.6 
GE3,PC,TOTAL,F,FR	13.5 	12.9 	14.0 	14.4 	13.1 	13.0 	13.2 	12.9 	12.9 	11.9 	11.6 	11.5 
GE3,PC,TOTAL,F,HR	: 	: 	: 	: 	32.7 	35.0 	36.0 	34.4 	34.1 	33.5 	30.3 	: 
GE3,PC,TOTAL,F,HU	38.0 	39.1 	38.0 	40.9 	40.7 	43.6 	45.6 	45.9 	40.8 	35.5 	30.7 	29.5 
GE3,PC,TOTAL,F,IE	11.8 	11.2 	14.0 	17.8 	16.4 	23.7 	24.8 	25.3 	23.5 	19.6 	16.2 	: 
GE3,PC,TOTAL,F,IS	7.8 	8.0 	2.6 b	3.2 	7.2 	7.5 	7.2 	7.3 	5.7 	5.8 	6.8 p	: 
GE3,PC,TOTAL,F,IT	14.6 	15.9 	17.0 	16.4 	17.3 	22.7 	25.9 	23.9 	23.1 	22.8 	20.7 	17.8 
GE3,PC,TOTAL,F,LT	43.3 	31.4 	24.5 b	28.6 	37.0 	36.7 	35.9 	33.9 	29.9 	28.8 	27.3 	26.0 
GE3,PC,TOTAL,F,LU	2.8 	3.4 	3.8 	4.2 	4.4 	4.8 	4.8 	6.0 	5.1 	5.0 	6.2 b	4.6 
GE3,PC,TOTAL,F,LV	53.4 	45.4 	37.5 b	41.6 	48.3 	49.9 	45.6 	41.9 	36.4 	30.6 	27.5 	24.5 
GE3,PC,TOTAL,F,MK	: 	: 	: 	: 	: 	: 	57.7 	55.8 	52.7 	51.4 	49.7 	: 
GE3,PC,TOTAL,F,MT	13.4 	14.2 	14.0 	15.8 	15.9 	17.3 	20.4 	19.8 	20.5 	15.0 	10.0 	8.4 
GE3,PC,TOTAL,F,NL	7.4 	5.8 	5.4 	5.4 	7.1 	7.2 	7.1 	8.6 	9.7 	8.5 	7.5 b	7.1 
GE3,PC,TOTAL,F,NO	6.7 	5.6 	4.7 	5.3 	5.6 	5.3 	4.7 	5.1 	3.4 	4.5 	4.1 	4.0 
GE3,PC,TOTAL,F,PL	44.8 	38.9 	33.0 b	30.2 	29.4 	27.1 	28.5 	25.9 	22.4 	16.8 	15.3 	13.6 
GE3,PC,TOTAL,F,PT	20.4 	23.2 	23.6 	22.2 	22.9 	21.6 	22.2 	25.6 	26.6 	22.1 	20.3 	18.6 
GE3,PC,TOTAL,F,RO	: 	55.0 	50.3 	49.9 	49.5 	48.7 	49.3 	46.9 	43.9 	39.7 	40.5 	37.8 
GE3,PC,TOTAL,F,RS	: 	: 	: 	: 	: 	: 	: 	44.9 	44.2 	41.2 	38.0 	: 
GE3,PC,TOTAL,F,SE	6.4 	5.9 	5.7 b	6.4 	5.5 	5.5 	5.7 	5.5 	4.7 	4.1 	3.7 	4.3 
GE3,PC,TOTAL,F,SI	15.0 	15.0 	17.6 	16.9 	16.3 	17.6 	17.1 	17.3 	17.5 	15.4 	14.2 	12.7 
GE3,PC,TOTAL,F,SK	36.6 	31.9 	28.7 	25.8 	25.7 	23.1 	23.9 	24.3 	22.7 	21.2 	19.7 	16.9 
GE3,PC,TOTAL,F,TR	74.1 	73.7 	73.1 	71.3 	73.7 	72.6 	69.7 	59.5 b	45.3 	46.3 	: 	: 
GE3,PC,TOTAL,F,UK	11.6 	10.9 	11.9 	10.4 u	13.5 	13.4 	16.9 b	18.2 	16.0 	14.8 	12.8 	: 
GE3,PC,TOTAL,M,AT	9.7 	9.5 	12.0 b	9.9 	9.8 	9.0 	9.3 	9.3 	8.5 	8.1 	7.9 	6.7 
GE3,PC,TOTAL,M,BE	11.9 	11.1 	10.8 	10.5 	12.0 	12.6 	12.3 	11.9 	11.8 	11.0 	11.3 	11.0 
GE3,PC,TOTAL,M,BG	71.0 	72.0 	53.6 b	53.7 	58.0 	59.0 	60.3 	56.9 	45.3 b	47.2 	44.8 b	42.0 
GE3,PC,TOTAL,M,CH	: 	6.4 	5.4 	6.3 	5.3 	3.4 	3.4 	3.5 	4.7 b	4.2 	5.1 	: 
GE3,PC,TOTAL,M,CY	30.4 	29.7 	24.5 b	22.9 	28.3 	29.7 	30.8 	35.9 	36.4 	35.5 	29.8 	28.4 
GE3,PC,TOTAL,M,CZ	18.9 	15.4 	15.0 	14.5 	13.9 	14.7 	15.1 	14.5 	15.0 	12.3 	10.7 	8.9 
GE3,PC,TOTAL,M,DE	12.9 	11.1 	12.2 	11.9 	10.6 	11.5 	10.5 	10.7 	10.4 	10.1 	8.9 	8.3 
GE3,PC,TOTAL,M,DK	7.1 	6.0 	4.5 	5.6 	5.8 	5.1 	6.3 	7.8 	7.2 	7.8 	6.5 	6.9 
GE3,PC,TOTAL,M,EA18	13.3 	12.5 	13.1 	13.5 	13.7 	14.7 	15.8 	15.9 	15.7 	14.9 	13.6 	12.5 e
GE3,PC,TOTAL,M,EA19	13.5 	12.7 	13.2 	13.7 	13.8 	14.8 	16.0 	16.0 	15.7 	15.0 	13.7 	12.6 e
GE3,PC,TOTAL,M,EE	16.1 	13.5 	11.6 b	16.6 	22.0 	21.3 	20.4 	18.8 	15.0 b	12.6 	10.9 	10.6 
GE3,PC,TOTAL,M,EL	22.1 	20.8 	20.2 	21.7 	23.0 	27.7 	33.6 	37.3 	39.2 	40.5 	38.5 	35.5 
GE3,PC,TOTAL,M,ES	12.5 	10.9 	10.7 	13.8 	14.5 	13.0 	16.6 	17.0 	17.7 	16.3 	14.7 	12.4 
GE3,PC,TOTAL,M,EU27	18.4 e	17.3 	16.7 	16.7 e	17.1 	17.7 	19.0 	18.8 	17.8 	16.3 	15.0 	14.2 e
GE3,PC,TOTAL,M,EU28	: 	: 	: 	: 	17.2 	17.8 	19.1 	18.9 	17.9 	16.5 	15.2 	14.2 e
GE3,PC,TOTAL,M,FI	9.0 	8.3 	8.0 	8.0 	7.7 	8.3 	8.6 	8.1 	7.9 	7.3 	7.8 	7.7 
GE3,PC,TOTAL,M,FR	11.8 	11.5 	12.2 	12.7 	12.1 	11.8 	12.2 	11.0 	10.9 	10.1 	10.4 	10.7 
GE3,PC,TOTAL,M,HR	: 	: 	: 	: 	31.8 	34.4 	35.1 	34.7 	33.5 	31.9 	29.8 	: 
GE3,PC,TOTAL,M,HU	36.7 	38.0 	36.1 	39.7 	39.1 	41.8 	43.8 	44.9 	39.0 	34.0 	28.5 	28.2 
GE3,PC,TOTAL,M,IE	10.9 	9.5 	13.2 	16.3 	15.7 	21.6 	25.1 	23.4 	21.7 	19.1 	14.8 	: 
GE3,PC,TOTAL,M,IS	6.2 	6.7 	2.5 b	3.5 	5.9 	6.3 	6.4 	5.9 	5.4 	4.3 	5.5 p	: 
GE3,PC,TOTAL,M,IT	13.2 	14.4 	15.6 	15.6 	16.2 	21.5 	24.5 	23.6 	22.9 	22.5 	20.4 	18.1 
GE3,PC,TOTAL,M,LT	39.4 	27.6 	21.3 b	25.9 	35.3 	33.2 	32.7 	29.1 	26.5 	25.4 	24.6 	22.5 
