n_item,unit,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
GE3,PC,T,TOTAL,AT	10.0 	10.1 	13.0 b	10.6 	10.6 	9.8 	9.8 	9.9 	9.4 	8.2 	8.4 	7.4 
GE3,PC,T,TOTAL,BE	12.9 	12.0 	11.6 	11.4 	12.3 	12.9 	12.5 	11.7 	11.8 	11.6 	12.3 	11.3 
GE3,PC,T,TOTAL,BG	71.4 	72.4 	55.0 b	55.5 	59.4 	60.1 	61.6 	58.0 	46.8 b	49.1 	46.9 b	43.8 
GE3,PC,T,TOTAL,CH	: 	6.7 	5.5 	6.3 	5.4 	3.3 	3.6 	3.7 	4.6 b	4.6 	5.3 	: 
GE3,PC,T,TOTAL,CY	30.7 	30.8 	24.9 b	24.1 	28.4 	29.8 	31.5 	36.0 	36.5 	34.7 	29.9 	28.6 
GE3,PC,T,TOTAL,CZ	19.7 	16.4 	16.2 	15.6 	15.1 	16.1 	16.8 	15.9 	16.5 	13.4 	11.8 	9.8 
GE3,PC,T,TOTAL,DE	13.5 	12.1 	13.0 	12.5 	11.1 	12.4 	11.3 	11.6 	11.3 	10.7 	9.7 	9.1 
GE3,PC,T,TOTAL,DK	7.8 	7.0 	5.4 	6.0 	6.0 	6.2 	6.9 	8.8 	7.7 	8.0 	6.5 	6.8 
GE3,PC,T,TOTAL,EA18	14.0 	13.3 	13.9 	14.1 	14.2 	15.3 	16.3 	16.4 	16.3 	15.4 	14.2 	13.0 e
GE3,PC,T,TOTAL,EA19	14.3 	13.5 	14.0 	14.3 	14.4 	15.5 	16.5 	16.5 	16.4 	15.5 	14.3 	13.1 e
GE3,PC,T,TOTAL,EE	17.7 	15.4 	12.4 b	17.1 	22.3 	21.5 	21.3 	19.4 	15.7 b	12.8 	11.7 	11.6 
GE3,PC,T,TOTAL,EL	23.5 	22.0 	21.8 	23.0 	24.1 	28.4 	33.7 	37.3 	39.5 	40.7 	39.0 	36.0 
GE3,PC,T,TOTAL,ES	13.0 	11.1 	10.8 	13.7 	15.1 	13.2 	16.3 	16.9 	17.8 	16.5 	15.2 	12.8 
GE3,PC,T,TOTAL,EU27	19.2 e	18.1 	17.5 	17.3 e	17.7 	18.3 	19.6 	19.4 	18.4 	16.9 	15.6 	14.7 e
GE3,PC,T,TOTAL,EU28	: 	: 	: 	: 	17.8 	18.5 	19.8 	19.5 	18.5 	17.0 	15.7 	14.7 e
GE3,PC,T,TOTAL,FI	9.9 	9.4 	9.1 	8.2 	8.4 	8.4 	8.9 	8.5 	7.9 	7.7 	8.3 	8.2 
GE3,PC,T,TOTAL,FR	12.7 	12.2 	13.1 	13.5 	12.6 	12.4 	12.8 	12.0 	11.9 	11.1 	11.0 	11.1 
GE3,PC,T,TOTAL,HR	: 	: 	: 	: 	32.2 	34.7 	35.6 	34.6 	33.8 	32.8 	30.1 	: 
GE3,PC,T,TOTAL,HU	37.4 	38.6 	37.1 	40.3 	39.9 	42.7 	44.8 	45.4 	40.0 	34.8 	29.6 	28.9 
GE3,PC,T,TOTAL,IE	11.4 	10.3 	13.6 	17.1 	16.1 	22.7 	25.0 	24.4 	22.6 	19.4 	15.5 	: 
GE3,PC,T,TOTAL,IS	7.0 	7.4 	2.5 b	3.4 	6.5 	6.9 	6.8 	6.6 	5.5 	5.0 	6.1 p	: 
GE3,PC,T,TOTAL,IT	13.9 	15.1 	16.3 	16.0 	16.8 	22.2 	25.2 	23.8 	23.0 	22.6 	20.6 	17.9 
