age,sex,hhtyp,indic_il,workint,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT	38.5 	38.6 	44.9 b	43.8 	48.3 	45.1 	44.2 	42.5 	47.2 	47.1 	46.4 	53.9 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE	42.7 	42.1 	39.7 	40.5 	37.9 	47.8 	44.8 	48.2 	48.4 	43.2 	46.7 	50.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG	49.2 	53.1 	56.9 	58.8 	57.8 	60.2 	55.3 	51.9 	43.5 	59.2 	48.2 b	54.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH	: 	44.0 	37.2 	37.8 	49.3 	45.7 	43.2 	42.0 	36.9 b	35.8 	36.4 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY	40.3 	41.3 	40.5 b	42.2 	40.3 	44.7 	42.7 	43.7 	47.1 	40.5 	37.5 	37.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ	33.4 	34.0 	38.0 	32.9 	33.3 	41.6 	39.3 	36.5 	49.7 	50.6 	47.6 	50.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE	46.1 	53.2 	62.0 	68.1 	65.8 	69.5 	68.7 	68.7 	69.8 	71.8 	69.4 	71.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK	41.9 	43.9 	41.6 	39.6 	40.3 	40.5 b	42.0 	44.9 	49.2 	49.7 	52.9 	51.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA18	41.1 	41.9 	47.2 	47.2 	48.3 	49.8 	49.4 	50.6 	51.2 	52.2 	52.4 	53.2 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EA19	41.2 	42.0 	47.3 	47.4 	48.4 	49.9 	49.5 	50.6 	51.3 	52.3 	52.5 	53.3 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EE	77.7 	79.9 	82.0 	73.5 	67.2 	70.4 	74.5 	75.6 	71.4 b	77.3 	76.4 	72.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EL	33.9 	32.3 	35.3 	31.7 	33.1 	40.0 	43.2 	43.3 	44.3 	42.1 	40.3 	41.2 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,ES	47.1 	43.7 	41.6 b	39.6 	43.5 	47.2 	45.3 	45.2 	49.8 	50.8 	51.6 	52.2 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU27	41.9 e	41.0 	45.3 	45.9 	47.1 	47.3 	47.8 	48.5 	50.1 	50.5 	51.3 	53.5 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,EU28	: 	: 	: 	: 	47.2 	47.4 	47.8 	48.6 	50.1 	50.6 	51.3 	53.5 e
