unit,quantile,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,QU1,AT	20.5 	22.0 	32.6 bu	33.1 u	30.0 u	29.4 u	29.7 	30.5 	28.2 	26.7 	29.5 	30.9 
PC,QU1,BE	35.3 	33.4 	37.9 	31.5 	32.9 	36.9 	38.5 	33.4 	36.7 	32.1 	33.3 	31.4 
PC,QU1,BG	47.8 	59.2 	33.7 	24.0 	20.6 	28.0 	46.9 	38.9 	42.4 	46.3 	57.4 b	52.5 
PC,QU1,CH	: 	: 	: 	46.0 	45.2 	45.7 	44.0 	37.8 	38.5 b	39.6 	39.6 	: 
PC,QU1,CY	10.5 	6.3 	5.3 b	8.2 	9.6 	8.7 	11.2 	9.3 	11.2 	11.5 	10.8 	8.4 
PC,QU1,CZ	28.5 	28.5 	32.4 	28.1 	31.9 	29.3 	32.7 	37.7 	32.9 	34.8 	31.6 	29.8 
PC,QU1,DE	: 	: 	: 	: 	38.9 	42.1 	46.7 	44.4 	49.9 	48.3 	45.6 	44.4 
PC,QU1,DK	52.0 	45.4 	47.6 	60.4 	57.9 	57.9 b	55.2 	58.6 	53.9 	50.6 	54.4 	57.8 
PC,QU1,EA18	28.9 e	26.1 e	25.8 e	26.1 e	30.6 	33.3 	35.4 	34.9 	36.7 	36.2 	35.5 	34.3 e
PC,QU1,EA19	28.8 e	26.0 e	25.8 e	26.0 e	30.7 	33.3 	35.4 	34.9 	36.6 	36.2 	35.5 	34.2 e
PC,QU1,EE	27.0 	18.6 	12.8 	14.5 	22.1 	27.3 	29.4 	28.5 	33.0 b	27.2 	20.6 	19.3 
PC,QU1,EL	69.1 	65.6 	66.0 	66.8 	68.2 	80.5 	92.5 	94.6 	93.7 	94.0 	92.8 	89.9 
PC,QU1,ES	25.5 	26.4 	31.9 b	35.5 	36.3 	36.8 	41.4 	38.8 	42.3 	40.9 	38.4 	38.4 
PC,QU1,EU27	33.8 e	31.5 e	31.3 e	31.1 e	33.6 	35.0 	34.4 	34.0 	36.6 	36.3 	35.8 	34.3 e
PC,QU1,EU28	: 	: 	: 	: 	33.8 	35.0 	34.4 	34.0 	36.5 	36.2 	35.7 	34.3 e
PC,QU1,FI	12.3 	14.2 	15.6 	13.6 	13.2 	13.0 	13.9 	15.9 	16.8 	15.4 	14.1 	12.5 
PC,QU1,FR	17.6 	15.6 	13.3 	12.1 	17.2 	18.3 	18.2 	18.4 	16.8 	17.5 	18.0 	16.3 
PC,QU1,HR	: 	: 	: 	: 	48.9 	32.8 	29.0 	34.1 	29.5 	31.1 	28.7 	: 
PC,QU1,HU	35.2 	30.0 	34.5 	29.4 	32.4 	38.5 	36.4 	37.1 	35.2 	28.4 	27.8 	38.1 
PC,QU1,IE	7.5 	11.5 	11.1 	14.7 	18.6 	23.1 	25.0 	18.1 	23.8 	15.6 	16.4 	: 
PC,QU1,IS	30.5 	25.5 	23.3 	25.3 	27.9 	31.8 	27.3 	25.3 	24.9 	26.1 	18.9 p	: 
PC,QU1,IT	36.6 	25.8 	26.8 	26.4 	28.3 	31.7 	29.9 	31.4 	31.3 	32.9 	36.6 	33.4 
PC,QU1,LT	25.4 	19.5 	21.0 	20.6 	39.4 	37.2 	32.3 	29.0 	26.7 	35.2 	31.7 	29.9 
PC,QU1,LU	20.4 	16.8 	15.4 	15.2 	19.2 	17.4 	20.1 	22.7 	26.7 	24.1 	33.0 b	36.0 
PC,QU1,LV	37.0 	32.5 	31.3 	34.1 	32.8 	37.3 	35.2 	37.7 	32.9 	27.9 	27.1 	27.4 
PC,QU1,MK	: 	: 	: 	: 	: 	68.2 	70.2 	65.3 	57.3 	49.1 	53.9 	: 
PC,QU1,MT	7.2 	8.3 	10.0 	9.0 	11.0 	9.8 	9.3 	9.3 	5.5 	4.1 	5.4 	4.8 
PC,QU1,NL	43.3 	45.0 	33.1 	33.0 	32.0 	33.8 	33.0 	38.1 	39.8 	41.3 	34.3 b	32.6 
PC,QU1,NO	33.6 	35.9 	34.0 	29.8 	28.3 	31.5 	28.6 	29.1 	28.0 	30.3 	31.7 	30.7 
PC,QU1,PL	34.3 	31.4 	30.3 	26.4 	28.7 	33.2 	32.9 	31.2 	28.8 	28.3 	27.1 	24.9 
PC,QU1,PT	13.0 	21.2 	20.5 	20.2 	15.2 	24.8 	27.2 	29.2 	33.1 	32.8 	27.9 	24.3 
PC,QU1,RO	: 	49.0 	44.6 	38.4 	41.4 	24.0 	47.0 	44.2 	44.2 	48.5 	44.9 	39.5 
PC,QU1,RS	: 	: 	: 	: 	: 	: 	: 	73.5 	84.3 	80.2 	78.6 	: 
PC,QU1,SE	38.3 	31.6 	41.3 b	41.2 	33.5 	39.2 	35.2 	35.1 	35.4 	34.6 	34.4 	33.0 
PC,QU1,SI	11.1 	16.0 	14.9 	14.7 	15.7 	17.7 	20.5 	22.0 	23.5 	23.1 	22.4 	20.3 
PC,QU1,SK	47.7 	42.3 	19.3 	29.1 	26.1 	29.1 	27.0 	27.4 	27.8 	26.7 	27.9 	31.1 
PC,QU1,TR	28.4 	16.6 	16.6 	19.0 	19.8 	19.9 	16.8 	21.4 	20.2 	20.7 	: 	: 
PC,QU1,UK	46.1 	44.5 	46.5 	50.5 	50.9 	47.6 	22.6 b	23.9 	37.1 	36.5 	37.1 	: 
PC,QU2,AT	2.3 	2.8 	6.5 bu	5.2 u	5.3 u	6.3 u	3.8 	3.1 	3.4 	3.4 	4.4 	3.1 
PC,QU2,BE	9.4 	11.9 	13.2 	7.9 	8.4 	11.5 	11.3 	9.4 	10.0 	10.8 	9.4 	9.0 
PC,QU2,BG	13.6 	24.3 	16.7 	6.7 	5.7 	8.5 	17.2 	19.9 	13.6 	19.2 	26.4 b	24.8 
PC,QU2,CH	: 	: 	: 	11.9 	14.1 	12.5 	9.4 	9.2 	12.1 b	12.1 	12.8 	: 
PC,QU2,CY	1.6 	1.0 	1.8 b	1.6 	1.8 	4.2 	3.6 	4.4 	4.2 	4.2 	3.1 	3.7 
PC,QU2,CZ	11.9 	10.8 	11.7 	7.3 	7.8 	10.0 	8.8 	9.3 	9.8 	9.1 	8.4 	7.8 
PC,QU2,DE	: 	: 	: 	: 	13.3 	17.5 	18.6 	16.8 	16.1 	15.1 	16.3 	12.9 
PC,QU2,DK	16.5 	12.3 	17.0 	24.5 	25.9 	20.4 b	17.6 	20.6 	16.9 	16.3 	14.6 	14.9 
PC,QU2,EA18	10.2 e	8.5 e	8.4 e	7.6 e	8.5 	10.4 	11.5 	11.8 	11.5 	10.9 	10.9 	9.3 e
PC,QU2,EA19	10.1 e	8.5 e	8.3 e	7.5 e	8.5 	10.4 	11.4 	11.8 	11.5 	10.9 	10.8 	9.2 e
PC,QU2,EE	3.9 	4.0 	2.3 	4.0 	3.8 	5.8 	5.9 	5.1 	5.2 b	4.2 	2.3 	2.6 
PC,QU2,EL	29.2 	10.5 	23.2 	21.4 	15.3 	29.0 	49.7 	60.1 	66.4 	65.8 	55.0 	54.4 
PC,QU2,ES	6.3 	8.5 	9.3 b	9.0 	7.9 	7.7 	7.8 	8.9 	9.1 	7.6 	8.3 	7.7 
PC,QU2,EU27	12.7 e	11.4 e	11.4 e	9.8 e	10.5 	11.7 	11.5 	11.8 	12.0 	11.4 	11.1 	9.2 e
PC,QU2,EU28	: 	: 	: 	: 	10.5 	11.7 	11.4 	11.8 	11.9 	11.3 	11.1 	9.2 e
PC,QU2,FI	3.3 	4.1 	3.5 	4.2 	3.7 	4.5 	4.5 	3.7 	4.9 	5.8 	4.4 	4.5 
PC,QU2,FR	6.4 	6.4 	4.4 	4.3 	5.4 	5.0 	4.5 	5.1 	5.6 	5.7 	5.3 	4.9 
PC,QU2,HR	: 	: 	: 	: 	14.5 	4.8 	3.0 	5.5 	4.9 	4.0 	3.0 	: 
PC,QU2,HU	13.7 	13.7 	13.1 	8.8 	15.0 	16.7 	19.9 	18.5 	14.4 	8.5 	9.6 	9.8 
PC,QU2,IE	3.3 	1.6 	3.5 	2.2 	3.3 	2.9 	2.5 	3.5 	3.7 	4.7 	3.8 	: 
PC,QU2,IS	12.3 	7.4 	9.7 	7.1 	7.7 	9.4 	8.4 	8.7 	7.1 	6.4 	5.4 p	: 
PC,QU2,IT	13.5 	7.4 	8.3 	7.6 	6.1 	7.1 	7.4 	8.4 	6.9 	5.8 	7.5 	5.0 
PC,QU2,LT	7.4 	3.0 	2.6 	3.3 	6.7 	11.6 	8.6 	8.7 	7.3 	9.0 	5.5 	4.1 
PC,QU2,LU	2.9 	1.5 	1.9 	2.2 	2.2 	2.4 	2.9 	2.9 	4.6 	4.6 	9.2 b	7.6 
PC,QU2,LV	9.7 	7.9 	8.3 	7.2 	9.8 	13.7 	13.1 	12.6 	9.5 	7.3 	4.2 	4.0 
PC,QU2,MK	: 	: 	: 	: 	: 	20.6 	22.4 	15.7 	13.9 	7.5 	5.7 	: 
PC,QU2,MT	0.6 	2.3 	2.7 	2.6 	2.8 	1.9 	1.9 	2.0 	1.4 	0.8 	1.0 	1.6 
PC,QU2,NL	20.9 	19.7 	14.2 	13.1 	14.2 	15.1 	16.1 	19.0 	15.2 	14.3 	12.2 b	9.8 
PC,QU2,NO	8.7 	10.1 	10.0 	9.9 	5.9 	8.3 	7.8 	7.4 	5.9 	6.4 	7.2 	6.2 
PC,QU2,PL	13.8 	12.4 	9.7 	8.4 	9.7 	10.2 	10.2 	11.0 	9.4 	8.5 	6.6 	4.6 
