unit,sex,age,incgrp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,TOTAL,A_MD60,AT	1.6 	1.9 	3.1 bu	2.6 u	2.8 u	3.1 u	1.9 	1.8 	1.6 	1.8 	2.0 	1.5 
PC,T,TOTAL,A_MD60,BE	4.4 	5.0 	7.1 	3.9 	4.0 	4.8 	5.1 	4.4 	4.5 	4.5 	4.3 	4.3 
PC,T,TOTAL,A_MD60,BG	7.7 	11.3 	8.0 	2.3 	2.2 	3.9 	6.0 	7.9 	5.2 	6.4 	10.4 b	9.4 
PC,T,TOTAL,A_MD60,CH	: 	: 	: 	6.1 	7.3 	6.2 	4.8 	5.0 	6.0 b	5.8 	6.4 	: 
PC,T,TOTAL,A_MD60,CY	1.4 	0.7 	1.0 b	1.1 	1.6 	1.8 	1.6 	1.8 	2.2 	2.1 	1.3 	1.4 
PC,T,TOTAL,A_MD60,CZ	7.8 	7.3 	9.3 	5.8 	5.7 	5.9 	6.2 	7.9 	6.9 	6.3 	5.7 	5.1 
PC,T,TOTAL,A_MD60,DE	: 	: 	: 	: 	9.4 	10.5 	9.9 	10.1 	8.3 	8.4 	9.1 	7.9 
PC,T,TOTAL,A_MD60,DK	9.4 	7.5 	11.2 	17.2 	14.4 	11.3 b	9.5 	10.2 	8.5 	7.9 	7.1 	7.4 
PC,T,TOTAL,A_MD60,EA18	5.4 e	4.4 e	4.2 e	3.8 e	4.8 	5.4 	5.4 	5.7 	5.5 	5.5 	5.2 	4.7 e
PC,T,TOTAL,A_MD60,EA19	5.3 e	4.4 e	4.2 e	3.8 e	4.8 	5.4 	5.4 	5.7 	5.5 	5.5 	5.1 	4.6 e
PC,T,TOTAL,A_MD60,EE	1.8 	1.9 	1.3 	1.8 	2.2 	2.8 	2.6 	2.2 	2.0 b	1.6 	0.9 	1.1 
PC,T,TOTAL,A_MD60,EL	13.3 	3.2 	11.3 	10.6 	5.5 	9.4 	15.8 	19.9 	31.2 	32.3 	26.7 	26.8 
PC,T,TOTAL,A_MD60,ES	2.9 	3.8 	3.8 b	4.0 	3.0 	3.3 	3.0 	3.2 	2.7 	2.5 	2.6 	2.5 
PC,T,TOTAL,A_MD60,EU27	6.4 e	5.9 e	5.7 e	5.0 e	5.5 	6.0 	5.5 	5.8 	5.7 	5.6 	5.3 	4.5 e
PC,T,TOTAL,A_MD60,EU28	: 	: 	: 	: 	5.5 	6.0 	5.5 	5.8 	5.7 	5.6 	5.2 	4.5 e
PC,T,TOTAL,A_MD60,FI	2.0 	2.7 	2.5 	2.4 	2.4 	2.7 	2.6 	2.8 	2.8 	2.7 	2.4 	2.5 
PC,T,TOTAL,A_MD60,FR	3.6 	3.8 	2.6 	2.4 	2.5 	2.5 	2.4 	2.4 	2.7 	3.2 	2.5 	2.4 
PC,T,TOTAL,A_MD60,HR	: 	: 	: 	: 	5.2 	1.8 	1.3 	2.1 	2.2 	1.3 	1.0 	: 
PC,T,TOTAL,A_MD60,HU	7.0 	7.0 	7.3 	5.0 	7.7 	8.5 	10.6 	9.7 	8.3 	4.5 	4.7 	4.7 
PC,T,TOTAL,A_MD60,IE	1.2 	1.2 	1.7 	1.6 	1.7 	2.3 	2.0 	1.6 	2.2 	2.0 	1.7 	: 
PC,T,TOTAL,A_MD60,IS	11.3 	7.6 	9.2 	6.7 	6.2 	7.3 	5.7 	5.4 	5.4 	4.7 	3.9 p	: 
