unit,incgrp,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,T,TOTAL,AT	15.6 	15.2 	14.8 b	13.3 	12.0 	12.3 	13.9 	14.7 	15.3 	15.0 	15.2 	15.1 
PC,TOTAL,T,TOTAL,BE	3.6 	3.8 	4.1 	3.9 	4.2 	2.2 	1.6 	2.0 	2.0 	1.6 	3.7 	5.1 
PC,TOTAL,T,TOTAL,BG	48.2 	51.1 	48.1 	47.0 	47.4 	47.4 	44.5 	44.2 	43.3 	41.4 	42.5 b	41.9 
PC,TOTAL,T,TOTAL,CH	: 	7.7 	8.1 	7.6 	6.1 	6.1 	5.9 	6.7 	6.8 b	6.4 	7.0 	: 
PC,TOTAL,T,TOTAL,CY	1.9 	1.6 	3.3 b	2.6 	3.5 	2.9 	2.8 	2.4 	2.2 	1.4 	2.4 	2.8 
PC,TOTAL,T,TOTAL,CZ	33.8 	32.7 	29.8 	26.6 	22.5 	21.1 	21.1 	21.0 	19.9 	18.7 	17.9 	16.0 
PC,TOTAL,T,TOTAL,DE	7.6 	6.5 	7.0 	7.0 	7.1 	6.7 	6.6 	6.7 	6.6 	7.0 	7.2 	7.2 
PC,TOTAL,T,TOTAL,DK	7.1 	7.4 	7.3 	7.8 	7.3 	7.4 	7.2 	7.9 	8.2 	8.1 	8.2 	8.6 
PC,TOTAL,T,TOTAL,EA18	12.7 	12.6 	12.4 	12.0 	12.0 	11.5 	11.6 	11.8 	11.8 	12.0 	12.2 	12.1 e
PC,TOTAL,T,TOTAL,EA19	13.1 	13.0 	12.8 	12.3 	12.4 	11.6 	11.7 	12.0 	11.9 	12.1 	12.3 	12.2 e
PC,TOTAL,T,TOTAL,EE	45.9 	43.5 	41.7 	41.2 	39.7 	14.4 	14.0 	21.1 	14.2 b	13.4 	13.4 	13.5 
PC,TOTAL,T,TOTAL,EL	29.3 	29.2 	26.7 	25.0 	25.5 	25.9 	26.5 	27.3 	27.4 	28.1 	28.7 	29.1 
PC,TOTAL,T,TOTAL,ES	6.5 	5.8 	5.6 	5.2 	5.0 	6.6 b	5.6 	5.2 	5.3 	5.5 	5.4 	5.1 
PC,TOTAL,T,TOTAL,EU27	19.1 e	18.7 	18.3 	17.7 	17.5 	16.8 	16.7 	16.8 	16.5 	16.5 	16.4 	17.5 e
PC,TOTAL,T,TOTAL,EU28	: 	: 	: 	: 	17.7 	17.0 	16.9 	17.0 	16.7 	16.7 	16.6 	17.5 e
PC,TOTAL,T,TOTAL,FI	6.3 	6.1 	5.8 	5.9 	6.1 	6.5 	6.0 	6.9 	7.0 	6.7 	6.6 	6.1 
PC,TOTAL,T,TOTAL,FR	8.1 	10.1 	9.7 	9.6 	9.2 	8.0 	8.1 	7.4 	7.1 	7.4 	7.7 	7.7 
PC,TOTAL,T,TOTAL,HR	: 	: 	: 	: 	43.7 	44.6 	44.4 	42.8 	42.1 	41.7 	41.1 	: 
PC,TOTAL,T,TOTAL,HU	51.2 	47.4 	48.3 	46.8 	47.2 	45.5 	45.3 	44.0 	41.9 	41.1 	40.4 	40.5 
PC,TOTAL,T,TOTAL,IE	6.2 	4.9 	4.7 	3.7 	3.4 	2.6 	3.2 	2.8 	3.6 	3.4 	3.2 	: 
PC,TOTAL,T,TOTAL,IS	8.7 	10.7 	6.3 	7.3 	7.2 	7.6 	7.9 	9.1 	8.0 	8.3 	7.4 p	: 
PC,TOTAL,T,TOTAL,IT	24.6 	24.3 	24.3 	23.3 	24.3 	24.5 	26.1 	27.1 	27.2 	27.8 	27.8 	27.1 
PC,TOTAL,T,TOTAL,LT	53.5 	52.5 	48.4 	48.1 	45.5 	19.5 b	19.0 	28.0 b	28.3 	26.4 	23.7 	23.7 
PC,TOTAL,T,TOTAL,LU	7.7 	7.7 	8.0 	6.4 	7.8 	6.8 	7.0 	6.2 	6.7 	6.8 	8.1 b	8.3 
PC,TOTAL,T,TOTAL,LV	59.9 	60.0 	57.4 	56.3 	55.7 	43.7 	36.6 	37.7 	39.8 	41.4 	43.2 	41.9 
PC,TOTAL,T,TOTAL,MK	: 	: 	: 	: 	: 	55.2 	52.4 	50.5 	46.2 b	51.1 	50.1 	: 
PC,TOTAL,T,TOTAL,MT	3.5 	4.2 	3.9 	3.8 	4.0 	4.4 	4.0 	3.6 	4.0 	3.5 	2.9 	2.6 
PC,TOTAL,T,TOTAL,NL	1.8 	1.9 	1.7 	1.7 	2.0 	1.7 	2.5 	2.6 	3.5 	3.3 	4.0 b	4.1 
PC,TOTAL,T,TOTAL,NO	5.3 	5.3 	5.2 	5.0 	5.3 	5.1 	5.6 	6.0 	4.6 	5.2 	5.1 	4.9 
PC,TOTAL,T,TOTAL,PL	54.1 	52.3 	50.8 	49.1 	47.5 	47.2 	46.3 	44.8 	44.2 	43.4 	40.7 	40.5 
PC,TOTAL,T,TOTAL,PT	15.8 	16.1 	15.7 	14.1 	14.6 	11.0 	10.1 	11.4 	10.3 	10.3 	10.3 	9.3 
PC,TOTAL,T,TOTAL,RO	: 	55.9 	54.8 	53.4 	52.0 	51.4 	51.6 	50.6 	49.4 	49.7 	48.4 	47.0 
PC,TOTAL,T,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	54.3 	50.4 	53.4 	55.5 	: 
PC,TOTAL,T,TOTAL,SE	10.7 	10.0 	11.0 b	12.1 	13.1 	13.5 	12.9 	13.0 	12.7 	13.9 	14.4 	13.5 
PC,TOTAL,T,TOTAL,SI	40.3 	39.9 	39.5 	38.0 	34.9 	17.1 b	16.6 	15.6 	14.8 	13.7 	12.6 	12.8 
PC,TOTAL,T,TOTAL,SK	45.9 	43.3 	42.9 	39.7 	40.1 	39.5 	38.4 	39.8 	38.6 	37.8 	37.9 	36.4 
PC,TOTAL,T,TOTAL,TR	51.5 	51.6 	50.6 	48.8 	47.4 	47.1 	46.0 	45.9 	46.9 	46.0 	: 	: 
PC,TOTAL,T,TOTAL,UK	6.3 	6.2 	6.5 	7.2 	7.3 	7.1 	7.0 b	8.0 	7.3 	7.3 	8.0 	: 
PC,TOTAL,T,Y18-64,AT	15.8 	15.6 	14.7 b	13.0 	11.8 	12.5 	14.2 	14.9 	15.8 	15.3 	15.3 	15.4 
PC,TOTAL,T,Y18-64,BE	3.4 	3.8 	4.0 	3.7 	4.1 	2.0 	1.6 	2.0 	2.1 	1.5 	3.8 	5.0 
PC,TOTAL,T,Y18-64,BG	49.4 	52.6 	49.7 	49.0 	49.5 	49.7 	46.8 	46.4 	45.3 	43.5 	44.9 b	44.1 
PC,TOTAL,T,Y18-64,CH	: 	8.0 	8.5 	8.2 	6.5 	6.8 	6.6 	7.8 	7.4 b	7.1 	7.6 	: 
PC,TOTAL,T,Y18-64,CY	1.9 	1.6 	3.1 b	2.6 	3.6 	2.9 	2.8 	2.5 	2.3 	1.6 	2.4 	3.2 
PC,TOTAL,T,Y18-64,CZ	33.2 	31.9 	29.5 	26.6 	22.2 	20.9 	21.3 	21.5 	20.3 	18.8 	18.0 	16.3 
PC,TOTAL,T,Y18-64,DE	8.2 	7.4 	7.9 	8.1 	8.0 	7.5 	7.3 	7.5 	7.4 	7.8 	8.0 	7.9 
PC,TOTAL,T,Y18-64,DK	7.6 	7.7 	7.7 	8.4 	8.1 	8.1 	8.3 	9.0 	9.2 	9.6 	10.1 	10.7 
PC,TOTAL,T,Y18-64,EA18	13.4 	13.4 	13.3 	12.7 	12.9 	12.3 	12.5 	12.8 	12.8 	13.0 	13.1 	13.1 e
PC,TOTAL,T,Y18-64,EA19	13.8 	13.8 	13.6 	13.1 	13.2 	12.4 	12.6 	13.0 	12.9 	13.1 	13.2 	13.2 e
PC,TOTAL,T,Y18-64,EE	46.2 	44.1 	42.1 	41.6 	39.9 	14.0 	13.6 	20.8 	13.8 b	13.0 	13.4 	13.7 
PC,TOTAL,T,Y18-64,EL	32.2 	31.8 	29.2 	27.8 	28.4 	28.8 	30.2 	29.9 	30.2 	31.0 	31.5 	32.0 
PC,TOTAL,T,Y18-64,ES	6.4 	5.9 	5.6 	5.2 	5.1 	6.8 b	5.7 	5.5 	5.6 	5.7 	5.6 	5.2 
PC,TOTAL,T,Y18-64,EU27	19.9 e	19.5 	19.2 	18.6 	18.5 	17.7 	17.7 	17.9 	17.6 	17.6 	17.4 	18.7 e
PC,TOTAL,T,Y18-64,EU28	: 	: 	: 	: 	18.7 	18.0 	17.9 	18.2 	17.9 	17.8 	17.7 	18.7 e
PC,TOTAL,T,Y18-64,FI	6.9 	6.8 	6.1 	6.4 	6.7 	7.2 	6.7 	7.6 	7.9 	7.5 	7.6 	7.0 
PC,TOTAL,T,Y18-64,FR	8.5 	10.3 	10.1 	9.7 	9.5 	8.2 	8.5 	7.9 	7.4 	7.6 	8.0 	7.9 
PC,TOTAL,T,Y18-64,HR	: 	: 	: 	: 	44.8 	46.3 	46.0 	44.7 	44.2 	43.8 	43.5 	: 
PC,TOTAL,T,Y18-64,HU	51.6 	47.3 	48.8 	47.1 	47.7 	45.9 	45.7 	44.6 	42.6 	41.4 	40.7 	40.9 
PC,TOTAL,T,Y18-64,IE	6.0 	5.1 	5.2 	3.5 	3.0 	2.3 	3.2 	2.8 	3.9 	3.1 	3.2 	: 
PC,TOTAL,T,Y18-64,IS	8.8 	10.6 	6.4 	7.4 	7.3 	8.0 	8.1 	9.6 	7.9 	8.5 	7.4 p	: 
PC,TOTAL,T,Y18-64,IT	26.2 	26.2 	26.4 	25.1 	26.3 	26.5 	28.3 	29.7 	29.8 	30.5 	30.3 	29.9 
PC,TOTAL,T,Y18-64,LT	55.3 	53.9 	50.1 	48.8 	46.5 	19.6 b	19.6 	28.0 b	28.8 	27.0 	24.9 	24.5 
PC,TOTAL,T,Y18-64,LU	8.0 	8.0 	8.3 	6.3 	7.8 	6.8 	7.3 	6.4 	6.9 	7.2 	8.2 b	8.8 
PC,TOTAL,T,Y18-64,LV	60.6 	60.6 	58.6 	57.0 	56.4 	44.2 	36.7 	38.1 	40.1 	41.8 	43.5 	42.0 
PC,TOTAL,T,Y18-64,MK	: 	: 	: 	: 	: 	55.0 	52.4 	50.6 	46.3 b	51.6 	49.6 	: 
PC,TOTAL,T,Y18-64,MT	3.6 	4.2 	3.8 	3.7 	3.9 	4.3 	3.8 	3.9 	4.1 	3.5 	2.9 	2.6 
PC,TOTAL,T,Y18-64,NL	2.1 	2.1 	2.1 	2.3 	2.5 	2.1 	3.1 	3.3 	4.1 	4.2 	4.7 b	4.8 
PC,TOTAL,T,Y18-64,NO	5.9 	5.9 	6.0 	5.8 	5.8 	5.9 	6.4 	7.1 	5.5 	6.2 	5.9 	6.0 
PC,TOTAL,T,Y18-64,PL	54.2 	52.3 	50.9 	49.2 	47.6 	47.2 	46.2 	45.0 	44.6 	44.0 	41.2 	41.4 
PC,TOTAL,T,Y18-64,PT	16.0 	16.7 	16.1 	14.5 	15.0 	11.3 	10.4 	11.8 	10.7 	10.4 	10.5 	9.6 
PC,TOTAL,T,Y18-64,RO	: 	57.0 	56.6 	55.0 	54.4 	53.6 	52.8 	52.1 	51.2 	51.7 	49.8 	48.8 
PC,TOTAL,T,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	55.3 	52.0 	55.2 	57.2 	: 
PC,TOTAL,T,Y18-64,SE	11.9 	11.4 	12.5 b	13.5 	14.9 	15.4 	14.7 	15.4 	14.8 	16.0 	16.6 	15.0 
PC,TOTAL,T,Y18-64,SI	42.0 	41.2 	41.1 	39.7 	36.6 	17.8 b	17.6 	16.4 	15.8 	14.7 	13.4 	13.7 
PC,TOTAL,T,Y18-64,SK	47.1 	45.2 	44.9 	41.5 	41.7 	41.3 	40.3 	41.5 	40.0 	38.9 	39.1 	37.9 
PC,TOTAL,T,Y18-64,TR	48.2 	49.0 	47.6 	45.6 	44.2 	43.9 	43.0 	43.1 	43.7 	42.8 	: 	: 
PC,TOTAL,T,Y18-64,UK	6.0 	6.0 	6.5 	7.1 	7.2 	7.0 	7.2 b	8.1 	7.4 	7.5 	8.4 	: 
PC,TOTAL,T,Y_GE65,AT	6.4 	5.8 	4.8 b	5.5 	4.7 	4.3 	4.7 	4.9 	5.1 	4.9 	4.5 	4.3 
PC,TOTAL,T,Y_GE65,BE	1.4 	0.8 	1.0 	0.8 	1.1 	0.7 	0.5 	0.7 	0.6 	0.5 	1.0 	1.5 
PC,TOTAL,T,Y_GE65,BG	26.9 	26.2 	24.8 	24.2 	24.4 	24.0 	21.7 	21.3 	19.9 	17.8 	16.9 b	16.8 
PC,TOTAL,T,Y_GE65,CH	: 	3.3 	2.5 	2.3 	2.2 	2.2 	1.9 	1.8 	1.7 b	1.8 	1.7 	: 
PC,TOTAL,T,Y_GE65,CY	1.6 	1.5 	1.4 b	1.0 	1.2 	1.1 	1.1 	0.9 	0.8 	0.5 	1.0 	0.6 
PC,TOTAL,T,Y_GE65,CZ	17.1 	16.2 	14.6 	11.6 	9.4 	8.2 	7.4 	7.7 	7.8 	7.4 	6.6 	5.6 
PC,TOTAL,T,Y_GE65,DE	2.3 	1.9 	1.8 	1.5 	1.6 	1.8 	2.0 	1.8 	1.7 	1.9 	2.1 	2.2 
PC,TOTAL,T,Y_GE65,DK	1.0 	0.5 	0.5 	1.1 	0.6 	0.4 	0.6 	0.6 	1.0 	0.7 	1.0 	0.9 
PC,TOTAL,T,Y_GE65,EA18	5.4 	5.0 	4.8 	4.4 	4.4 	4.2 	4.2 	4.3 	4.3 	4.4 	4.5 	4.4 e
PC,TOTAL,T,Y_GE65,EA19	5.6 	5.2 	5.0 	4.6 	4.6 	4.2 	4.2 	4.3 	4.4 	4.4 	4.5 	4.4 e
PC,TOTAL,T,Y_GE65,EE	28.5 	26.2 	25.4 	24.2 	23.6 	5.5 	5.5 	8.8 	5.1 b	4.9 	4.7 	4.9 
PC,TOTAL,T,Y_GE65,EL	13.9 	13.8 	14.2 	12.8 	12.5 	13.2 	14.1 	14.4 	14.1 	14.2 	13.6 	12.7 
PC,TOTAL,T,Y_GE65,ES	2.2 	1.5 	1.8 	2.0 	2.1 	2.4 b	1.9 	1.8 	1.4 	2.0 	1.8 	1.9 
PC,TOTAL,T,Y_GE65,EU27	8.7 e	8.1 	7.6 	7.2 	6.9 	6.6 	6.6 	6.5 	6.5 	6.4 	6.4 	7.0 e
PC,TOTAL,T,Y_GE65,EU28	: 	: 	: 	: 	7.1 	6.7 	6.7 	6.6 	6.6 	6.6 	6.6 	7.0 e
PC,TOTAL,T,Y_GE65,FI	5.2 	5.2 	6.2 	5.0 	5.1 	4.9 	4.1 	4.4 	4.5 	4.3 	4.3 	3.9 
PC,TOTAL,T,Y_GE65,FR	3.1 	3.4 	3.3 	3.0 	3.0 	2.4 	2.4 	2.0 	2.0 	2.2 	2.2 	2.1 
PC,TOTAL,T,Y_GE65,HR	: 	: 	: 	: 	23.5 	22.1 	21.6 	20.8 	20.4 	22.5 	21.4 	: 
PC,TOTAL,T,Y_GE65,HU	28.5 	25.4 	24.5 	22.9 	21.8 	20.8 	19.2 	17.4 	16.4 	17.3 	17.0 	16.9 
PC,TOTAL,T,Y_GE65,IE	1.5 	1.0 	0.4 	0.7 	0.6 	0.4 	0.6 	0.2 	0.4 	0.4 	0.3 	: 
PC,TOTAL,T,Y_GE65,IS	2.0 	2.3 	2.0 	3.4 	2.3 	2.5 	1.8 	0.9 	1.8 	1.8 	1.1 p	: 
PC,TOTAL,T,Y_GE65,IT	10.2 	9.3 	8.8 	8.3 	8.3 	8.6 	8.9 	9.3 	10.0 	9.6 	10.0 	9.3 
PC,TOTAL,T,Y_GE65,LT	26.5 	27.0 	25.3 	26.1 	24.0 	6.2 b	5.5 	12.6 b	12.7 	10.8 	9.5 	9.1 
PC,TOTAL,T,Y_GE65,LU	2.1 	2.5 	2.9 	2.2 	2.9 	1.8 	1.7 	1.8 	1.5 	2.2 	1.9 b	2.8 
PC,TOTAL,T,Y_GE65,LV	40.7 	42.6 	40.1 	37.9 	37.8 	26.5 	20.4 	22.1 	24.9 	25.6 	26.4 	26.0 
PC,TOTAL,T,Y_GE65,MK	: 	: 	: 	: 	: 	31.1 	31.2 	28.0 	31.0 b	30.8 	34.1 	: 
PC,TOTAL,T,Y_GE65,MT	1.7 	1.7 	1.7 	1.5 	1.5 	1.0 	1.3 	1.2 	1.4 	1.0 	0.8 	1.0 
PC,TOTAL,T,Y_GE65,NL	0.2 	0.2 	0.1 	0.0 	0.2 	0.1 	0.4 	0.0 	0.2 	0.2 	0.5 b	0.8 
PC,TOTAL,T,Y_GE65,NO	0.5 	0.3 	0.3 	0.6 	0.4 	0.9 	0.5 	0.8 	0.7 	0.8 	0.8 	0.9 
PC,TOTAL,T,Y_GE65,PL	35.5 	33.6 	32.0 	30.1 	29.2 	29.9 	28.2 	27.7 	27.4 	26.6 	25.9 	24.9 
PC,TOTAL,T,Y_GE65,PT	6.4 	6.0 	5.9 	5.0 	6.0 	4.1 	3.6 	4.5 	3.9 	4.0 	4.1 	3.1 
PC,TOTAL,T,Y_GE65,RO	: 	25.9 	23.4 	23.2 	21.4 	20.7 	21.3 	20.6 	19.8 	19.4 	19.5 	18.7 
PC,TOTAL,T,Y_GE65,RS	: 	: 	: 	: 	: 	: 	: 	37.2 	32.4 	35.7 	38.5 	: 
PC,TOTAL,T,Y_GE65,SE	3.0 	3.0 	2.9 b	4.5 	3.7 	4.0 	3.1 	2.7 	2.7 	3.2 	3.7 	4.2 
PC,TOTAL,T,Y_GE65,SI	24.4 	23.0 	21.7 	20.0 	16.3 	5.7 b	6.0 	6.0 	5.6 	5.4 	4.4 	4.4 
PC,TOTAL,T,Y_GE65,SK	26.4 	18.9 	18.4 	15.2 	14.9 	14.8 	15.1 	15.5 	15.7 	15.8 	17.1 	18.4 
PC,TOTAL,T,Y_GE65,TR	29.9 	30.2 	30.4 	29.7 	29.1 	29.2 	29.3 	27.7 	28.7 	27.8 	: 	: 
PC,TOTAL,T,Y_GE65,UK	0.9 	0.8 	0.6 	0.7 	0.7 	0.6 	1.8 b	1.6 	1.7 	1.6 	1.3 	: 
PC,TOTAL,T,Y_LT18,AT	22.5 	21.8 	23.6 b	21.1 	19.3 	18.7 	21.7 	23.4 	23.2 	23.8 	25.1 	24.8 
PC,TOTAL,T,Y_LT18,BE	5.8 	5.8 	6.7 	6.8 	6.9 	4.0 	2.4 	3.1 	2.9 	2.6 	6.0 	8.6 
PC,TOTAL,T,Y_LT18,BG	65.1 	70.4 	65.5 	63.1 	63.2 	63.1 	61.2 	62.8 	63.3 	61.8 	64.4 b	63.8 
PC,TOTAL,T,Y_LT18,CH	: 	10.0 	11.0 	10.0 	7.7 	7.2 	7.1 	7.4 	9.3 b	8.4 	9.9 	: 
PC,TOTAL,T,Y_LT18,CY	2.0 	1.9 	5.1 b	3.5 	4.5 	3.9 	3.7 	2.9 	2.9 	1.4 	3.3 	3.1 
PC,TOTAL,T,Y_LT18,CZ	48.2 	48.0 	43.0 	39.3 	34.4 	32.6 	32.4 	31.5 	30.3 	29.3 	28.6 	25.3 
PC,TOTAL,T,Y_LT18,DE	10.6 	8.4 	9.6 	9.5 	10.2 	9.6 	9.6 	9.8 	9.6 	10.0 	10.4 	10.7 
PC,TOTAL,T,Y_LT18,DK	9.7 	10.9 	10.8 	10.7 	9.9 	10.9 	9.8 	11.0 	11.6 	10.4 	9.2 	9.7 
PC,TOTAL,T,Y_LT18,EA18	17.0 	16.6 	16.7 	16.5 	16.5 	15.8 	16.0 	16.0 	16.1 	16.8 	17.3 	17.4 e
PC,TOTAL,T,Y_LT18,EA19	17.6 	17.2 	17.2 	17.0 	17.0 	16.0 	16.1 	16.3 	16.3 	17.0 	17.4 	17.6 e
PC,TOTAL,T,Y_LT18,EE	59.6 	56.3 	55.2 	55.1 	53.9 	24.0 	23.1 	33.3 	24.6 b	22.8 	22.0 	21.2 
PC,TOTAL,T,Y_LT18,EL	34.9 	35.4 	30.6 	27.9 	29.0 	28.9 	27.3 	32.9 	32.7 	34.6 	36.8 	38.9 
PC,TOTAL,T,Y_LT18,ES	11.1 	9.0 	9.0 	8.2 	7.5 	9.5 b	8.5 	7.1 	7.9 	8.2 	8.4 	8.2 
PC,TOTAL,T,Y_LT18,EU27	25.2 e	24.9 	24.5 	24.2 	23.8 	22.9 	22.9 	22.9 	22.4 	22.8 	23.0 	24.6 e
PC,TOTAL,T,Y_LT18,EU28	: 	: 	: 	: 	24.1 	23.2 	23.2 	23.1 	22.7 	23.1 	23.2 	24.6 e
PC,TOTAL,T,Y_LT18,FI	5.1 	4.9 	4.5 	5.0 	5.1 	5.8 	5.7 	7.1 	6.9 	6.6 	6.0 	5.8 
PC,TOTAL,T,Y_LT18,FR	10.8 	14.0 	13.6 	14.1 	13.2 	11.6 	11.3 	10.1 	10.3 	11.2 	11.8 	12.1 
PC,TOTAL,T,Y_LT18,HR	: 	: 	: 	: 	58.6 	59.6 	60.0 	56.6 	55.2 	53.8 	53.1 	: 
PC,TOTAL,T,Y_LT18,HU	66.1 	63.2 	64.4 	64.8 	66.5 	66.4 	67.2 	66.1 	63.5 	62.6 	62.3 	62.7 
PC,TOTAL,T,Y_LT18,IE	8.7 	6.2 	5.2 	5.3 	5.4 	4.2 	4.3 	3.9 	4.2 	5.7 	4.7 	: 
PC,TOTAL,T,Y_LT18,IS	11.0 	14.3 	8.0 	8.7 	9.1 	9.0 	10.4 	11.9 	11.4 	11.3 	10.7 p	: 
PC,TOTAL,T,Y_LT18,IT	35.0 	34.1 	34.3 	34.3 	35.8 	35.9 	38.9 	39.3 	39.4 	41.2 	41.7 	40.6 
PC,TOTAL,T,Y_LT18,LT	67.4 	67.3 	63.3 	65.2 	61.9 	31.7 b	30.4 	43.2 b	42.5 	40.1 	34.3 	36.7 
PC,TOTAL,T,Y_LT18,LU	10.2 	9.9 	10.3 	9.4 	10.7 	9.5 	9.2 	8.1 	9.7 	8.5 	12.0 b	10.6 
PC,TOTAL,T,Y_LT18,LV	74.3 	74.1 	69.6 	71.7 	71.1 	59.6 	53.1 	53.4 	55.2 	57.5 	60.2 	59.0 
PC,TOTAL,T,Y_LT18,MK	: 	: 	: 	: 	: 	69.2 	64.9 	63.0 	55.3 b	62.1 	61.9 	: 
PC,TOTAL,T,Y_LT18,MT	4.4 	5.5 	5.5 	5.7 	6.4 	7.4 	6.7 	4.6 	5.9 	6.0 	4.7 	4.0 
PC,TOTAL,T,Y_LT18,NL	1.7 	2.4 	1.5 	1.2 	1.9 	1.6 	2.4 	2.5 	4.4 	3.1 	5.1 b	5.1 
