unit,tenure,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,OWN_L,AT	: 	7.1 	7.1 b	5.0 	4.5 	4.1 	7.6 	8.3 	8.3 	6.1 	5.3 	5.9 
PC,OWN_L,BE	1.6 	2.4 	2.6 	1.9 	2.7 	0.9 	0.6 	0.7 	0.6 	0.5 	1.7 	2.3 
PC,OWN_L,BG	46.5 	54.7 	55.4 	58.2 	61.9 	61.1 	58.5 	50.7 	55.3 	53.6 	62.7 b	63.7 
PC,OWN_L,CH	: 	: 	: 	: 	2.2 	1.9 	2.0 	2.2 	1.5 b	1.3 	1.9 	: 
PC,OWN_L,CY	: 	0.0 	0.7 b	0.8 	1.6 	1.0 	0.5 	1.5 	1.6 	1.0 	3.1 	1.4 
PC,OWN_L,CZ	21.9 	22.6 	20.2 	18.8 	13.8 	14.7 	15.1 	15.9 	14.3 	14.2 	14.4 	13.0 
PC,OWN_L,DE	: 	: 	: 	: 	2.1 	2.4 	3.0 	3.1 	2.5 	3.0 	2.7 	3.2 
PC,OWN_L,DK	3.8 	4.0 	3.8 	4.1 	4.0 	3.3 	4.3 	3.7 	3.8 	4.4 	3.2 	3.8 
PC,OWN_L,EA18	: 	7.1 e	7.3 e	7.3 e	6.3 	6.1 	6.4 	6.9 	6.5 	7.0 	6.9 	6.7 e
PC,OWN_L,EA19	: 	7.2 e	7.4 e	7.5 e	6.4 	6.1 	6.4 	7.0 	6.5 	7.0 	6.9 	6.8 e
PC,OWN_L,EE	37.0 	36.1 	36.2 	36.5 	36.5 	13.8 	14.1 	19.5 	14.0 b	12.4 	10.0 	12.5 
PC,OWN_L,EL	: 	24.6 	23.2 	21.4 	23.1 	21.1 	23.0 	25.7 	28.3 	34.1 	35.6 	35.3 
PC,OWN_L,ES	: 	5.1 	4.7 	3.3 	3.7 	5.0 b	4.1 	3.5 	3.7 	4.0 	3.0 	3.6 
