unit,incgrp,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,TOTAL,F,AT	16.6 	15.6 	16.2 b	13.9 	12.2 	12.1 	14.1 	15.1 	15.7 	15.8 	16.0 	16.1 
PC,TOTAL,TOTAL,F,BE	3.7 	3.7 	4.1 	3.9 	4.0 	2.0 	1.3 	1.8 	1.8 	1.4 	3.9 	5.5 
PC,TOTAL,TOTAL,F,BG	51.3 	54.9 	51.0 	49.5 	50.6 	51.1 	48.1 	48.2 	47.0 	46.2 	47.7 b	46.7 
PC,TOTAL,TOTAL,F,CH	: 	7.1 	7.7 	7.7 	5.2 	6.2 	5.8 	6.5 	6.6 b	6.1 	6.8 	: 
PC,TOTAL,TOTAL,F,CY	1.7 	1.5 	3.5 b	2.9 	3.7 	2.9 	3.0 	2.3 	2.0 	1.3 	2.5 	3.0 
PC,TOTAL,TOTAL,F,CZ	35.7 	34.7 	31.8 	28.4 	23.8 	22.4 	22.7 	23.1 	21.9 	20.5 	19.4 	16.8 
PC,TOTAL,TOTAL,F,DE	7.0 	6.1 	6.3 	6.3 	6.3 	6.0 	6.0 	6.1 	5.9 	6.3 	6.6 	6.6 
PC,TOTAL,TOTAL,F,DK	6.6 	6.8 	7.0 	7.0 	6.5 	7.0 b	7.3 	7.4 	7.8 	7.2 	7.9 	7.9 
PC,TOTAL,TOTAL,F,EA18	13.3 	13.2 	13.0 	12.6 	12.6 	12.0 	12.3 	12.5 	12.4 	12.8 	13.1 	13.1 e
PC,TOTAL,TOTAL,F,EA19	13.8 	13.7 	13.4 	13.0 	13.0 	12.1 	12.4 	12.7 	12.6 	13.0 	13.2 	13.2 e
PC,TOTAL,TOTAL,F,EE	49.8 	47.1 	45.6 	44.9 	43.2 	16.7 	16.4 	25.4 	16.4 b	15.1 	15.1 	15.4 
PC,TOTAL,TOTAL,F,EL	30.9 	30.7 	28.0 	25.8 	26.1 	27.1 	27.9 	29.3 	29.4 	30.3 	31.2 	31.6 
PC,TOTAL,TOTAL,F,ES	6.8 	6.2 	5.8 	5.2 	5.1 	7.0 b	6.1 	5.4 	5.7 	5.8 	6.1 	5.9 
PC,TOTAL,TOTAL,F,EU27	20.5 e	20.2 	19.7 	19.1 	18.9 	18.1 	18.0 	18.1 	17.7 	17.9 	17.7 	19.1 e
PC,TOTAL,TOTAL,F,EU28	: 	: 	: 	: 	19.1 	18.3 	18.3 	18.4 	17.9 	18.1 	18.0 	19.1 e
PC,TOTAL,TOTAL,F,FI	3.4 	3.5 	3.0 	3.4 	3.5 	3.9 	3.7 	4.8 	4.7 	4.6 	4.2 	4.0 
PC,TOTAL,TOTAL,F,FR	7.5 	9.3 	9.1 	9.3 	8.8 	7.5 	7.9 	7.3 	6.9 	7.4 	7.9 	7.8 
PC,TOTAL,TOTAL,F,HR	: 	: 	: 	: 	47.0 	47.9 	48.0 	46.3 	45.3 	44.5 	43.8 	: 
PC,TOTAL,TOTAL,F,HU	54.6 	50.9 	51.9 	50.8 	51.0 	50.2 	50.4 	48.8 	46.7 	46.2 	45.8 	46.5 
