unit,incgrp,hhtyp,n_item,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,TOTAL,TOTAL,0,AT	84.7 	85.7 	81.8 b	80.4 	80.3 	81.5 	83.7 	83.8 	85.2 	84.3 	84.9 	83.8 
PC,TOTAL,TOTAL,0,BE	77.7 	79.4 	76.9 	78.4 	75.8 	73.2 	76.1 	77.6 	76.8 	75.7 	74.7 	76.8 
PC,TOTAL,TOTAL,0,BG	49.3 	60.1 	51.8 b	58.4 	66.1 	66.2 	68.6 	70.8 	70.3 b	72.5 	73.1 b	74.8 
PC,TOTAL,TOTAL,0,CH	: 	85.4 	87.8 	86.5 	87.2 	84.2 	81.5 	83.8 	83.1 b	82.5 	82.0 	: 
PC,TOTAL,TOTAL,0,CY	64.3 	66.8 	71.3 b	67.8 	67.5 	68.0 	67.9 	66.8 	72.6 	70.6 	71.1 	69.4 
PC,TOTAL,TOTAL,0,CZ	76.0 	81.5 	83.5 	82.8 	85.8 	85.9 	87.5 	87.9 	88.5 	88.6 	89.3 	89.9 
PC,TOTAL,TOTAL,0,DE	80.8 	82.9 	82.7 	82.4 	82.9 	83.1 	83.4 	84.2 	84.8 	84.7 	84.6 	85.0 
PC,TOTAL,TOTAL,0,DK	87.7 	85.5 	87.7 	88.0 	88.4 	78.4 b	78.5 	79.7 	80.9 	80.5 	80.6 	81.1 
PC,TOTAL,TOTAL,0,EA18	78.3 	78.6 	79.9 	79.8 	79.5 	80.0 	80.9 	79.8 	79.8 	80.6 	80.8 	83.4 e
PC,TOTAL,TOTAL,0,EA19	78.0 	78.4 	79.8 	79.7 	79.4 	79.9 	80.8 	79.7 	79.7 	80.5 	80.7 	83.3 e
PC,TOTAL,TOTAL,0,EE	63.1 	64.7 	71.7 	69.8 	71.7 	72.2 	72.0 	74.1 	76.0 	78.8 	79.1 	79.8 
PC,TOTAL,TOTAL,0,EL	75.7 	76.4 	76.9 	78.1 	78.3 	80.0 	80.7 	81.8 	83.1 	82.5 	82.5 	84.1 
PC,TOTAL,TOTAL,0,ES	73.8 	73.7 	79.6 b	77.4 b	74.9 	81.5 	85.1 	79.0 	80.1 	82.6 	81.4 	86.0 
PC,TOTAL,TOTAL,0,EU27	: 	75.1 	77.0 	77.8 	77.9 	78.5 	79.6 	79.2 	79.4 	80.2 	80.1 	82.4 e
PC,TOTAL,TOTAL,0,EU28	: 	: 	: 	: 	77.9 	78.5 	79.6 	79.2 	79.4 	80.2 	80.1 	82.4 e
PC,TOTAL,TOTAL,0,FI	89.4 	89.2 	89.3 	90.3 	90.7 	90.3 	89.2 	90.8 	91.2 	91.4 	90.9 	91.8 
PC,TOTAL,TOTAL,0,FR	82.0 	80.0 	81.2 	81.8 	81.2 	83.3 	82.0 	81.7 	81.7 	82.2 	80.5 	83.7 
PC,TOTAL,TOTAL,0,HR	: 	: 	: 	: 	76.4 	81.1 	82.1 b	83.0 	84.1 	85.1 	85.0 	: 
PC,TOTAL,TOTAL,0,HU	69.0 	73.4 	63.3 b	78.9 	69.9 	73.5 	71.2 	69.9 	69.2 	71.8 	69.7 	72.4 
PC,TOTAL,TOTAL,0,IE	82.0 	80.2 	84.6 	83.7 	84.6 	80.1 	84.1 	79.4 	82.2 	83.0 	83.5 	: 
PC,TOTAL,TOTAL,0,IS	85.4 	87.8 	78.9 b	81.1 	82.1 	82.1 	79.7 	79.7 	82.3 	78.8 	80.0 p	: 
PC,TOTAL,TOTAL,0,IT	75.0 	75.2 	76.2 	76.0 	76.9 	72.3 	75.1 	73.8 	72.1 	73.1 	77.0 	82.3 
PC,TOTAL,TOTAL,0,LT	53.8 	59.7 	61.1 	66.8 	68.7 	68.4 	70.3 	69.7 	71.7 	74.2 	71.8 	74.2 
PC,TOTAL,TOTAL,0,LU	82.1 	82.3 	80.3 	78.4 	79.9 	82.2 	78.3 	80.3 	81.1 	80.6 	73.9 b	77.3 
PC,TOTAL,TOTAL,0,LV	54.6 	57.4 	60.3 b	60.2 	61.7 	61.5 	59.5 	61.7 	62.2 	65.7 	68.1 	68.6 
PC,TOTAL,TOTAL,0,MK	: 	: 	: 	: 	64.8 	74.5 	75.7 	79.1 	78.7 	83.2 	80.5 	: 
PC,TOTAL,TOTAL,0,MT	88.4 	90.4 	89.3 	85.8 	83.0 	82.7 	83.5 	82.5 	83.5 	84.4 	85.3 	86.2 
PC,TOTAL,TOTAL,0,NL	79.7 	78.0 	81.9 	83.1 	82.3 	82.6 	81.0 	82.0 	81.0 	81.1 	81.3 b	84.3 
PC,TOTAL,TOTAL,0,NO	89.4 	88.8 	88.5 	88.6 	89.0 	89.3 	88.3 	90.2 	92.2 	90.8 	91.8 	91.5 
PC,TOTAL,TOTAL,0,PL	54.8 	58.8 	72.0 b	76.6 	78.8 	82.1 	83.3 	84.2 	85.7 	84.1 	84.4 	84.1 
PC,TOTAL,TOTAL,0,PT	66.9 	68.2 	73.1 b	75.4 	74.2 	74.6 	71.9 	63.5 	61.9 	67.4 	64.8 	66.9 
PC,TOTAL,TOTAL,0,RO	: 	42.7 	47.6 	48.5 	50.3 	52.7 	56.5 	56.4 	59.2 	61.2 	61.3 	64.7 
PC,TOTAL,TOTAL,0,RS	: 	: 	: 	: 	: 	: 	: 	74.0 	69.3 	71.6 	74.4 	: 
PC,TOTAL,TOTAL,0,SE	88.5 	87.8 	86.3 b	87.5 	86.1 	85.7 	87.1 	86.7 	86.9 	87.1 	86.6 	87.7 
PC,TOTAL,TOTAL,0,SI	72.4 	75.0 	63.1 b	59.7 	62.7 	59.4 	63.8 	69.7 	68.1 	70.7 	73.9 	75.7 
PC,TOTAL,TOTAL,0,SK	89.3 	90.0 	88.4 b	90.9 	91.5 	90.3 	89.0 	90.9 	91.4 	91.6 	92.0 	91.4 
PC,TOTAL,TOTAL,0,TR	44.7 	49.9 	50.8 	43.8 	: 	46.6 	44.5 	47.9 	50.1 	51.5 	: 	: 
PC,TOTAL,TOTAL,0,UK	78.6 	76.8 	77.4 	77.1 	77.2 	77.2 	78.6 b	80.5 	79.8 	81.6 	80.3 	: 
PC,TOTAL,TOTAL,1,AT	11.9 	11.1 	14.5 b	16.0 	16.1 	15.5 	13.7 	13.8 	12.8 	13.0 	12.1 	13.7 
PC,TOTAL,TOTAL,1,BE	18.0 	16.9 	19.2 	17.3 	20.3 	22.6 	20.0 	20.3 	19.7 	20.2 	21.9 	20.7 
PC,TOTAL,TOTAL,1,BG	22.2 	17.2 	23.6 b	21.5 	15.7 	15.8 	15.1 	13.6 	14.4 b	13.4 	12.9 b	12.3 
PC,TOTAL,TOTAL,1,CH	: 	11.8 	11.2 	12.4 	11.6 	14.6 	16.7 	13.9 	15.1 b	15.7 	15.8 	: 
PC,TOTAL,TOTAL,1,CY	30.9 	28.1 	24.3 b	27.0 	27.6 	27.2 	28.4 	29.1 	23.9 	25.4 	25.1 	27.1 
PC,TOTAL,TOTAL,1,CZ	20.4 	15.6 	14.0 	14.6 	12.0 	12.0 	10.4 	9.6 	9.2 	9.3 	9.1 	8.4 
PC,TOTAL,TOTAL,1,DE	16.7 	15.1 	14.7 	15.1 	14.7 	15.1 	14.9 	14.0 	13.6 	13.8 	13.8 	13.4 
PC,TOTAL,TOTAL,1,DK	11.1 	13.0 	11.1 	11.0 	10.2 	18.8 b	19.4 	17.9 	16.6 	17.1 	17.0 	16.4 
PC,TOTAL,TOTAL,1,EA18	17.6 	17.5 	16.5 	16.7 	17.2 	17.0 	16.2 	17.0 	16.9 	16.4 	16.3 	14.1 e
PC,TOTAL,TOTAL,1,EA19	17.6 	17.6 	16.5 	16.6 	17.2 	17.0 	16.2 	17.0 	16.9 	16.4 	16.2 	14.1 e
PC,TOTAL,TOTAL,1,EE	18.9 	18.1 	13.8 	17.0 	16.5 	16.9 	17.8 	16.2 	14.8 	13.3 	13.4 	12.9 
PC,TOTAL,TOTAL,1,EL	17.1 	16.9 	17.6 	17.4 	17.4 	16.5 	16.1 	14.8 	12.8 	13.7 	14.0 	12.7 
PC,TOTAL,TOTAL,1,ES	21.6 	22.6 	18.0 b	19.8 b	22.8 	16.6 	13.3 	18.7 	17.4 	15.5 	16.4 	12.2 
PC,TOTAL,TOTAL,1,EU27	: 	18.2 	16.8 	16.3 	16.7 	16.4 	15.5 	16.0 	15.9 	15.4 	15.5 	13.5 e
PC,TOTAL,TOTAL,1,EU28	: 	: 	: 	: 	16.7 	16.3 	15.5 	15.9 	15.9 	15.3 	15.4 	13.5 e
PC,TOTAL,TOTAL,1,FI	9.2 	9.5 	9.5 	8.4 	8.2 	8.4 	9.3 	8.0 	7.8 	7.5 	8.4 	7.6 
PC,TOTAL,TOTAL,1,FR	14.6 	16.4 	15.4 	15.2 	15.6 	13.8 	14.7 	15.0 	14.6 	14.8 	16.0 	13.6 
PC,TOTAL,TOTAL,1,HR	: 	: 	: 	: 	19.2 	14.6 	13.5 b	13.1 	12.0 	11.4 	11.4 	: 
PC,TOTAL,TOTAL,1,HU	22.0 	16.8 	26.2 b	12.6 	21.6 	17.6 	19.9 	20.3 	20.6 	19.0 	20.4 	19.0 
PC,TOTAL,TOTAL,1,IE	14.3 	14.5 	12.7 	13.2 	13.0 	14.6 	13.8 	17.5 	15.0 	15.0 	13.7 	: 
PC,TOTAL,TOTAL,1,IS	14.2 	11.9 	20.5 b	18.3 	17.3 	17.3 	19.8 	19.5 	16.9 	20.6 	19.3 p	: 
PC,TOTAL,TOTAL,1,IT	19.4 	19.3 	18.8 	18.8 	18.6 	22.8 	20.4 	20.7 	22.7 	21.8 	18.6 	14.6 
PC,TOTAL,TOTAL,1,LT	20.3 	18.5 	16.3 	13.5 	13.9 	13.6 	13.2 	14.8 	13.3 	12.3 	13.7 	13.3 
PC,TOTAL,TOTAL,1,LU	14.7 	15.1 	16.6 	17.8 	17.7 	15.9 	18.9 	16.3 	16.8 	17.2 	22.6 b	19.5 
PC,TOTAL,TOTAL,1,LV	21.4 	17.7 	19.0 b	18.1 	17.4 	18.3 	20.1 	19.3 	19.7 	17.5 	15.9 	17.1 
PC,TOTAL,TOTAL,1,MK	: 	: 	: 	: 	20.4 	14.4 	13.9 	11.6 	12.1 	10.2 	12.4 	: 
PC,TOTAL,TOTAL,1,MT	9.4 	8.7 	9.5 	11.5 	14.0 	15.8 	15.0 	15.6 	14.4 	13.6 	13.0 	12.3 
PC,TOTAL,TOTAL,1,NL	18.6 	20.1 	16.7 	16.0 	16.4 	16.4 	17.8 	16.9 	17.6 	17.2 	17.5 b	14.4 
PC,TOTAL,TOTAL,1,NO	9.6 	10.1 	10.5 	10.3 	10.3 	9.6 	11.0 	9.0 	7.1 	8.4 	7.4 	7.6 
PC,TOTAL,TOTAL,1,PL	31.9 	29.4 	18.2 b	14.6 	13.8 	11.6 	11.0 	10.9 	9.8 	11.4 	11.6 	11.8 
PC,TOTAL,TOTAL,1,PT	24.5 	23.7 	19.7 b	18.1 	20.5 	21.4 	23.3 	31.0 	32.3 	27.4 	29.6 	27.7 
PC,TOTAL,TOTAL,1,RO	: 	12.6 	9.6 	8.6 	9.5 	9.2 	7.3 	8.2 	8.0 	7.5 	8.0 	7.4 
PC,TOTAL,TOTAL,1,RS	: 	: 	: 	: 	: 	: 	: 	16.7 	21.7 	20.1 	17.9 	: 
PC,TOTAL,TOTAL,1,SE	10.3 	10.8 	12.5 b	11.5 	12.7 	13.2 	11.7 	12.1 	12.3 	11.9 	12.4 	11.0 
PC,TOTAL,TOTAL,1,SI	22.7 	21.4 	31.0 b	34.0 	31.2 	34.0 	31.6 	26.5 	27.9 	25.6 	23.1 	21.7 
PC,TOTAL,TOTAL,1,SK	7.5 	6.7 	9.5 b	7.3 	7.4 	7.4 	8.6 	6.8 	6.1 	6.5 	6.0 	6.1 
PC,TOTAL,TOTAL,1,TR	30.6 	28.7 	28.8 	32.5 	: 	31.7 	35.3 	32.5 	32.0 	32.1 	: 	: 
PC,TOTAL,TOTAL,1,UK	18.2 	19.6 	19.2 	19.8 	19.5 	19.1 	17.7 b	17.0 	17.7 	15.7 	16.8 	: 
PC,TOTAL,TOTAL,2,AT	3.2 	3.0 	3.2 b	3.2 	3.3 	2.8 	2.4 	2.3 	1.9 	2.5 	2.8 	2.4 
PC,TOTAL,TOTAL,2,BE	3.9 	3.4 	3.5 	4.1 	3.8 	3.8 	3.7 	1.9 	3.3 	3.9 	3.2 	2.5 
PC,TOTAL,TOTAL,2,BG	15.2 	12.5 	15.1 b	12.3 	10.8 	11.1 	10.4 	9.5 	9.7 b	8.6 	8.8 b	7.6 
PC,TOTAL,TOTAL,2,CH	: 	2.2 	1.0 	1.0 	1.2 	1.2 	1.9 	2.3 	1.7 b	1.7 	2.2 	: 
PC,TOTAL,TOTAL,2,CY	3.7 	4.2 	4.0 b	4.7 	4.3 	4.2 	3.2 	3.7 	2.9 	3.5 	3.5 	3.1 
PC,TOTAL,TOTAL,2,CZ	2.9 	2.3 	2.1 	2.3 	1.9 	1.8 	1.7 	2.2 	2.1 	2.0 	1.6 	1.6 
PC,TOTAL,TOTAL,2,DE	2.3 	1.9 	2.4 	2.5 	2.4 	1.7 	1.7 	1.8 	1.6 	1.6 	1.7 	1.6 
PC,TOTAL,TOTAL,2,DK	1.2 	1.5 	1.3 	0.9 	1.3 	2.6 b	1.8 	2.0 	2.3 	2.0 	2.1 	2.3 
PC,TOTAL,TOTAL,2,EA18	3.8 	3.5 	3.2 	3.3 	3.0 	2.8 	2.7 	3.0 	3.1 	2.9 	2.8 	2.3 e
PC,TOTAL,TOTAL,2,EA19	3.9 	3.6 	3.3 	3.3 	3.1 	2.9 	2.8 	3.0 	3.1 	2.9 	2.8 	2.3 e
PC,TOTAL,TOTAL,2,EE	10.7 	10.0 	8.5 	7.6 	6.7 	6.3 	6.2 	6.2 	6.2 	5.2 	4.5 	4.4 
PC,TOTAL,TOTAL,2,EL	6.2 	5.7 	4.6 	3.7 	3.8 	2.9 	2.9 	3.0 	3.8 	3.6 	3.3 	3.0 
PC,TOTAL,TOTAL,2,ES	4.5 	3.5 	2.3 b	2.7 b	2.3 	1.9 	1.5 	2.2 	2.5 	1.9 	2.2 	1.8 
PC,TOTAL,TOTAL,2,EU27	: 	4.9 	4.7 	4.6 	4.3 	4.0 	3.9 	3.9 	3.9 	3.7 	3.6 	3.3 e
