currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,AT	-5051.0 	-5181.0 	-4805.0 	-3637.0 	-4609.0 	-1508.0 	-1756.0 	4767.0 	3590.0 	5031.0 	5738.0 	8824.0 	10798.0 	13190.0 	7479.0 	8447.0 	5057.0 	4725.0 	6294.0 	8242.0 	5940.0 	8824.0 	7217.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	9972.8 	9764.4 	6490.4 	6271.5 	6722.7 	-3535.0 	-3755.0 	6441.0 	-4067.0 	-210.0 	-1247.0 	-3482.0 	-4199.0 	-2562.0 	3193.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-15147.8 	-15994.5 	-6072.3 	-1287.7 	266.3 	-699.7 	1047.5 	1037.7 	-30.1 	2433.1 	6587.1 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2945.0 	-1431.0 	-2172.0 	-811.0 	-1162.0 	-896.0 	-760.0 	-260.0 	-935.0 	-1643.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,CZ	-36334.0 	-111867.0 	-113035.0 	-40493.0 	-50598.0 	-104875.0 	-124477.0 	-136377.0 	-160617.0 	-114414.0 	-68733.0 	-86628.0 	-177113.0 	-75255.0 	-89202.0 	-141776.0 	-84800.0 	-63313.0 	-21783.0 	7882.0 	11283.0 	74220.0 	54157.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,DE	-23596.0 	-12991.0 	-9996.0 	-14306.0 	-29220.0 	-37030.0 	-7911.0 	41655.0 	31347.0 	101204.0 	105730.0 	135960.0 	169636.0 	143318.0 	141234.0 	144890.0 	165077.0 	193589.0 	190091.0 	218966.0 	271402.0 	268812.0 	257725.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66488.0 	55932.0 	25160.0 	52551.0 	59680.0 	118847.0 	121628.0 	119034.0 	149723.0 	176807.0 	167896.0 	166273.0 	173260.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,EE	-115.6 	-307.7 	-499.1 	-432.3 	-230.7 	-333.9 	-495.9 	-865.8 	-1125.4 	-1165.8 	-984.4 	-2025.7 	-2437.5 	-1438.0 	360.0 	266.0 	222.5 	-349.6 	98.5 	161.7 	381.0 	425.0 	750.5 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-17672.0 	-25025.0 	-35341.0 	-36570.0 	-29323.0 	-25731.0 	-20713.0 	-7324.0 	-3685.0 	-2916.0 	-404.0 	-2193.0 	-1781.0 
MIO_NAC,CA,S1,S1,BAL,WRL_REST,ES	-4371.0 	-3671.0 	-3751.0 	-9209.0 	-19600.0 	-28437.0 	-30714.0 	-28011.0 	-31201.0 	-48120.0 	-69733.0 	-90619.0 	-104276.0 	-103255.0 	-46191.0 	-42388.0 	-34040.0 	-2404.0 	15591.0 	11217.0 	12555.0 	25244.0 	21512.0 
