currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT	: 	: 	: 	: 	2976.0 	6161.0 	3737.0 	6855.0 	5679.0 	6679.0 	62517.0 	13005.0 	56523.0 	18945.0 	10784.0 	-10336.0 	27826.0 	14216.0 	8200.0 	-551.0 	-2002.0 	-24727.0 	13703.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BE	: 	: 	: 	: 	: 	: 	: 	: 	33955.0 	27397.0 	26262.0 	40403.0 	58543.0 	157315.0 	16014.0 	44601.0 	91984.0 	26363.0 	-17853.0 	-10883.0 	-7542.0 	13466.0 	-7343.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1346.5 	1410.2 	547.2 	855.2 	680.6 	616.0 	520.3 	1285.5 	197.4 	1514.7 	1598.2 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3200.0 	621.0 	12774.0 	-11598.0 	39947.0 	-4840.0 	-1789.0 	15753.0 	5632.0 	5243.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,CZ	973.0 	4150.0 	800.0 	4103.0 	3108.0 	1654.0 	6289.0 	6759.0 	5815.0 	63062.0 	49946.0 	68415.0 	90641.0 	111897.0 	61199.0 	99689.0 	29551.0 	63459.0 	151420.0 	87707.0 	91305.0 	78628.0 	81354.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,DE	29138.0 	46662.0 	43296.0 	86369.0 	131109.0 	103192.0 	78270.0 	18023.0 	35901.0 	7943.0 	71142.0 	117812.0 	103446.0 	63619.0 	72191.0 	109844.0 	77306.0 	76835.0 	70633.0 	85375.0 	116141.0 	82986.0 	111797.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	101666.0 	49294.0 	97377.0 	89614.0 	35401.0 	-2433.0 	69449.0 	-62623.0 	39352.0 	56877.0 	48484.0 	120251.0 	48575.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,EE	: 	: 	: 	: 	: 	97.4 	281.0 	196.0 	241.6 	318.2 	679.9 	1144.6 	1741.2 	852.0 	961.0 	923.2 	-951.2 	996.0 	641.1 	846.9 	-521.1 	340.8 	543.2 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1207.0 	3230.0 	3833.0 	1973.0 	1743.0 	1292.0 	1287.0 	525.0 	-533.0 	2276.0 	1426.0 	-1551.0 	509.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,ES	3642.0 	5516.0 	13134.0 	19379.0 	42717.0 	64989.0 	37835.0 	34257.0 	29966.0 	49186.0 	35386.0 	84537.0 	105541.0 	52122.0 	11757.0 	28986.0 	32520.0 	-1930.0 	20755.0 	31603.0 	48306.0 	49934.0 	23583.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,FI	: 	: 	: 	: 	9270.6 	30760.7 	8626.4 	7760.5 	161.6 	2284.9 	8326.1 	1680.3 	11941.7 	20658.5 	-2369.7 	11217.4 	-2531.8 	6522.8 	-5519.8 	126.4 	-1176.0 	16800.0 	11123.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,FR	: 	: 	: 	: 	119069.0 	191817.0 	97385.0 	55941.0 	46270.0 	49081.0 	96610.0 	103883.0 	96648.0 	90888.0 	63604.0 	54824.0 	45030.0 	40336.0 	13287.0 	39822.0 	45887.0 	66350.0 	49794.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,HR	: 	: 	: 	: 	: 	382.0 	999.0 	4502.0 	910.0 	2240.0 	1341.0 	1494.0 	1861.0 	7235.0 	7110.0 	1744.0 	-732.0 	-666.0 	-854.0 	12186.0 	-332.0 	-1322.0 	4338.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,HU	: 	: 	: 	: 	74149.4 	168095.0 	140848.3 	255758.4 	848046.6 	315554.8 	619472.0 	3836610.0 	12280169.4 	12651323.0 	-819243.0 	-5170328.0 	2356966.0 	1727977.0 	-858455.2 	2193004.9 	-2353999.5 	19018124.1 	-4060434.9 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,IE	: 	: 	: 	: 	: 	: 	: 	23631.0 	33715.4 	53794.2 	75740.6 	33889.3 	43483.9 	38102.0 	38454.0 	11859.0 	7390.0 	24788.0 	37034.0 	69607.0 	170924.0 	85429.0 	-32666.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,IT	: 	: 	: 	: 	253.0 	7317.0 	17969.0 	12096.0 	1974.0 	11616.0 	42988.0 	46637.0 	86433.0 	44474.0 	14323.0 	23254.0 	37043.0 	5241.0 	15288.0 	15260.0 	14393.0 	13679.0 	11979.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	238.5 	404.4 	401.0 	662.8 	187.8 	190.4 	45.5 	93.9 	214.7 	322.4 	382.3 	164.3 	732.0 	474.2 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,LU	: 	: 	: 	: 	: 	: 	: 	134554.0 	89189.0 	67549.0 	99884.0 	93528.0 	192811.0 	92322.0 	164559.0 	157016.0 	270207.0 	359985.0 	361039.0 	153506.0 	775995.0 	154369.0 	-171542.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,LV	: 	: 	: 	: 	: 	7.0 	94.0 	-54.0 	75.0 	69.0 	183.0 	167.0 	564.0 	213.0 	-143.0 	57.0 	75.0 	127.0 	373.0 	409.0 	134.0 	199.0 	499.0 
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	4271.5 	8815.2 	11863.1 	10682.9 	10978.3 	-4378.8 	2511.2 	-3150.9 	-6431.1 	-6605.0 	-6546.5 	-6250.6 	-6048.1 	-6091.5 
