sitc06,partner,indic_et,geo\time	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
SITC3,WORLD,MIO_BAL_VAL,AT	-1.7 	-1.9 	-2.1 	-2.9 	-3.5 	-2.8 	-3.5 	-2.4 	-2.9 	-3.7 	-3.9 	-3.5 	-3.0 	-2.3 	-1.9 	-2.1 
SITC3,WORLD,MIO_BAL_VAL,BE	-2.4 	-2.1 	-2.7 	-4.3 	-4.5 	-3.6 	-5.3 	-3.2 	-3.7 	-4.6 	-5.0 	-4.5 	-3.8 	-2.7 	-2.2 	-2.5 
SITC3,WORLD,MIO_BAL_VAL,BG	0.5 	0.1 	0.9 	0.8 	2.3 	-7.3 	-8.0 	-5.0 	-5.7 	-6.3 	-6.9 	-6.2 	-5.6 	-3.8 	-2.4 	-4.2 
SITC3,WORLD,MIO_BAL_VAL,CY	-3.3 	-2.1 	-3.2 	-4.3 	-5.0 	-5.1 	-6.4 	-4.6 	-6.0 	-6.8 	-7.5 	-6.3 	-5.9 	-4.1 	-3.4 p	-4.2 p
SITC3,WORLD,MIO_BAL_VAL,CZ	-2.4 	-2.6 	-1.7 	-3.4 	-4.0 	-3.2 	-4.1 	-2.7 	-3.5 	-4.4 	-4.7 	-4.8 	-4.0 	-2.4 	-2.1 	-2.6 
SITC3,WORLD,MIO_BAL_VAL,DE	-1.6 	-1.7 	-1.7 	-2.4 	-2.8 	-2.4 	-3.4 	-2.5 	-2.9 	-3.5 	-3.6 	-3.4 	-2.8 	-2.0 	-1.5 	-1.8 
SITC3,WORLD,MIO_BAL_VAL,DK	0.8 	0.9 	1.1 	1.7 	2.0 	1.8 	1.6 	1.0 	0.9 	0.7 	0.8 	0.3 	0.0 	0.0 	0.0 	-0.1 
SITC3,WORLD,MIO_BAL_VAL,EE	-2.5 	-2.2 	-2.4 	-2.4 	-3.5 	-3.6 	-4.1 	-2.3 	-1.5 	-0.4 	-1.3 	-2.2 	-2.1 	-1.5 	-1.0 	-0.6 
SITC3,WORLD,MIO_BAL_VAL,EL	-2.2 	-2.4 	-2.3 	-3.3 	-3.5 	-2.9 	-3.8 	-2.2 	-3.0 	-3.6 p	-4.0 p	-3.7 p	-3.4 p	-2.1 p	-1.6 p	-1.8 p
SITC3,WORLD,MIO_BAL_VAL,ES	-2.0 	-1.8 	-2.0 	-2.7 	-3.2 	-3.0 	-3.6 	-2.3 	-2.9 	-3.7 	-3.8 	-3.4 	-2.9 	-2.0 	-1.5 p	-1.8 p
