unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_1Y,AT	2.0 	-3.3 	-4.5 	0.5 	-0.8 	-3.9 	-0.2 	0.4 	3.3 	0.7 	-1.4 	-0.9 	0.6 	0.3 	1.1 	-3.4 	0.5 	-1.8 	2.1 	1.7 	-2.3 	1.7 	0.9 
PCH_1Y,BE	2.9 	-3.1 	-5.2 	0.5 	-0.9 	-3.6 	0.8 	0.7 	4.4 	1.0 	-0.4 	0.0 	0.7 	2.8 	0.5 	-2.6 	0.6 	-2.3 	1.5 	0.2 	-3.3 	2.9 	1.5 
PCH_1Y,BG	13.6 	-21.0 	28.9 	17.7 	3.2 	2.3 	6.0 	3.4 	3.3 	4.1 	0.7 	4.1 	4.7 	8.7 	4.0 	-3.0 	1.0 	-2.1 	0.1 	-0.8 	-3.5 	-0.4 	0.6 
PCH_1Y,CY	-2.2 	-3.1 	-4.3 	7.5 	0.7 	-3.1 	-0.5 	2.1 	6.5 	0.7 	-0.3 	-0.3 	-0.7 	3.2 	1.0 	-4.1 	0.2 	-2.1 	1.1 	-0.8 	-6.5 	-0.2 	0.1 
PCH_1Y,CZ	3.1 	5.4 	0.2 	9.4 	-1.1 	1.7 	6.0 	10.7 	-2.1 	0.6 	5.0 	4.4 	2.6 	15.0 	-3.8 	1.3 	2.0 	-2.8 	-2.2 	-5.2 	-0.7 	2.5 	3.6 
PCH_1Y,DE	3.5 	-4.7 	-6.2 	0.5 	-1.5 	-6.8 	-0.2 	0.8 	5.1 	1.3 	-1.8 	-0.9 	1.3 	0.6 	1.1 	-5.3 	-0.6 	-3.3 	2.2 	0.8 	-4.9 	1.6 	0.9 
PCH_1Y,DK	3.6 	-1.6 	-3.8 	1.9 	0.1 	-4.7 	1.2 	2.0 	5.1 	0.4 	-1.4 	-0.6 	0.7 	2.2 	2.6 	-4.4 	-0.6 	-2.9 	1.0 	0.8 	-3.4 	1.0 	0.3 
PCH_1Y,EE	16.4 	6.9 	-0.1 	14.6 	5.3 	-4.2 	2.9 	2.1 	3.3 	1.6 	0.8 	1.1 	4.5 	6.6 	2.0 	-3.8 	1.1 	-0.9 	2.9 	2.8 	0.1 	1.5 	1.3 
PCH_1Y,EL	0.9 	2.5 	-1.3 	-1.6 	2.5 	-8.0 	0.3 	2.5 	6.1 	1.4 	-1.1 	0.0 	0.7 	1.6 	2.4 	-1.2 	0.6 	-4.4 	-0.6 	-0.6 	-4.5 	1.1 	0.6 
PCH_1Y,ES	1.6 	1.3 	-5.3 	0.9 	0.3 	-3.0 	1.3 	2.8 	5.6 	2.0 	0.1 	1.0 	1.6 	2.5 	0.4 	-3.2 	0.3 	-2.4 	1.9 	-0.5 	-4.5 	0.7 	1.3 
PCH_1Y,FI	6.4 	-5.9 	-5.2 	1.7 	0.3 	-5.2 	0.9 	1.7 	5.4 	-0.4 	-3.1 	-2.1 	0.2 	1.6 	3.2 	-5.8 	0.0 	-2.6 	2.9 	2.5 	-3.1 	1.2 	-0.6 
PCH_1Y,FR	2.3 	-0.9 	-5.1 	1.1 	-2.0 	-5.7 	0.2 	1.6 	5.8 	1.7 	-1.5 	-0.7 	0.6 	1.6 	0.4 	-4.2 	-0.6 	-3.2 	1.6 	0.3 	-4.7 	1.3 	0.5 
PCH_1Y,HR	4.5 	-2.7 	-1.0 	5.8 	-2.4 	-2.3 	3.1 	1.8 	1.1 	1.3 	0.3 	1.1 	0.4 	4.0 	1.4 	-3.4 	-2.7 	-2.5 	1.2 	0.4 	-1.4 	1.1 	0.3 
PCH_1Y,HU	-6.5 	0.0 	4.7 	1.2 	3.5 	1.0 	7.9 	9.7 	1.6 	5.9 	1.2 	-5.1 	10.9 	2.5 	-5.3 	1.6 	-0.5 	-1.9 	-1.4 	-3.6 	-2.3 	0.8 	1.7 
PCH_1Y,IE	0.0 	1.8 	0.8 	-3.0 	-1.6 	-3.2 	2.7 	5.0 	9.8 	2.7 	-0.6 	0.5 	3.1 	3.6 	-1.5 	-7.3 	-1.0 	-4.4 	1.6 	-0.8 	-7.1 	0.9 	0.1 
PCH_1Y,IT	-7.0 	10.1 	-1.1 	1.5 	-0.6 	-5.0 	0.6 	2.3 	6.7 	1.6 	-1.6 	-0.5 	0.9 	1.4 	1.3 	-4.6 	0.1 	-1.9 	1.9 	0.3 	-4.4 	0.8 	0.5 
PCH_1Y,LT	11.9 	14.9 	15.3 	14.9 	10.3 	7.5 	0.3 	2.6 	2.1 	-0.5 	-1.8 	-0.3 	3.0 	6.1 	6.8 	-5.4 	0.6 	-2.0 	0.9 	3.0 	0.4 	1.9 	0.0 
