unit,bop_item,stk_flow,partner,geo\time	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_WRL_5Y,G,CRE,WRL_REST,AT	: 	-7.32 	3.08 	8.53 	1.65 	4.68 	12.52 	1.24 	2.72 	-3.75 	-6.93 	-11.87 	-11.86 	-22.98 	-19.48 	-16.49 	-9.19 	-3.31 	2.35 
PCH_WRL_5Y,G,CRE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	-5.70 	-13.39 	-5.89 	-13.43 	-14.01 	-17.34 	-12.46 	-21.48 	-15.91 	-15.49 	-14.01 	-3.26 	5.59 
PCH_WRL_5Y,G,CRE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.25 	15.63 	23.20 	18.94 	9.82 	25.49 
PCH_WRL_5Y,G,CRE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-9.43 	-27.96 	-17.52 	-22.22 	-21.16 
PCH_WRL_5Y,G,CRE,WRL_REST,CZ	9.70 	-0.23 	20.86 	41.99 	36.58 	93.75 	123.54 	90.98 	85.56 	70.33 	33.44 	11.74 	7.84 	-5.37 	-8.19 	-4.55 	2.45 	7.91 	12.70 
PCH_WRL_5Y,G,CRE,WRL_REST,DE	-4.00 	-12.28 	-2.95 	3.26 	-0.46 	4.11 	8.91 	0.27 	2.89 	-5.17 	-6.71 	-7.92 	-9.12 	-18.34 	-13.14 	-9.44 	-1.16 	4.87 	8.60 
PCH_WRL_5Y,G,CRE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-13.74 	-12.57 	-17.43 	-16.37 	-17.27 	-5.98 	0.77 	6.23 
PCH_WRL_5Y,G,CRE,WRL_REST,EE	52.18 	-4.08 	6.46 	-6.42 	-7.56 	14.06 	85.30 	69.75 	82.09 	52.21 	24.94 	19.97 	38.99 	11.03 	16.88 	30.22 	9.97 	-1.43 	2.47 
PCH_WRL_5Y,G,CRE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	25.25 	15.85 	8.53 	2.92 	-0.03 	-7.02 	-6.40 	-5.46 	-9.28 	-6.93 	-5.75 
PCH_WRL_5Y,G,CRE,WRL_REST,ES	21.90 	2.73 	3.85 	3.74 	1.88 	1.02 	0.98 	-9.12 	-4.00 	-14.29 	-8.72 	-8.95 	-4.85 	-16.87 	-6.77 	-8.69 	0.98 	7.76 	13.59 
PCH_WRL_5Y,G,CRE,WRL_REST,FI	: 	-5.03 	-5.57 	-4.33 	-10.66 	-8.69 	-13.02 	-1.48 	4.61 	-3.36 	-11.20 	-18.42 	-32.02 	-41.28 	-36.86 	-30.86 	-27.62 	-19.17 	-8.40 
PCH_WRL_5Y,G,CRE,WRL_REST,FR	: 	: 	: 	: 	: 	-12.44 	-8.14 	-15.23 	-16.67 	-20.19 	-16.20 	-19.60 	-18.88 	-22.36 	-18.25 	-19.03 	-5.46 	1.06 	3.04 
PCH_WRL_5Y,G,CRE,WRL_REST,HR	: 	: 	: 	: 	: 	: 	46.38 	36.61 	23.94 	13.84 	2.79 	-1.49 	-9.12 	-20.00 	-14.63 	-10.54 	-2.53 	9.03 	23.73 
PCH_WRL_5Y,G,CRE,WRL_REST,HU	: 	68.97 	90.27 	73.11 	48.83 	55.68 	51.27 	37.30 	39.16 	33.83 	15.35 	3.85 	-4.43 	-24.32 	-25.32 	-18.80 	-8.67 	1.09 	12.11 
PCH_WRL_5Y,G,CRE,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	: 	-25.33 	-25.19 	-4.58 	-14.81 	-20.02 	-27.89 	-21.67 	-26.40 	49.34 	74.05 	73.45 
PCH_WRL_5Y,G,CRE,WRL_REST,IT	: 	-26.28 	-16.81 	-8.38 	-11.24 	-6.08 	-4.36 	-13.09 	-7.87 	-13.67 	-14.86 	-16.82 	-16.82 	-25.23 	-19.96 	-14.47 	-4.90 	2.12 	6.65 
PCH_WRL_5Y,G,CRE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43.39 	24.69 	37.20 	37.35 	20.16 	34.37 	15.32 	2.29 	5.08 
PCH_WRL_5Y,G,CRE,WRL_REST,LU	: 	-15.21 	2.35 	5.57 	-5.19 	0.26 	3.35 	-4.91 	-5.25 	-0.78 	-4.46 	-4.62 	-5.81 	-11.14 	-1.64 	1.58 	-3.19 	-5.04 	-6.33 
PCH_WRL_5Y,G,CRE,WRL_REST,LV	: 	: 	: 	: 	: 	: 	123.59 	94.49 	112.04 	96.47 	54.60 	27.55 	37.94 	20.46 	21.49 	27.80 	19.56 	13.67 	9.65 
PCH_WRL_5Y,G,CRE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-24.06 	-8.57 	-22.63 	-16.02 	-12.81 	-21.02 	-20.42 	-17.96 	-16.61 
PCH_WRL_5Y,G,CRE,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4.23 	-7.85 	-8.90 	-13.74 	-11.39 	-11.65 	-10.62 	-4.34 	-0.47 
PCH_WRL_5Y,G,CRE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.24 	23.93 	14.33 	1.51 	0.81 	4.01 	12.23 	21.42 	31.20 
PCH_WRL_5Y,G,CRE,WRL_REST,PT	: 	: 	-9.67 	-1.72 	-4.41 	-5.19 	-3.83 	-6.47 	-6.76 	-15.91 	-12.85 	-10.35 	-10.95 	-17.63 	-7.99 	-5.85 	2.01 	5.21 	11.73 
PCH_WRL_5Y,G,CRE,WRL_REST,RO	: 	: 	: 	: 	: 	-5.17 	94.27 	97.92 	131.22 	142.26 	122.92 	108.58 	108.01 	28.51 	23.67 	21.61 	15.56 	17.89 	31.40 
PCH_WRL_5Y,G,CRE,WRL_REST,SE	7.01 	-11.23 	-17.07 	-13.70 	-12.90 	-9.74 	-8.72 	-3.31 	-0.70 	-10.70 	-19.62 	-14.83 	-15.36 	-23.30 	-23.28 	-14.47 	-15.74 	-11.85 	-6.27 
PCH_WRL_5Y,G,CRE,WRL_REST,SI	-0.55 	-11.94 	1.24 	13.57 	8.13 	20.78 	31.81 	23.76 	26.89 	15.62 	10.14 	-1.93 	-6.84 	-23.07 	-17.38 	-11.80 	-0.68 	7.63 	22.68 
PCH_WRL_5Y,G,CRE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.69 	10.67 	2.27 	-7.89 	-1.58 	2.13 	7.02 	11.33 	8.86 
PCH_WRL_5Y,G,CRE,WRL_REST,UK	: 	: 	: 	-13.29 	-17.28 	-19.41 	-16.97 	-15.95 	-25.76 	-27.99 	-24.95 	-25.76 	-27.53 	-19.77 	-14.93 	-10.85 	-2.36 	-5.47 	-4.08 
PCH_WRL_5Y,GS,CRE,WRL_REST,AT	: 	-11.48 	-2.23 	6.28 	1.96 	3.85 	11.65 	1.25 	1.57 	-4.46 	-6.08 	-12.62 	-12.46 	-21.72 	-18.43 	-15.74 	-9.15 	-3.26 	2.34 
PCH_WRL_5Y,GS,CRE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	-5.66 	-13.89 	-6.74 	-10.98 	-9.02 	-11.41 	-7.63 	-15.55 	-13.06 	-13.40 	-11.88 	-2.34 	3.87 
PCH_WRL_5Y,GS,CRE,WRL_REST,BG	: 	: 	: 	: 	29.00 	51.55 	41.03 	43.28 	45.67 	35.58 	19.15 	8.06 	11.28 	-1.01 	-0.16 	5.60 	11.80 	8.24 	19.35 
PCH_WRL_5Y,GS,CRE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	-24.85 e	-18.66 e	-25.32 e	-9.11 e	-15.78 e	-11.42 e	-21.67 e	-15.26 	-24.14 	-12.24 	-2.05 	6.94 
PCH_WRL_5Y,GS,CRE,WRL_REST,CZ	11.05 	-1.47 	13.10 	30.05 	22.31 	54.75 	75.09 	57.72 	58.40 	53.06 	27.16 	11.70 	7.43 	-4.48 	-9.79 	-6.23 	-2.17 	2.50 	8.17 
PCH_WRL_5Y,GS,CRE,WRL_REST,DE	-2.92 	-11.56 	-2.98 	3.48 	0.11 	5.01 	9.48 	2.01 	2.10 	-4.52 	-6.69 	-7.77 	-9.09 	-16.63 	-12.42 	-8.90 	-2.63 	2.63 	6.50 
PCH_WRL_5Y,GS,CRE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	-5.95 	-4.08 	-1.12 	-10.63 	-13.75 	-17.73 	-17.82 	-15.88 	-8.50 	-2.85 	0.50 
PCH_WRL_5Y,GS,CRE,WRL_REST,EE	76.58 	14.23 	16.96 	1.17 	-1.68 	15.17 	60.55 	44.20 	53.94 	36.98 	16.31 	9.36 	24.29 	6.76 	9.68 	20.51 	7.40 	0.00 	2.58 
PCH_WRL_5Y,GS,CRE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	-3.88 e	9.31 	4.83 	-10.34 	-14.27 	-15.84 	-25.28 	-25.70 	-18.49 	-21.01 	-19.14 	-10.03 
PCH_WRL_5Y,GS,CRE,WRL_REST,ES	21.92 	3.85 	6.48 	6.76 	4.11 	0.73 	2.22 	-7.60 	-4.84 	-14.29 	-8.97 	-11.66 	-8.56 	-18.24 	-11.22 	-12.28 	-4.04 	2.69 	9.79 
PCH_WRL_5Y,GS,CRE,WRL_REST,FI	: 	-6.50 	-3.02 	0.56 	-6.97 	-2.17 	-6.29 	-7.97 	-4.61 	-4.39 	-13.31 	-19.65 	-23.46 	-31.68 	-31.44 	-26.38 	-21.44 	-13.81 	-4.30 
PCH_WRL_5Y,GS,CRE,WRL_REST,FR	: 	: 	: 	: 	: 	-13.14 	-6.85 	-14.29 	-16.57 	-18.47 	-13.62 	-17.18 	-15.41 	-18.30 	-14.24 	-14.52 	-3.68 	1.28 	2.69 
PCH_WRL_5Y,GS,CRE,WRL_REST,HR	: 	: 	: 	: 	: 	: 	42.64 	18.81 	12.87 	-5.73 	-5.18 	-13.15 	-16.04 	-24.08 	-23.32 	-20.26 	-6.14 	7.80 	19.95 
PCH_WRL_5Y,GS,CRE,WRL_REST,HU	: 	43.95 	59.22 	51.64 	39.34 	44.08 	39.64 	24.39 	28.70 	25.29 	12.87 	3.35 	-2.38 	-21.33 	-22.80 	-16.68 	-9.23 	-0.24 	11.27 
PCH_WRL_5Y,GS,CRE,WRL_REST,IE	: 	44.08 	59.02 	65.06 	28.05 	13.94 	8.80 	-9.62 	-11.97 	-16.72 	1.85 	-6.27 	-10.26 	-16.27 	-10.59 	-14.63 	37.83 	58.70 	64.43 
PCH_WRL_5Y,GS,CRE,WRL_REST,IT	: 	-26.12 	-16.90 	-10.32 	-12.38 	-6.82 	-4.99 	-12.64 	-8.86 	-15.90 	-17.88 	-19.01 	-19.28 	-25.64 	-20.20 	-15.28 	-9.30 	-3.15 	1.98 
PCH_WRL_5Y,GS,CRE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	48.19 e	30.53 e	43.05 e	30.83 	18.98 	29.55 	32.29 	19.28 	33.65 	14.89 	5.14 	9.73 
PCH_WRL_5Y,GS,CRE,WRL_REST,LU	: 	14.22 	18.70 	20.36 	14.39 	13.31 	13.80 	17.16 	25.55 	15.73 	11.85 	3.23 	-3.79 	-10.17 	7.40 	14.90 	28.72 	31.51 	25.16 
PCH_WRL_5Y,GS,CRE,WRL_REST,LV	: 	: 	: 	: 	: 	: 	89.86 	73.64 	95.57 	76.76 	52.57 	21.65 	26.58 	7.91 	5.87 	10.98 	12.48 	9.36 	7.77 
PCH_WRL_5Y,GS,CRE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.93 	45.77 	37.83 	17.67 	12.18 	-0.64 	-12.47 	-2.31 	9.97 	11.20 
PCH_WRL_5Y,GS,CRE,WRL_REST,NL	: 	-9.97 	-4.60 	-2.58 	-3.90 	-2.96 	0.36 	-5.18 	-2.48 	-6.08 	-5.39 	-8.15 	-8.32 	-12.82 	-11.36 	-11.34 	-6.75 	-2.89 	1.23 
PCH_WRL_5Y,GS,CRE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	50.16 e	55.69 e	51.37 e	34.41 	24.68 	15.17 	1.39 	-0.27 	4.69 	9.17 	17.81 	28.44 
PCH_WRL_5Y,GS,CRE,WRL_REST,PT	: 	: 	-7.78 	-0.19 	-4.79 	-4.06 	-3.52 	-4.43 	-3.26 	-11.14 	-8.10 	-6.93 	-8.61 	-16.64 	-7.47 	-6.13 	1.65 	5.54 	14.62 
PCH_WRL_5Y,GS,CRE,WRL_REST,RO	: 	: 	: 	: 	: 	27.63 	84.58 	73.86 	84.17 	91.92 	69.37 	53.31 	49.98 	12.30 	13.74 	20.14 	20.48 	23.29 	37.02 
PCH_WRL_5Y,GS,CRE,WRL_REST,SE	8.33 	-7.64 	-11.93 	-8.77 	-8.85 	-6.48 	-5.18 	-1.41 	1.35 	-6.84 	-15.89 	-12.77 	-12.17 	-19.51 	-17.20 	-9.62 	-9.33 	-7.42 	-4.29 
PCH_WRL_5Y,GS,CRE,WRL_REST,SI	-6.80 	-16.94 	-5.77 	7.14 	5.41 	18.27 	29.66 	21.43 	23.63 	16.33 	9.58 	-1.65 	-5.84 	-20.98 	-18.37 	-12.91 	-4.36 	3.99 	18.64 
PCH_WRL_5Y,GS,CRE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	67.57 e	31.89 e	9.50 	3.83 	-2.74 	-10.30 	-4.10 	1.89 	4.16 	8.07 	6.67 
PCH_WRL_5Y,GS,CRE,WRL_REST,UK	: 	: 	: 	-7.23 	-9.48 	-11.16 	-7.33 	-7.82 	-14.71 	-22.48 	-19.55 	-23.64 	-25.70 	-20.97 	-11.95 	-9.62 	2.00 	1.03 	-0.96 
PCH_WRL_5Y,S,CRE,WRL_REST,AT	: 	-20.91 	-14.79 	-0.62 	3.15 	1.72 	8.41 	2.19 	-1.51 	-6.11 	-6.84 	-15.68 	-14.57 	-17.45 	-16.28 	-12.93 	-12.23 	-8.37 	-2.63 
PCH_WRL_5Y,S,CRE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	-5.65 	-15.64 	-9.79 	-1.93 	6.54 	10.19 	11.13 	7.48 	-4.51 	-6.93 	-9.97 	-4.57 	-4.89 
