unit,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_WRL,G,CRE,WRL_REST,AT	1.06 	1.03 	1.03 	1.12 	1.11 	0.98 	1.06 	1.12 	1.14 	1.16 	1.11 	1.08 	1.15 	1.10 	1.08 	0.97 	0.95 	0.88 	0.89 	0.90 	0.88 	0.92 	0.90 
PC_WRL,G,CRE,WRL_REST,BE	: 	: 	: 	: 	: 	2.34 	2.38 	2.24 	2.32 	2.30 	2.21 	2.06 	2.11 	2.01 	1.97 	1.82 	1.81 	1.66 	1.69 	1.67 	1.57 	1.75 	1.75 
PC_WRL,G,CRE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.12 	0.13 	0.12 	0.13 	0.15 	0.14 	0.15 	0.15 	0.15 	0.16 	0.17 
PC_WRL,G,CRE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.02 	0.03 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 
PC_WRL,G,CRE,WRL_REST,CZ	0.31 	0.31 	0.30 	0.35 	0.32 	0.31 	0.37 	0.42 	0.47 	0.62 	0.69 	0.71 	0.78 	0.80 	0.82 	0.77 	0.77 	0.74 	0.74 	0.79 	0.79 	0.83 	0.83 
PC_WRL,G,CRE,WRL_REST,DE	9.29 	9.04 	8.75 	9.43 	9.04 	8.15 	8.78 	9.04 	9.39 	9.41 	8.87 	8.80 	9.30 	8.91 	8.78 	8.17 	8.00 	7.59 	7.74 	7.95 	8.08 	8.39 	8.25 
PC_WRL,G,CRE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.79 	0.75 	0.74 	0.75 	0.77 	0.68 	0.66 	0.61 	0.63 	0.64 	0.64 	0.66 	0.65 
PC_WRL,G,CRE,WRL_REST,EE	0.03 	0.03 	0.04 	0.05 	0.04 	0.03 	0.03 	0.04 	0.04 	0.05 	0.06 	0.06 	0.07 	0.07 	0.06 	0.07 	0.08 	0.08 	0.08 	0.08 	0.07 	0.08 	0.08 
PC_WRL,G,CRE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	0.17 	0.18 	0.19 	0.18 	0.19 	0.21 	0.21 	0.20 	0.19 	0.19 	0.19 	0.19 	0.19 	0.17 	0.17 	0.18 
PC_WRL,G,CRE,WRL_REST,ES	1.80 	1.87 	1.92 	2.07 	2.03 	1.85 	1.94 	1.99 	2.11 	2.05 	1.86 	1.76 	1.91 	1.81 	1.87 	1.70 	1.68 	1.59 	1.69 	1.71 	1.71 	1.81 	1.80 
PC_WRL,G,CRE,WRL_REST,FI	0.75 	0.73 	0.72 	0.78 	0.72 	0.71 	0.69 	0.69 	0.69 	0.66 	0.62 	0.68 	0.72 	0.67 	0.59 	0.50 	0.46 	0.42 	0.42 	0.41 	0.36 	0.37 	0.39 
PC_WRL,G,CRE,WRL_REST,FR	: 	: 	: 	: 	5.25 	4.62 	4.77 	4.78 	4.81 	4.60 	4.24 	4.04 	3.98 	3.84 	3.85 	3.41 	3.28 	3.09 	3.14 	3.12 	3.22 	3.31 	3.19 
PC_WRL,G,CRE,WRL_REST,HR	: 	: 	: 	: 	: 	0.05 	0.05 	0.06 	0.07 	0.07 	0.07 	0.07 	0.08 	0.07 	0.08 	0.07 	0.07 	0.06 	0.06 	0.07 	0.07 	0.07 	0.08 
