unit,co_nco,sector,finpos,na_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,NCO,S12,LIAB,F,AT	271.3 	282.8 	291.7 	309.5 	337.8 	354.6 	360.0 	352.1 	370.0 	393.2 	459.5 	478.1 	500.3 	536.4 	536.0 	511.9 	495.6 	484.3 	461.1 	444.7 	429.8 	404.3 	396.5 
PC_GDP,NCO,S12,LIAB,F,BE	363.2 	390.1 	404.6 	451.0 	466.3 	451.4 	471.2 	448.6 	484.9 	519.6 	579.5 	614.9 	666.9 	620.7 	632.1 	593.9 	602.9 	559.8 	557.8 	565.0 	565.8 	562.3 	547.2 
PC_GDP,NCO,S12,LIAB,F,BG	131.1 	218.2 	81.2 	61.7 	77.2 	88.3 	85.4 	83.9 	95.2 	115.6 	136.0 	181.2 	196.5 	170.0 	171.6 	158.4 	154.7 	167.8 	175.3 	181.0 	181.8 	190.2 	179.1 
PC_GDP,NCO,S12,LIAB,F,CY	273.0 	307.6 	314.4 	330.0 	471.5 	376.7 	377.6 	372.3 	384.7 	428.7 	537.6 	644.8 	749.2 	1488.5 	1691.8 	1774.7 	1629.9 	1755.4 	1598.0 	1586.2 	1748.0 	1708.7 	1577.5 
PC_GDP,NCO,S12,LIAB,F,CZ	149.5 	143.2 	157.1 	153.0 	155.0 	151.9 	141.8 	148.0 	147.4 	143.0 	148.9 	143.2 	151.3 	153.0 	160.6 	164.4 	168.4 	176.1 	194.3 	194.1 	196.9 	220.7 	256.4 
PC_GDP,NCO,S12,LIAB,F,DE	294.2 	319.5 	353.2 	388.2 	424.1 	446.4 	456.9 	455.3 	467.4 	475.0 	498.4 	502.2 	517.5 	531.0 	517.8 	488.6 	479.8 	485.7 	444.5 	447.1 	443.5 	449.6 	450.8 
PC_GDP,NCO,S12,LIAB,F,DK	343.4 	368.6 	417.2 	465.9 	493.6 	506.7 	496.5 	482.6 	510.7 	525.2 	625.9 	660.4 	704.0 	679.2 	750.5 	783.0 	780.2 	779.7 	779.4 	814.7 	787.3 	806.5 	806.5 
PC_GDP,NCO,S12,LIAB,F,EE	59.0 	74.8 	109.9 	94.3 	108.1 	133.5 	133.6 	149.0 	150.9 	181.9 	193.5 	185.4 	197.0 	202.0 	217.4 	190.3 	167.8 	172.3 	180.2 	192.5 	203.1 	206.8 	208.2 
PC_GDP,NCO,S12,LIAB,F,EL	139.7 	140.6 	141.1 	150.9 	204.2 	189.9 	178.0 	165.9 	165.8 	166.2 	189.1 	197.7 	226.2 	227.1 	254.7 	290.3 	305.3 	322.5 	281.3 	261.2 	305.3 	257.7 	220.0 
PC_GDP,NCO,S12,LIAB,F,ES	212.3 	222.6 	239.6 	250.9 	262.2 	260.7 	259.1 	255.1 	278.0 	301.4 	349.5 	387.3 	421.8 	424.1 	455.6 	446.6 	464.5 	491.9 	444.2 	437.4 	414.6 	403.7 	402.6 
