na_item,co_nco,sector,finpos,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,CO,S12,LIAB,PC_GDP,AT	193.7 	202.4 	208.1 	212.5 	231.7 	247.6 	250.0 	244.2 	253.8 	267.5 	320.0 	339.9 	348.8 	343.3 	349.0 	342.6 	331.3 	329.2 	318.6 	313.0 	304.1 	287.3 	280.8 
F,CO,S12,LIAB,PC_GDP,BE	317.8 	329.8 	343.4 	359.6 	370.9 	367.9 	386.3 	374.7 	399.8 	423.5 	477.6 	503.2 	541.3 	503.7 	510.6 	486.8 	489.9 	450.9 	455.6 	465.8 	464.0 	455.4 	439.2 
F,CO,S12,LIAB,PC_GDP,BG	109.7 	186.0 	70.5 	55.3 	69.9 	80.4 	77.6 	75.3 	84.4 	101.6 	116.7 	155.5 	173.2 	148.9 	150.1 	133.4 	129.2 	141.6 	149.3 	154.9 	149.9 	158.9 	148.7 
F,CO,S12,LIAB,PC_GDP,CY	252.6 	281.0 	285.8 	301.6 	394.5 	322.5 	330.3 	323.4 	331.3 	344.3 	434.5 	514.1 	579.7 	1345.0 	1470.1 	1543.7 	1386.9 	1616.4 	1465.4 	1450.6 	1597.9 	1589.7 	1468.8 
F,CO,S12,LIAB,PC_GDP,CZ	103.6 	101.1 	109.1 	105.5 	109.7 	110.5 	108.3 	108.7 	113.2 	112.2 	117.4 	115.5 	122.1 	124.9 	129.7 	133.8 	135.6 	144.5 	153.7 	156.5 	156.8 	170.0 	186.9 
F,CO,S12,LIAB,PC_GDP,DE	244.5 	264.7 	294.6 	325.4 	359.2 	379.5 	390.2 	388.3 	400.9 	408.3 	432.0 	436.5 	447.5 	454.8 	451.5 	429.4 	420.4 	427.4 	393.0 	400.8 	396.2 	398.6 	394.8 
F,CO,S12,LIAB,PC_GDP,DK	266.6 	285.5 	325.8 	364.2 	390.5 	400.3 	367.8 	349.8 	362.2 	359.1 	447.2 	467.8 	487.2 	458.7 	512.1 	537.6 	525.5 	516.5 	518.9 	549.0 	539.1 	549.8 	546.8 
F,CO,S12,LIAB,PC_GDP,EE	48.9 	61.9 	87.2 	70.8 	80.0 	100.1 	98.1 	107.9 	107.0 	136.1 	155.0 	153.9 	166.0 	170.1 	185.1 	173.4 	151.6 	149.6 	156.2 	161.1 	167.3 	167.7 	167.0 
F,CO,S12,LIAB,PC_GDP,EL	111.3 	115.8 	120.9 	127.9 	173.5 	161.4 	154.8 	143.4 	140.8 	146.7 	171.3 	178.8 	200.7 	192.1 	214.8 	226.6 	226.3 	243.0 	221.5 	212.7 	205.1 	203.6 	184.3 
F,CO,S12,LIAB,PC_GDP,ES	148.9 	160.1 	173.9 	186.0 	198.4 	203.7 	201.5 	198.9 	213.6 	226.0 	253.2 	279.5 	286.5 	270.9 	292.1 	283.3 	287.8 	290.6 	286.2 	295.7 	288.3 	286.0 	285.7 
F,CO,S12,LIAB,PC_GDP,FI	117.6 	116.7 	121.2 	115.9 	123.9 	128.3 	134.8 	135.8 	154.5 	169.4 	184.9 	195.3 	199.4 	231.2 	267.8 	305.3 	366.2 	348.7 	314.4 	341.1 	329.3 	316.5 	267.7 
F,CO,S12,LIAB,PC_GDP,FR	200.1 	205.8 	221.5 	223.7 	248.5 	250.2 	252.2 	248.7 	261.3 	276.2 	314.4 	348.0 	363.3 	354.4 	371.2 	381.7 	374.3 	375.5 	378.7 	399.8 	401.5 	415.1 	415.2 
F,CO,S12,LIAB,PC_GDP,HR	: 	: 	: 	: 	: 	: 	104.5 	118.4 	128.4 	136.6 	143.5 	166.8 	187.3 	159.6 	175.4 	183.6 	184.5 	188.6 	194.0 	195.7 	194.9 	194.8 	193.6 
F,CO,S12,LIAB,PC_GDP,HU	131.8 	116.5 	108.3 	105.6 	124.8 	149.0 	166.9 	149.4 	151.0 	144.6 	184.2 	203.1 	239.3 	289.6 	295.6 	285.9 	294.6 	270.1 	246.6 	247.7 	238.4 	290.0 	245.3 
F,CO,S12,LIAB,PC_GDP,IE	: 	: 	: 	: 	: 	: 	849.7 	840.1 	953.2 	1057.2 	1314.5 	1452.4 	1496.7 	1660.6 	1904.3 	2066.1 	2014.8 	1932.5 	1914.4 	2094.7 	1687.9 	1659.1 	1611.3 
F,CO,S12,LIAB,PC_GDP,IT	134.2 	137.1 	153.5 	175.5 	189.5 	201.8 	185.3 	179.1 	194.8 	201.4 	219.0 	229.2 	221.8 	204.1 	221.6 	227.1 	227.2 	244.0 	240.8 	245.3 	247.0 	249.1 	256.0 
F,CO,S12,LIAB,PC_GDP,LT	36.6 	31.5 	33.2 	36.4 	38.0 	40.9 	45.5 	49.6 	57.3 	66.2 	83.4 	100.6 	112.6 	105.1 	122.8 	116.8 	104.6 	98.3 	93.3 	96.9 	104.6 	119.1 	120.6 
F,CO,S12,LIAB,PC_GDP,LU	: 	: 	: 	: 	6993.1 	7377.2 	7994.5 	8032.1 	8652.5 	9187.7 	11043.4 	11444.8 	11911.5 	10358.8 	11784.2 	12326.4 	12804.3 	14849.3 	15453.1 	17704.4 	19892.7 	20401.1 	19247.4 
F,CO,S12,LIAB,PC_GDP,LV	40.4 	49.8 	58.9 	54.3 	59.6 	74.4 	79.8 	87.1 	95.5 	113.7 	128.5 	148.3 	156.6 	158.5 	186.9 	191.7 	164.3 	159.5 	153.5 	172.1 	179.6 	187.1 	178.3 
