unit,geo\time	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
INX_Q,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83.31 	85.43 	87.24 	87.26 	86.64 	87.73 	89.36 	89.89 	91.26 	91.81 	94.14 	93.38 	94.15 	95.18 	97.92 	94.47 	96.55 	97.30 	96.50 	96.91 	94.46 	99.80 	103.92 	101.82 	105.44 	107.38 	108.04 	107.43 	108.73 	111.03 	111.42 	112.15 	112.56 	112.88 
INX_Q,BE	83.96 	85.02 	87.11 	88.63 	89.71 	91.09 	92.87 	93.26 	94.60 	95.82 	97.32 	96.72 	96.70 	96.80 	97.66 	97.85 	96.90 	96.07 	98.42 	97.39 	97.60 	97.77 	99.32 	99.38 	98.92 	98.89 	100.42 	99.84 	99.63 	99.51 	100.43 	99.31 	99.84 	99.80 	100.83 	99.73 	97.39 	98.17 	99.56 	100.39 	97.99 p	99.56 p	101.65 p	100.79 p	99.77 p	100.15 p	102.57 p	102.01 p	101.76 	101.13 	104.32 	103.30 	102.84 	103.23 p
INX_Q,BG	102.71 p	100.84 p	102.96 p	106.12 p	113.89 p	111.13 p	113.78 p	124.63 p	128.42 p	133.22 p	137.04 p	149.89 p	163.09 p	158.89 p	164.79 p	158.29 p	141.68 p	125.18 p	122.41 p	119.89 p	114.38 	112.84 	111.87 	108.15 	104.54 	100.43 	102.83 	100.41 	95.83 	97.02 	98.17 	95.48 	95.05 	96.77 	101.51 	94.99 	98.83 	100.80 	97.89 	96.77 	97.58 	98.82 	102.49 	101.12 	103.17 	107.75 	107.94 	109.75 	112.77 	114.11 	114.19 	114.71 	115.56 p	119.26 p
INX_Q,CY	113.46 	113.37 	116.05 	116.71 	120.19 	121.47 	125.97 	128.51 	131.64 	131.79 	136.27 	134.63 	139.60 	136.52 	133.45 	129.49 	130.17 	126.70 	125.82 	119.58 	118.85 p	115.52 p	114.88 p	113.37 p	112.99 p	112.93 p	111.40 p	105.45 p	104.90 p	102.50 p	107.21 p	104.73 p	101.76 p	101.49 p	101.09 p	98.77 p	97.85 p	100.99 p	100.26 p	100.03 p	97.58 b	99.66 	103.49 	99.27 	99.44 	100.76 	102.97 	103.62 	100.41 p	102.50 p	103.46 p	105.73 p	104.45 p	103.22 p
INX_Q,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	104.52 	108.47 	109.14 	109.20 	105.60 	102.44 	101.91 	101.38 	101.17 	100.85 	100.11 	100.11 	99.79 	99.58 	98.65 	97.42 	95.62 	95.53 	95.13 	94.93 	94.35 	94.76 	94.57 	94.37 	95.38 	95.99 	96.41 	97.30 	98.60 	99.10 	100.50 	101.80 p	103.21 	104.79 	106.85 	111.46 p	113.81 	116.20 	117.44 	117.82 p	119.50 	121.67 p
INX_Q,DE	95.49 	93.37 	94.75 	92.06 	92.99 	93.01 	91.67 	92.45 	88.42 	89.81 	89.40 	88.91 	89.83 	89.57 	87.48 	88.36 	88.94 	89.96 	89.74 	91.05 	89.08 	89.52 	89.33 	88.61 	90.17 	90.57 	90.24 	90.49 	90.64 	91.50 	92.65 	93.69 	93.09 	94.54 	94.25 	94.25 	94.68 	96.21 	96.61 	96.81 	98.42 	99.63 	100.23 	101.73 	102.53 	104.80 	106.18 	107.54 	105.82 	107.56 	109.22 	110.73 	110.11 p	110.92 p
INX_Q,DK	90.19 	94.49 	102.10 	107.03 	114.52 	120.38 	122.03 	121.05 	120.98 	121.20 	121.81 	118.58 	115.74 	115.33 	111.26 	102.58 	95.97 	96.80 	97.03 	96.78 	95.83 	97.54 	97.69 	96.78 	93.76 	95.97 	93.19 	89.69 	88.04 	88.77 	88.77 	88.54 	89.37 	92.37 	92.23 	90.95 	91.68 	95.17 	94.97 	94.59 	97.93 	100.19 	100.83 	101.04 	102.89 	104.85 	106.15 	104.87 	106.33 	108.68 	109.36 	107.85 	111.99 	112.87 p
INX_Q,EE	74.73 	83.20 	87.45 	98.76 	108.04 	117.32 	123.66 	135.87 	135.87 	142.15 	135.79 	130.52 	124.06 	117.23 	114.24 	98.77 	79.56 	73.70 	66.73 	65.74 	72.73 	72.90 	74.54 	71.52 	73.50 	74.58 	75.34 	75.92 	74.83 	77.21 	80.10 	76.90 	78.39 	81.20 	85.03 	87.43 	91.01 	91.62 	95.49 	95.86 	98.91 	101.00 	99.63 	100.46 	100.32 	102.86 	105.61 	106.51 	104.63 	103.85 	106.42 	107.78 	108.14 	108.21 
INX_Q,ES	: 	: 	: 	147.41 	147.44 	152.01 	157.15 	164.21 	161.96 	164.93 	166.71 	166.25 	160.65 	157.85 	155.83 	153.81 	147.46 	148.23 	147.68 	148.53 	142.31 	144.01 	141.19 	142.53 	133.15 	131.42 	127.12 	122.28 	112.07 	108.33 	104.07 	103.44 	95.77 	95.48 	96.70 	96.94 	94.05 	95.80 	96.78 	98.74 	95.98 	99.65 	101.32 	103.04 	102.62 	104.11 	105.39 	106.51 	105.64 	108.21 	110.97 	112.69 	111.37 	113.78 
INX_Q,FI	90.22 p	92.14 p	93.53 p	95.59 p	96.37 p	97.73 p	98.42 p	99.68 p	101.17 p	102.08 p	102.51 p	101.76 p	101.83 p	101.32 p	99.34 p	95.13 p	97.04 	97.91 	99.61 	101.46 	103.17 	103.50 	104.67 	103.73 	103.39 	104.56 	104.08 	102.83 	103.46 	103.48 	103.07 	103.03 	102.62 	102.32 	102.07 	101.04 	100.57 	100.77 	100.23 	99.42 	100.01 	100.06 	100.22 	99.70 	99.60 	100.28 	99.88 	99.21 	100.25 	100.87 	100.25 	99.47 	99.43 	100.51 
