s_adj,bop_item,sector10,sectpart,stk_flow,partner,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT	: 	: 	: 	: 	-34090.0 	-34597.0 	-46010.0 	-46594.0 	-29563.0 	-31621.0 	-39287.0 	-34494.0 	-27606.0 	-29364.0 	-14497.0 	-15288.0 	-5936.0 	-10154.0 	4189.0 	11285.0 	7610.0 	13033.0 	13792.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	119694.2 	112221.9 	115871.3 	183527.0 	200552.0 	238021.0 	230869.0 	200554.0 	203800.0 	180562.0 	188511.0 	242154.0 	230059.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,BG	: 	: 	: 	: 	-9448.7 	-9190.8 	-8212.2 	-8405.5 	-9421.3 	-12008.0 	-20084.9 	-30045.1 	-48861.2 	-68316.5 	-70984.7 	-68751.4 	-66836.9 	-63898.6 	-60244.7 	-60544.8 	-55822.8 	-46281.6 	-42245.7 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-15041.0 	-18734.0 	-21456.0 	-25627.0 	-25156.0 	-25167.0 	-25885.0 	-25734.0 	-22746.0 	-23785.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,CZ	58902.0 	-68930.0 	-106837.0 	-117477.0 	-110938.0 	-191869.0 	-244068.0 	-397255.0 	-527484.0 	-734057.0 	-753809.0 	-988554.0 	-1398170.0 	-1533853.0 	-1725525.0 	-1822768.0 	-1822751.0 	-1864093.0 	-1695149.0 	-1577079.0 	-1512936.0 	-1283097.0 	-1337009.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,DE	: 	: 	: 	: 	63732.0 	33991.0 	142219.0 	-72.0 	16698.0 	101988.0 	305745.0 	471717.0 	470902.0 	464769.0 	614308.0 	661713.0 	627095.0 	787230.0 	974739.0 	1193744.0 	1413830.0 	1602511.0 	1771400.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59957.0 	-4833.0 	-100406.0 	-91925.0 	14648.0 	232256.0 	512523.0 	684239.0 	718686.0 	858461.0 	699441.0 	1141467.0 	1209946.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,EE	: 	-501.6 	-1568.6 	-1843.7 	-2768.9 	-2966.4 	-3368.6 	-4167.8 	-5738.4 	-8381.3 	-9533.3 	-9911.3 	-11579.2 	-12457.0 	-11326.0 	-10479.0 	-9127.0 	-9170.1 	-9478.7 	-9425.5 	-8300.3 	-8430.4 	-7416.9 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,EL	: 	: 	: 	: 	: 	: 	: 	: 	-106621.0 	-129680.0 	-150675.0 	-180033.0 	-218018.0 	-183322.0 	-207792.0 	-223693.0 	-183862.0 	-221569.0 	-235606.0 	-235734.0 	-240013.0 	-243271.0 	-253231.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,ES	-98646.0 	-117725.0 	-144208.0 	-199650.0 	-206400.0 	-224816.0 	-267087.0 	-334660.0 	-387288.0 	-479388.0 	-548344.0 	-684030.0 	-859883.0 	-895684.0 	-1009225.0 	-957338.0 	-984142.0 	-934535.0 	-976711.0 	-1016562.0 	-967287.0 	-954546.0 	-977698.0 
