currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,AT	: 	: 	: 	: 	93593.0 	123959.0 	127605.0 	145403.0 	163923.0 	194213.0 	240933.0 	268001.0 	275524.0 	231676.0 	250217.0 	266299.0 	247332.0 	253337.0 	257213.0 	279489.0 	281260.0 	292452.0 	302222.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	470157.0 	490857.0 	568810.0 	528512.0 	533968.0 	541533.0 	509325.0 	512242.0 	519599.0 	603061.0 	615289.0 	658965.0 	692156.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5096.0 	5243.6 	8690.3 	9799.0 	10951.5 	9877.1 	12281.7 	14445.6 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40526.0 	51968.0 	43633.0 	32232.0 	25522.0 	14034.0 	12078.0 	12113.0 	14805.0 	17467.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ	20077.0 	37511.0 	35739.0 	35872.0 	104345.0 	180431.0 	185139.0 	274345.0 	343969.0 	372238.0 	467808.0 	532163.0 	618625.0 	505137.0 	456390.0 	453391.0 	451016.0 	490768.0 	523351.0 	637082.0 	711877.0 	753439.0 	777522.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE	: 	: 	: 	: 	889205.0 	1070336.0 	1107199.0 	1029489.0 	1094076.0 	1230802.0 	1540998.0 	1720860.0 	1783037.0 	1544271.0 	1740848.0 	1912652.0 	1839671.0 	2091965.0 	2235963.0 	2533351.0 	2668887.0 	2824008.0 	2934170.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1244150.0 	1426024.0 	1528778.0 	1233965.0 	1488202.0 	1821489.0 	1787727.0 	2085602.0 	2205280.0 	2643456.0 	2715117.0 	2935646.0 	3100056.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1637.7 	2494.6 	3641.7 	4359.1 	2702.0 	3475.0 	3989.0 	4181.0 	4679.0 	5468.5 	6121.9 	6658.8 	9241.5 	12127.3 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,EL	: 	: 	: 	: 	: 	: 	: 	: 	27284.0 	38261.0 	58905.0 	66781.0 	86437.0 	87805.0 	89654.0 	71350.0 	63431.0 	111689.0 	107937.0 	116563.0 	117510.0 	124201.0 	103844.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,ES	: 	: 	: 	: 	127387.0 	193682.0 	232647.0 	257293.0 	338245.0 	384274.0 	499874.0 	517430.0 	514882.0 	427750.0 	445431.0 	377182.0 	323105.0 	: c	347534.0 	411378.0 	488645.0 	522327.0 	612327.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,FI	: 	: 	: 	: 	33466.9 	54945.6 	63435.8 	72487.3 	84698.4 	107440.1 	130828.9 	162443.3 	173915.8 	130908.2 	176533.5 	214755.3 	210527.9 	239938.2 	251641.3 	285684.9 	306318.0 	320113.0 	319016.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,FR	: 	: 	: 	: 	587500.0 	713320.0 	826610.0 	888603.0 	1084371.0 	1285309.0 	1587912.0 	1850975.0 	2014128.0 	1872060.0 	2070773.0 	2100119.0 	1865591.0 	1990940.0 	2083202.0 	2267382.0 	2341769.0 	2400545.0 	2441649.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,HR	: 	: 	: 	: 	: 	704.9 	1851.0 	6508.0 	5621.0 	11553.0 	16496.0 	17754.0 	23081.0 	19186.0 	23156.0 	26201.0 	21128.0 	23913.0 	25063.0 	28538.0 	29745.0 	27549.0 	28290.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,HU	: 	: 	: 	: 	92789.8 	190004.5 	227213.1 	209708.2 	217215.4 	305044.5 	598041.2 	1066926.5 	1634286.0 	1584750.0 	2213917.0 	2591902.0 	1938214.0 	1779556.3 	1733098.4 	2454500.1 	2623641.9 	3013115.1 	3694917.4 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,IE	: 	: 	: 	: 	: 	: 	: 	547313.0 	660741.0 	787249.0 	1002129.0 	1230235.0 	1338543.0 	1264429.0 	1352597.0 	1458289.0 	1432239.0 	1586856.0 	1685634.0 	2011569.0 	2246763.0 	2442775.0 	2698591.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,IT	: 	: 	: 	: 	547981.0 	642150.0 	634794.0 	577416.0 	637266.0 	706645.0 	871501.0 	928277.0 	907141.0 	742099.0 	843790.0 	904582.0 	842967.0 	854460.0 	920860.0 	1058519.0 	1183909.0 	1287750.0 	1426352.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	377.6 	1077.3 	1969.6 	2555.3 	2322.5 	3047.4 	3289.9 	2463.2 	2702.2 	3289.8 	3640.6 	6979.7 	9921.6 	13505.7 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,LU	: 	: 	: 	: 	: 	: 	: 	880510.0 	1055585.0 	1186634.0 	1560499.0 	1846950.0 	1958160.0 	1550163.0 	1878090.0 	2152930.0 	2077398.0 	2328251.0 	2543383.0 	2998461.0 	3363857.0 	3587861.0 	3927484.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,LV	: 	: 	: 	: 	: 	750.0 	610.0 	773.0 	967.0 	986.0 	1353.0 	1559.0 	1935.0 	2058.0 	2081.0 	2441.0 	2929.0 	3749.0 	4157.0 	7868.0 	11074.0 	13449.0 	15260.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	10978.4 	25323.7 	31908.6 	44903.0 	45780.3 	53558.2 	58779.8 	69124.6 	79284.3 	84682.1 	100458.7 	103748.1 	107322.8 	112889.8 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,NL	: 	: 	: 	: 	: 	: 	: 	: 	691931.0 	810092.0 	984517.0 	1012094.0 	1064735.0 	885274.0 	1044768.0 	1116707.0 	1112407.0 	1265182.0 	1302388.0 	1513123.0 	1551863.0 	1657169.0 	1682180.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	20071.0 	28637.0 	40282.0 	53526.0 	31359.0 	40115.0 	43564.0 	36572.0 	40351.0 	48855.0 	71436.0 	120928.0 	113708.0 	123109.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,PT	: 	15081.0 	22235.0 	28431.0 	36292.0 	43699.0 	52099.0 	59354.0 	76680.0 	91733.0 	114213.0 	121744.0 	129469.0 	126713.0 	146247.0 	145797.0 	114227.0 	109598.0 	110260.0 	117103.0 	117890.0 	119500.0 	138500.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2250.0 	4271.0 	4188.0 	4307.0 	5049.0 	6776.0 	6952.0 	9097.0 	10530.0 	10918.0 	12507.0 	14363.0 	17622.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,SE	: 	: 	: 	810796.0 	1228812.0 	1356783.0 	1548211.0 	1257218.0 	1516615.0 	1804731.0 	2371815.0 	2723191.0 	3097430.0 	2524257.0 	3065701.0 	3307056.0 	3026439.0 	3178961.0 	3551956.0 	4191094.0 	4306108.0 	4575238.0 	5231661.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,SI	83.0 	75.7 	50.6 	33.8 	130.1 	188.5 	289.0 	316.0 	551.0 	1271.0 	2758.0 	5132.0 	12509.0 	10599.0 	11255.0 	11793.0 	11390.0 	11630.7 	11385.6 	12375.3 	14458.3 	16719.0 	19661.7 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	10238.5 	13028.1 	10117.7 	14251.2 	15121.1 	19160.0 	22200.0 	23229.0 	20924.3 	21161.0 	22643.8 	21629.3 	26570.1 	30384.3 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,UK	: 	: 	: c	: c	798995.0 	859030.0 	955884.0 	880128.0 	974206.0 	1136443.0 	1413919.0 	1690695.0 	1898412.0 	1690096.0 	1817482.0 	1932275.0 	1812247.0 	2011375.0 	2058479.0 	2222884.0 	2235198.0 	2459734.0 	2704243.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,AT	: 	: 	: 	: 	64069.0 	79176.0 	92214.0 	116751.0 	128967.0 	153882.0 	187012.0 	201100.0 	207053.0 	192256.0 	198013.0 	200811.0 	190110.0 	187619.0 	183519.0 	197319.0 	191662.0 	191114.0 	185130.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	377739.0 	373871.0 	366431.0 	356988.0 	335992.0 	313465.0 	341918.0 	333386.0 	341007.0 	336546.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,BG	: 	: 	: 	: 	: 	1812.3 	1848.4 	1288.2 	1239.8 	1271.1 	1272.2 	1609.1 	1502.5 	1927.8 	2884.1 	3854.1 	4337.0 	7630.2 	8422.5 	8736.9 	7126.2 	8381.7 	10780.5 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F3,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35345.0 	47344.0 	38903.0 	27567.0 	20821.0 	8632.0 	7325.0 	7566.0 	9187.0 	10088.0 
