currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,AT	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3521.0 	6774.0 	14520.0 	11345.0 	10882.0 	12320.0 	12489.0 	8986.0 	9406.0 	6979.0 	6847.0 	5045.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3081.0 	8019.0 	14767.0 	18703.0 	14567.0 	8214.0 	6352.0 	13006.0 	10390.0 	16273.0 	15980.0 	17385.0 	14822.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49.8 	141.5 	100.8 	102.6 	57.2 	95.6 	105.6 	79.9 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1794.0 	1537.0 	1502.0 	1520.0 	1648.0 	1605.0 	: c	4352.0 	2065.0 	1587.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,CZ	: 	: 	: 	: 	: 	6347.0 	15755.0 	31213.0 	24130.0 	39695.0 	42556.0 	53407.0 	69525.0 	145524.0 	102867.0 	95036.0 	128615.0 	93995.0 	55658.0 	100203.0 	76489.0 	69940.0 	64334.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,DE	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	784185.0 	916040.0 	954795.0 	629414.0 	791329.0 	665384.0 	611880.0 	475555.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85357.0 	47275.0 	-37.0 	83164.0 	21532.0 	36949.0 	120318.0 	131179.0 	69095.0 	602687.0 	503336.0 	523818.0 	406877.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.5 	23.1 	35.0 	93.8 	53.5 	31.4 	34.1 	71.4 	43.5 	74.2 	90.0 	61.1 	27.1 	25.5 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	2572.0 	3483.0 	5093.0 	5530.0 	6040.0 	7565.0 	5952.0 	1867.0 	1779.0 	1299.0 	804.0 	1535.0 	1118.0 	1073.0 	984.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,ES	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	32973.0 	44642.0 	108278.0 	77449.0 	95116.0 	140225.0 	157206.0 	105226.0 	119754.0 	109283.0 	103357.0 	86741.0 
