currency,bop_item,sector10,sectpart,partner,stk_flow,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,AT	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-9.0 	-774.0 	3625.0 	4127.0 	2675.0 	2830.0 	3545.0 	1259.0 	1116.0 	-220.0 	-296.0 	981.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	215.0 	596.0 	-656.0 	2691.0 	2202.0 	2311.0 	-928.0 	3835.0 	-1868.0 	-4612.0 	-3174.0 	-879.0 	5040.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,BG	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	3.0 	-170.3 	-16.5 	269.7 	135.5 	71.4 	-7.1 	-216.5 	-85.8 	-63.4 	82.8 	-88.8 	-54.3 	-86.8 	-133.2 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	70.0 	-81.0 	190.0 	-23.0 	205.0 	190.0 	: c	-151.0 	266.0 	426.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,CZ	: 	: 	: 	: 	: 	1039.0 	4260.0 	8541.0 	4682.0 	7889.0 	10688.0 	16925.0 	15302.0 	-21078.0 	-17191.0 	-13792.0 	-11365.0 	-11963.0 	-29572.0 	4247.0 	-4717.0 	-7140.0 	-2385.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,DE	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-2241.0 	-13096.0 	6637.0 	11348.0 	-22884.0 	-15907.0 	-29597.0 	-14711.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85357.0 	47275.0 	-37.0 	83164.0 	21532.0 	36949.0 	120318.0 	131179.0 	69095.0 	99886.0 	68086.0 	39602.0 	59805.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.3 	14.6 	9.8 	61.7 	4.4 	-17.2 	-57.4 	-8.1 	-76.0 	-14.6 	-21.5 	-43.9 	-66.6 	-41.5 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,EL	: 	: 	: 	: 	: 	: 	: 	: 	-4858.0 	-5196.0 	-1231.0 	-2484.0 	-3682.0 	-3898.0 	-1846.0 	-3644.0 	-5429.0 	-7171.0 	-9177.0 	-9384.0 	-6709.0 	-7163.0 	-6070.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,ES	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-9596.0 	-18845.0 	-5749.0 	-1049.0 	2657.0 	5810.0 	4921.0 	5209.0 	-4464.0 	-3911.0 	-6106.0 	-6507.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,FI	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	926.1 	769.7 	792.4 	1561.4 	262.7 	2185.6 	5053.3 	7793.7 	8437.2 	5021.1 	7027.4 	2775.0 	: c	880.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,FR	: 	: 	: 	: 	89377.0 	59347.0 	102297.0 	58438.0 	-7954.0 	20985.0 	16743.0 	20002.0 	-80316.0 	-51010.0 	-71668.0 	-47778.0 	-44471.0 	-45183.0 	-62077.0 	-59616.0 	-35179.0 	-46453.0 	-69199.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,HR	: 	: 	: 	: 	: 	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	-205.0 	-1332.0 	401.0 	-1365.0 	-3170.0 	3571.0 	12608.0 	14685.0 	5063.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,HU	: 	: 	: 	: 	180889.9 	166048.1 	190263.3 	64087.7 	-82328.0 	-22501.9 	-43812.6 	-63969.2 	-130151.8 	-229877.3 	-161313.8 	-419675.5 	-166122.1 	37177.4 	-370185.9 	136269.8 	704057.0 	997147.1 	310487.1 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,IE	: 	: 	: 	: 	: 	: 	: 	840.0 	114.0 	-1448.0 	6912.0 	6929.0 	-2952.0 	-10262.0 	-6238.0 	7201.0 	6574.0 	11228.0 	18436.0 	4238.0 	10270.0 	10989.0 	7070.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,IT	: 	: 	: 	: 	1615.0 	2867.0 	1655.0 	7110.0 	13636.0 	-6901.0 	-13190.0 	-14449.0 	-9987.0 	-32553.0 	-26541.0 	-30039.0 	-50308.0 	-58202.0 	-42772.0 	-62384.0 	-50823.0 	-55909.0 	-43825.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.1 	4.7 	29.7 	123.6 	-65.5 	-76.5 	-1.0 	25.0 	49.6 	13.4 	163.2 	26.4 	109.8 	47.6 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,LU	: 	: 	: 	: 	: 	: 	: 	3789.0 	-4170.0 	-5254.0 	4223.0 	-1445.0 	-7452.0 	15231.0 	24068.0 	13739.0 	5789.0 	4455.0 	-58.0 	4824.0 	6991.0 	-1474.0 	2538.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,LV	: 	: 	: 	: 	: 	1.0 	-4.0 	-15.0 	-19.0 	18.0 	-8.0 	15.0 	-7.0 	167.0 	-15.0 	-3.0 	4.0 	5.0 	-116.0 	-120.0 	132.0 	166.0 	-95.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	44.2 	461.1 	677.1 	1218.6 	803.5 	1417.6 	1467.4 	1305.9 	1409.1 	1309.1 	1644.8 	964.9 	886.1 	728.2 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,NL	: 	: 	: 	: 	: 	: 	: 	: 	-5902.0 	-9061.0 	-12566.0 	743.0 	24833.0 	38407.0 	13229.0 	24863.0 	69129.0 	66092.0 	34076.0 	86563.0 	72783.0 	82677.0 	72266.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-338.0 	-83.0 	-198.0 	-748.0 	-6266.0 	-1150.0 	-7071.0 	-4826.0 	-3014.0 	-1390.0 	-2304.0 	-7264.0 	-6144.0 	4641.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,PT	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	163.0 	-444.0 	-1131.0 	: c	-3642.0 	-3102.0 	-1807.0 	96.0 	-219.0 	-1604.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	-37.0 	-3.0 	-4.0 	-2.0 	22.0 	11.0 	11.0 	-205.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,SE	: 	: 	: 	-2874.0 	7637.0 	31559.0 	15222.0 	-7847.0 	-4366.0 	-14326.0 	-15546.0 	-7896.0 	-5955.0 	50753.0 	63521.0 	82154.0 	123817.0 	105168.0 	56501.0 	128136.0 	124923.0 	125407.0 	61550.0 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,SI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	14.0 	27.0 	56.0 	-145.0 	-114.0 	-191.0 	-88.0 	-231.2 	-600.6 	-5.8 	1102.9 	1026.5 	241.2 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	-70.8 	-37.7 	124.6 	62.1 	186.6 	-97.3 	-516.5 	-461.0 	-518.6 	-609.0 	-439.7 	-7.1 	43.9 	-210.9 
MIO_NAC,FA__F__F7,S1,S1,WRL_REST,N_LE,UK	: 	: 	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 	-5642.0 	-11026.0 	-36762.0 	-14064.0 	124912.0 	79570.0 	67837.0 	83247.0 	61570.0 	108507.0 	104534.0 	18750.0 	42543.0 	46162.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1364.0 	-20.0 	-14.0 	-231.0 	11.0 	25.0 	-56.0 	-23.0 	-43.0 	9.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	201.0 	22.0 	32.0 	25.0 	12.0 	0.0 	0.0 	: c	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-327.0 	-701.0 	-99.0 	-2233.0 	-3464.0 	-839.0 	838.0 	-1025.0 	-1946.0 	-2821.0 	630.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
MIO_NAC,FA__F__F7,S121,S1,WRL_REST,N_LE,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
