sex,unit,indic_il,age,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,PC,LI_R_MD60,TOTAL,AT	13.0 	14.0 	13.0 	13.0 	12.0 	12.0 	12.0 	: 	13.2 	13.0 	12.6 	12.6 	12.0 	15.2 	14.5 	14.7 	14.5 	14.4 	14.4 	14.1 	13.9 	14.1 	14.4 
T,PC,LI_R_MD60,TOTAL,BE	16.0 	15.0 	14.0 	14.0 	13.0 	13.0 	13.0 	: 	15.4 	14.3 	14.8 	14.7 	15.2 	14.7 	14.6 	14.6 	15.3 	15.3 	15.1 	15.5 	14.9 	15.5 	15.9 
T,PC,LI_R_MD60,TOTAL,BG	: 	: 	: 	: 	: 	14.0 	16.0 	14.0 	: 	: 	: 	18.4 	22.0 	21.4 	21.8 	20.7 	22.2 	21.2 	21.0 	21.8 	22.0 	22.9 b	23.4 
T,PC,LI_R_MD60,TOTAL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.1 	15.6 	15.5 	15.9 	15.8 	15.6 	14.8 	14.7 	15.3 	14.4 	16.2 	16.1 	15.7 
T,PC,LI_R_MD60,TOTAL,CZ	: 	: 	: 	: 	: 	: 	8.0 	: 	: 	: 	10.4 	9.9 	9.6 	9.0 	8.6 	9.0 	9.8 	9.6 	8.6 	9.7 	9.7 	9.7 	9.1 
T,PC,LI_R_MD60,TOTAL,DE	15.0 	14.0 	12.0 	11.0 	11.0 	10.0 	11.0 	: 	: 	: 	12.2 	12.5 	15.2 	15.2 	15.5 	15.6 	15.8 	16.1 	16.1 	16.7 	16.7 	16.5 	16.1 
T,PC,LI_R_MD60,TOTAL,DK	10.0 	: 	10.0 	: 	10.0 	: 	10.0 	: 	11.7 	10.9 	11.8 	11.7 	11.7 	11.8 	13.1 	13.3 	12.1 	12.0 	11.9 	12.1 	12.2 	11.9 	12.4 
T,PC,LI_R_MD60,TOTAL,EE	: 	: 	: 	: 	: 	18.0 	18.0 	18.0 	: 	20.2 	18.3 	18.3 	19.4 	19.5 	19.7 	15.8 	17.5 	17.5 	18.6 	21.8 	21.6 	21.7 	21.0 
T,PC,LI_R_MD60,TOTAL,EL	22.0 	21.0 	21.0 	21.0 	21.0 	20.0 	20.0 	: 	20.7 	19.9 	19.6 	20.5 	20.3 	20.1 	19.7 	20.1 	21.4 	23.1 	23.1 	22.1 	21.4 	21.2 	20.2 
T,PC,LI_R_MD60,TOTAL,ES	19.0 	18.0 	20.0 	18.0 	19.0 	18.0 	19.0 	19.0 b	: 	20.1 	20.1 	20.3 	19.7 	19.8 	20.4 	20.7 	20.6 	20.8 	20.4 	22.2 	22.1 	22.3 	21.6 
T,PC,LI_R_MD60,TOTAL,FI	: 	8.0 	8.0 	9.0 	11.0 	11.0 	11.0 b	11.0 	: 	11.0 	11.7 	12.6 	13.0 	13.6 	13.8 	13.1 	13.7 	13.2 	11.8 	12.8 	12.4 	11.6 	11.5 
T,PC,LI_R_MD60,TOTAL,FR	15.0 	15.0 	15.0 	15.0 	15.0 	16.0 	13.0 b	12.0 	: 	13.5 	13.0 	13.2 	13.1 	12.5 	12.9 	13.3 	14.0 	14.1 	13.7 	13.3 	13.6 	13.6 	13.3 
T,PC,LI_R_MD60,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.6 	20.9 	20.4 	19.5 	19.4 	20.0 	19.5 	: 
T,PC,LI_R_MD60,TOTAL,HU	: 	: 	: 	: 	: 	11.0 	11.0 	10.0 	: 	: 	13.5 	15.9 	12.3 	12.4 	12.4 	12.3 	14.1 	14.3 	15.0 	15.0 	14.9 	14.5 	13.4 
T,PC,LI_R_MD60,TOTAL,IE	19.0 	19.0 	19.0 	19.0 	19.0 	20.0 	21.0 	: 	20.5 	20.9 	19.7 	18.5 	17.2 	15.5 	15.0 	15.2 	15.2 	16.6 	15.7 	16.4 	16.3 	16.6 	: 
T,PC,LI_R_MD60,TOTAL,IT	20.0 	20.0 	19.0 	18.0 	18.0 	18.0 	19.0 	: 	: 	18.9 	19.2 	19.3 	19.5 	18.9 	18.4 	18.7 	19.8 	19.5 	19.3 	19.4 	19.9 	20.6 	20.3 
T,PC,LI_R_MD60,TOTAL,LT	: 	: 	: 	: 	: 	17.0 	17.0 	: 	: 	: 	20.5 	20.0 	19.1 	20.9 	20.3 	20.5 	19.2 	18.6 	20.6 	19.1 	22.2 	21.9 	22.9 
T,PC,LI_R_MD60,TOTAL,LU	12.0 	11.0 	11.0 	12.0 	13.0 	12.0 	12.0 	: 	11.9 	12.7 	13.7 	14.1 	13.5 	13.4 	14.9 	14.5 	13.6 	15.1 	15.9 	16.4 	15.3 	16.5 b	18.7 
T,PC,LI_R_MD60,TOTAL,LV	: 	: 	: 	: 	: 	16.0 	: 	: 	: 	: 	19.4 	23.5 	21.2 	25.9 	26.4 	20.9 	19.0 	19.2 	19.4 	21.2 	22.5 	21.8 	22.1 
T,PC,LI_R_MD60,TOTAL,MT	: 	: 	: 	: 	: 	15.0 	: 	: 	: 	: 	14.3 	14.2 	15.1 	15.3 	14.9 	15.5 	15.6 	15.1 	15.7 	15.9 	16.3 	16.5 	16.8 
T,PC,LI_R_MD60,TOTAL,NL	11.0 	12.0 	10.0 	10.0 	11.0 	11.0 	11.0 	11.0 	: 	: 	10.7 	9.7 	10.2 	10.5 	11.1 	10.3 	11.0 	10.1 	10.4 	11.6 	11.6 	12.7 b	13.2 
T,PC,LI_R_MD60,TOTAL,PL	: 	: 	: 	: 	: 	16.0 	16.0 	: 	: 	: 	20.5 	19.1 	17.3 	16.9 	17.1 	17.6 	17.7 	17.1 	17.3 	17.0 	17.6 	17.3 	15.0 
T,PC,LI_R_MD60,TOTAL,PT	23.0 	21.0 	22.0 	21.0 	21.0 	21.0 	20.0 	20.0 	: 	20.4 	19.4 	18.5 	18.1 	18.5 	17.9 	17.9 	18.0 	17.9 	18.7 	19.5 	19.5 	19.0 	18.3 
T,PC,LI_R_MD60,TOTAL,RO	: 	: 	: 	: 	: 	17.0 	17.0 	18.0 	: 	: 	: 	: 	24.6 	23.6 	22.1 	21.6 	22.3 	22.9 	23.0 	25.1 	25.4 	25.3 	23.6 
T,PC,LI_R_MD60,TOTAL,SE	: 	: 	8.0 	: 	8.0 	: 	9.0 	11.0 b	: 	11.3 	9.5 	12.3 	10.5 	13.5 b	14.4 	14.8 	15.4 	15.2 	16.0 	15.6 	16.3 	16.2 	15.8 
T,PC,LI_R_MD60,TOTAL,SI	: 	: 	: 	: 	: 	11.0 	11.0 	10.0 	: 	: 	12.2 	11.6 	11.5 	12.3 	11.3 	12.7 	13.6 	13.5 	14.5 	14.5 	14.3 	13.9 	13.3 
T,PC,LI_R_MD60,TOTAL,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.3 	11.6 	10.6 	10.9 	11.0 	12.0 	13.0 	13.2 	12.8 	12.6 	12.3 	12.7 	12.4 
T,PC,LI_R_MD60,TOTAL,UK	20.0 	18.0 	18.0 	19.0 	19.0 	19.0 b	18.0 	18.0 	: 	: 	19.0 	19.0 	18.6 	18.7 	17.3 	17.1 	16.2 	16.0 	15.9 	16.8 	16.6 	15.9 	: 
T,PPCH_3Y,LI_R_MD60,TOTAL,AT	: 	: 	: 	0.0 	-2.0 	-1.0 	-1.0 	: 	1.2 	1.0 	0.6 	-0.6 	-1.0 	2.6 	1.9 	2.7 	-0.7 	-0.1 	-0.3 	-0.4 	-0.5 	-0.3 	0.3 
T,PPCH_3Y,LI_R_MD60,TOTAL,BE	: 	: 	: 	-2.0 	-2.0 	-1.0 	-1.0 	: 	2.4 	1.3 	1.8 	-0.7 	0.9 	-0.1 	-0.1 	-0.6 	0.6 	0.7 	0.5 	0.2 	-0.4 	0.4 	0.4 
T,PPCH_3Y,LI_R_MD60,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.4 	6.0 	7.4 	3.4 	-1.3 	0.8 	-0.6 	0.3 	-0.4 	0.8 	1.9 b	1.6 
T,PPCH_3Y,LI_R_MD60,TOTAL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.2 	0.2 	0.1 	-1.1 	-1.1 	-0.3 	-0.4 	1.5 	0.8 	1.3 
T,PPCH_3Y,LI_R_MD60,TOTAL,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.6 	-1.4 	-1.3 	-0.6 	0.8 	1.0 	-0.4 	-0.1 	0.1 	1.1 	-0.6 
T,PPCH_3Y,LI_R_MD60,TOTAL,DE	: 	: 	: 	-4.0 	-3.0 	-2.0 	0.0 	: 	: 	: 	1.2 	2.5 	4.2 	3.0 	3.0 	0.4 	0.6 	0.6 	0.5 	0.9 	0.6 	0.4 	-0.6 
T,PPCH_3Y,LI_R_MD60,TOTAL,DK	: 	: 	: 	: 	: 	: 	0.0 	: 	1.7 	0.9 	1.8 	0.0 	0.8 	0.0 	1.4 	1.6 	0.3 	-1.1 	-1.4 	0.0 	0.2 	0.0 	0.3 
T,PPCH_3Y,LI_R_MD60,TOTAL,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.2 	0.3 	0.3 	-0.8 	1.2 	1.4 	-3.6 	-2.0 	-2.2 	2.8 	4.3 	4.1 	3.1 	-0.8 
T,PPCH_3Y,LI_R_MD60,TOTAL,EL	: 	: 	: 	-1.0 	0.0 	-1.0 	-1.0 	: 	-0.3 	-0.1 	-0.4 	-0.2 	0.4 	0.5 	-0.8 	-0.2 	1.3 	3.4 	3.0 	0.7 	-1.7 	-1.9 	-1.9 
T,PPCH_3Y,LI_R_MD60,TOTAL,ES	: 	: 	: 	-1.0 	1.0 	-2.0 	1.0 	0.0 b	: 	2.1 	1.1 	1.3 b	-0.4 	-0.3 	0.1 	1.0 	0.8 	0.4 	-0.3 	1.6 	1.3 	1.9 	-0.6 
T,PPCH_3Y,LI_R_MD60,TOTAL,FI	: 	: 	: 	: 	3.0 	3.0 	2.0 b	0.0 	: 	0.0 	0.7 b	1.6 	2.0 	1.9 	1.2 	0.1 	0.1 	-0.6 	-1.3 	-0.9 	-0.8 	-0.2 	-1.3 
T,PPCH_3Y,LI_R_MD60,TOTAL,FR	: 	: 	: 	0.0 	0.0 	1.0 	-2.0 b	-3.0 	: 	-2.5 	0.0 b	1.2 	-0.4 	-0.5 	-0.3 	0.2 	1.5 	1.2 	0.4 	-0.7 	-0.5 	-0.1 	0.0 
T,PPCH_3Y,LI_R_MD60,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.1 	-1.5 	-0.4 	0.0 	: 
T,PPCH_3Y,LI_R_MD60,TOTAL,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.5 	4.9 	2.3 	-1.1 	-3.5 	0.0 	1.7 	1.9 	2.7 	0.9 	0.6 	-0.5 	-1.6 
T,PPCH_3Y,LI_R_MD60,TOTAL,IE	: 	: 	: 	0.0 	0.0 	1.0 	2.0 	: 	1.5 	0.9 	-1.3 	-2.0 	-3.7 	-4.2 	-3.5 	-2.0 	-0.3 	1.6 	0.5 	1.2 	-0.3 	0.9 	: 
T,PPCH_3Y,LI_R_MD60,TOTAL,IT	: 	: 	: 	-2.0 	-2.0 	-1.0 	1.0 	: 	: 	0.9 	1.2 	0.3 	0.6 	-0.3 	-0.9 	-0.8 	0.9 	1.1 	0.6 	-0.4 	0.4 	1.3 	0.9 
T,PPCH_3Y,LI_R_MD60,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.0 	2.1 	0.4 	0.3 	1.4 	-1.7 	-1.7 	0.1 	-0.1 	3.6 	1.3 	3.8 
T,PPCH_3Y,LI_R_MD60,TOTAL,LU	: 	: 	: 	0.0 	2.0 	1.0 	0.0 	: 	-1.1 	0.7 	1.7 	2.2 	0.8 	-0.3 	0.8 	1.0 	0.2 	0.2 	1.4 	2.8 	0.2 	0.6 b	2.3 
T,PPCH_3Y,LI_R_MD60,TOTAL,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.2 	6.5 	2.9 	-0.3 	-6.9 	-7.2 	-1.5 	2.2 	3.3 	2.4 	0.9 
T,PPCH_3Y,LI_R_MD60,TOTAL,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1 	1.0 	0.7 	0.4 	0.3 	0.2 	0.2 	0.3 	1.2 	0.8 	0.9 
T,PPCH_3Y,LI_R_MD60,TOTAL,NL	: 	: 	: 	-1.0 	-1.0 	1.0 	1.0 	0.0 	: 	: 	-0.3 	-1.3 	-0.8 	-0.2 	1.4 	0.1 	0.5 	-1.0 	0.1 	0.6 	1.5 	2.3 b	1.6 
T,PPCH_3Y,LI_R_MD60,TOTAL,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 	1.3 	-3.6 	-2.0 	0.3 	0.8 	0.0 	-0.3 	-0.7 	0.5 	0.0 	-2.0 
