sex,age,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,Y_LT60,PC_Y_LT60,AT	: 	6.8 	7.3 	8.1 	8.2 	7.4 b	7.1 	7.8 	8.6 	7.7 	7.8 	9.1 	8.2 	8.1 	8.3 
T,Y_LT60,PC_Y_LT60,BE	15.4 	14.7 	15.1 	14.3 	13.8 	11.7 	12.3 	12.7 	13.8 	13.9 	14.0 	14.6 	14.9 	14.6 	13.5 
T,Y_LT60,PC_Y_LT60,BG	: 	: 	: 	14.7 	16.0 	8.1 b	6.9 	8.0 	11.0 	12.5 	13.0 	12.1 	11.6 	11.9 b	11.1 
T,Y_LT60,PC_Y_LT60,CY	: 	: 	4.4 	3.8 	3.7 	4.5 b	4.0 	4.9 	4.9 	6.5 	7.9 	9.7 	10.9 	10.6 	9.4 
T,Y_LT60,PC_Y_LT60,CZ	: 	: 	8.9 	8.9 	8.6 	7.2 	6.0 	6.4 	6.6 	6.8 	6.9 	7.6 	6.8 	6.7 	5.5 
T,Y_LT60,PC_Y_LT60,DE	: 	: 	12.0 	13.6 	11.5 	11.7 	10.9 	11.2 	11.2 	9.9 	9.9 	10.0 	9.8 	9.6 	8.7 
T,Y_LT60,PC_Y_LT60,DK	9.8 	9.3 	10.1 	9.6 	10.1 	8.5 	8.8 	10.6 	10.5 	10.2 	11.9 	12.2 	11.6 	10.7 	10.0 
T,Y_LT60,PC_Y_LT60,EE	: 	9.7 	9.5 	7.1 	6.2 	5.3 	5.6 	9.0 	10.0 	9.1 	8.4 	7.6 b	6.6 	5.8 	5.8 
T,Y_LT60,PC_Y_LT60,EL	8.5 	7.5 	7.6 	8.1 	8.1 	7.5 	6.6 	7.6 	12.0 	14.2 	18.2 	17.2 	16.8 	17.2 	15.6 
T,Y_LT60,PC_Y_LT60,ES	: 	7.3 	6.9 	6.4 	6.8 	6.6 	7.6 	10.8 	13.4 	14.3 	15.7 	17.1 	15.4 	14.9 	12.8 
T,Y_LT60,PC_Y_LT60,FI	: 	9.5 	10.0 	9.1 	8.8 	7.5 	8.4 	9.3 	10.0 	9.3 	9.0 	10.0 	10.8 	11.4 	10.7 
T,Y_LT60,PC_Y_LT60,FR	: 	10.3 	8.7 	9.1 	9.6 	8.8 	8.4 	9.9 	9.4 	8.4 	8.1 	9.6 	8.6 	8.4 	8.1 
T,Y_LT60,PC_Y_LT60,HR	: 	: 	: 	: 	: 	: 	: 	13.9 	15.9 	16.8 	14.8 	14.7 	14.4 	13.0 	: 
T,Y_LT60,PC_Y_LT60,HU	: 	: 	9.5 	13.1 	11.3 	12.0 	11.3 	11.9 	12.8 	13.5 	13.6 	12.8 	9.4 	8.2 	6.6 
T,Y_LT60,PC_Y_LT60,IE	11.5 	12.9 	14.7 	12.9 	14.3 	13.7 	20.0 	22.9 	24.2 	23.4 	23.9 	21.0 	19.2 	18.2 	: 
T,Y_LT60,PC_Y_LT60,IT	: 	12.3 	11.0 	11.3 	10.2 	10.4 	9.2 	10.6 	10.5 	10.6 	11.3 	12.1 	11.7 	12.8 	11.8 
T,Y_LT60,PC_Y_LT60,LT	: 	: 	9.6 	8.3 	6.4 	6.1 	7.2 	9.5 	12.7 	11.4 	11.0 	8.8 	9.2 	10.2 	9.7 
T,Y_LT60,PC_Y_LT60,LU	6.1 	6.2 	5.7 	5.2 	5.0 	4.7 	6.3 	5.5 	5.8 	6.1 	6.6 	6.1 	5.7 	6.6 b	6.9 
T,Y_LT60,PC_Y_LT60,LV	: 	: 	8.3 	7.1 	6.2 	5.4 	7.4 	12.6 	12.6 	11.7 	10.0 	9.6 	7.8 	7.2 	7.8 
T,Y_LT60,PC_Y_LT60,MT	: 	: 	9.6 	9.7 	9.6 	8.6 	9.2 	9.2 	8.9 	9.0 	9.0 	9.8 	9.2 	7.3 	6.7 
