na_item,s_adj,unit,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
D1,CA,CP_MNAC,CZ	137355.0 	149428.0 	155042.0 	178270.0 	159502.0 	182540.0 	179109.0 	207278.0 	177890.0 	204622.0 	196825.0 	217985.0 	191881.0 	210192.0 	204887.0 	230169.0 	196188.0 	215793.0 	210803.0 	239182.0 	208176.0 	226951.0 	224366.0 	255692.0 	224775.0 	246626.0 	243364.0 	273673.0 	243106.0 	266124.0 	259641.0 	292068.0 	257101.0 	278034.0 	274827.0 	308623.0 	280125.0 	295814.0 	300225.0 	336169.0 	301027.0 	319682.0 	323485.0 	354989.0 	323369.0 	343007.0 	345414.0 	382214.0 	353542.0 	371421.0 	374669.0 	413425.0 	390393.0 	401124.0 	397537.0 	427683.0 	384187.0 	387739.0 	379638.0 	416838.0 	377565.0 	391912.0 	394145.0 	427484.0 	388159.0 	402713.0 	402562.0 	432958.0 	401568.0 	410475.0 	408621.0 	444037.0 	401651.0 	415521.0 	416070.0 	442941.0 	416920.0 	429224.0 	428359.0 	460157.0 	435757.0 	451429.0 	448993.0 	484910.0 	461746.0 	475938.0 	476532.0 	513931.0 	491825.0 	517454.0 	516902.0 	562520.0 	544482.0 	569886.0 
D1,CA,CP_MNAC,FI	10950.0 	11937.0 	12388.0 	12331.0 	11915.0 	12328.0 	12694.0 	12656.0 	12364.0 	12889.0 	13652.0 	13350.0 	13354.0 	13882.0 	14670.0 	14435.0 	14105.0 	14688.0 	15599.0 	15339.0 	15107.0 	15843.0 	16482.0 	16124.0 	16257.0 	16803.0 	17255.0 	16855.0 	16613.0 	17409.0 	17867.0 	17396.0 	17012.0 	17830.0 	18325.0 	17801.0 	17743.0 	18425.0 	19088.0 	18678.0 	18557.0 	19319.0 	20324.0 	19580.0 	19640.0 	20303.0 	21145.0 	20645.0 	20811.0 	21353.0 	22085.0 	22050.0 	22362.0 	22972.0 	23488.0 	23161.0 	22398.0 	22751.0 	23130.0 	22661.0 	22116.0 	23052.0 	23748.0 	23488.0 	23276.0 	24315.0 	24984.0 	24253.0 	24629.0 	25433.0 	25429.0 	24797.0 	24680.0 	25763.0 	25770.0 	24956.0 	24700.0 	25779.0 	25777.0 	25157.0 	24942.0 	26067.0 	26061.0 	25448.0 	25343.0 	26394.0 	26683.0 	25767.0 	25474.0 	26582.0 	26668.0 	26147.0 	26410.0 	27738.0 
D1,CA,CP_MNAC,IT	87146.3 	96188.7 	84841.9 	113443.4 	92757.0 	102277.3 	92070.1 	119606.1 	97749.9 	107176.0 	96564.2 	124495.6 	97082.3 	106985.1 	95354.4 	125002.3 	99189.4 	110918.9 	99605.1 	129792.8 	104450.9 	114941.5 	103836.5 	135234.5 	110027.4 	120307.9 	109628.8 	142886.5 	116369.2 	125880.4 	114400.2 	148630.7 	120020.4 	131029.7 	121375.6 	154269.9 	125120.2 	137306.5 	122583.8 	160113.0 	129155.2 	141367.4 	126898.7 	172011.6 	135689.2 	150589.9 	134482.8 	174586.4 	141093.2 	153890.4 	139233.3 	182913.3 	147953.8 	160934.3 	145905.7 	184436.6 	147049.0 	158596.8 	144859.6 	184003.1 	148185.5 	162048.3 	145627.4 	185961.6 	150765.5 	165653.8 	148407.9 	186728.6 	150168.5 	163326.5 	146619.7 	182946.3 	148221.0 	160284.2 	145306.8 	183237.7 	148461.4 	160139.6 	146461.5 	184430.8 	150916.6 	163472.4 	149565.3 	188268.7 	155025.4 	168471.2 	152883.5 	192800.9 	158487.4 	171670.4 	157352.8 	197273.4 	160969.7 	178808.2 
D1,CA,CP_MNAC,LU	1714.0 	1799.2 	1809.4 	2066.3 	1857.4 	1920.0 	1873.7 	2137.9 	1925.1 	1998.8 	1992.8 	2311.7 	2032.1 	2115.4 	2096.5 	2468.7 	2186.4 	2284.4 	2284.5 	2816.4 	2461.1 	2551.4 	2598.4 	3069.1 	2719.2 	2852.7 	2825.7 	3270.2 	2944.2 	3024.8 	3022.1 	3505.6 	3020.9 	3132.7 	3102.1 	3644.9 	3204.3 	3347.0 	3263.3 	3902.8 	3403.4 	3567.6 	3494.3 	4173.6 	3700.8 	3887.0 	3786.3 	4506.6 	4069.6 	4221.1 	4124.1 	4885.2 	4369.2 	4580.5 	4502.6 	5195.5 	4521.3 	4700.9 	4615.6 	5318.7 	4620.4 	4834.0 	4795.6 	5626.9 	4914.6 	5069.2 	4977.2 	5894.8 	5144.0 	5287.1 	5139.3 	6183.7 	5317.1 	5502.4 	5386.8 	6454.0 	5716.2 	5870.8 	5751.0 	6707.1 	5926.5 	6136.4 	5980.4 	7022.8 	6204.4 	6316.5 	6192.4 	7348.9 	6585.1 	6843.0 	6640.7 	7803.1 	6865.9 	7198.3 
D1,CA,CP_MNAC,LV	388.2 	419.1 	416.7 	440.1 	461.0 	515.1 	526.2 	576.6 	525.5 	572.9 	589.0 	623.0 	579.6 	631.8 	645.8 	652.6 	626.5 	672.1 	678.2 	700.8 	662.7 	707.1 	713.4 	747.8 	700.5 	736.7 	765.1 	789.8 	745.1 	798.0 	804.3 	858.1 	831.1 	914.9 	930.4 	984.9 	964.6 	1043.6 	1065.2 	1149.6 	1228.0 	1331.3 	1391.7 	1514.0 	1531.8 	1699.9 	1803.2 	2028.7 	2186.5 	2431.0 	2562.7 	2794.9 	2780.9 	2956.8 	3008.3 	2994.3 	2441.1 	2342.2 	2084.7 	1960.8 	1786.4 	1933.0 	1928.6 	2046.1 	1812.0 	2047.8 	2014.9 	2139.0 	1989.3 	2206.1 	2208.0 	2343.3 	2140.0 	2386.2 	2384.0 	2505.9 	2362.8 	2559.8 	2531.4 	2639.1 	2515.3 	2751.0 	2752.2 	2889.7 	2679.1 	2958.1 	2910.3 	3078.0 	2884.6 	3216.9 	3136.5 	3346.3 	3201.3 	3546.7 
D1,NSA,CP_MNAC,AT	21505.7 	22954.2 	22375.9 	23217.1 	21748.8 	23131.8 	22696.5 	23613.1 	21932.1 	23597.1 	23154.4 	24108.3 	22771.9 	24528.3 	23990.1 	24986.4 	23688.0 	25390.8 	24836.0 	25924.8 	24613.7 	26404.7 	25701.4 	26630.9 	25260.0 	26964.5 	26203.3 	27160.0 	25681.2 	27524.7 	26700.5 	27657.0 	26307.9 	28077.0 	27287.3 	28316.3 	26880.2 	28808.7 	28002.9 	29068.7 	27682.1 	29690.3 	28885.2 	30135.1 	28864.2 	31075.6 	30345.1 	31723.6 	30510.3 	32589.6 	31776.4 	33286.9 	32339.8 	34465.3 	33429.0 	34690.6 	32967.8 	34721.0 	33624.1 	34881.3 	33123.8 	35404.4 	34391.1 	35958.7 	34366.2 	36797.1 	35808.8 	37346.1 	35861.4 	38362.8 	37309.7 	38790.4 	36857.4 	39549.1 	38326.8 	39775.9 	37920.3 	40699.8 	39287.5 	40881.4 	38938.3 	41750.0 	40613.1 	42359.5 	40641.7 	43405.8 	42100.5 	43875.0 	41969.0 	44858.8 	43430.4 	45524.3 	43964.5 	47046.4 
D1,NSA,CP_MNAC,BE	25403.0 	27485.0 	24329.0 	29287.0 	25722.0 	28150.0 	24983.0 	29785.0 	27052.0 	29122.0 	25897.0 	30792.0 	27994.0 	29874.0 	26938.0 	32071.0 	29130.0 	31377.0 	28355.0 	34102.0 	30691.0 	32793.0 	29413.0 	35624.0 	31983.0 	34670.0 	31303.0 	37708.0 	33659.0 	36488.0 	32213.0 	38552.0 	34005.0 	36936.0 	32991.0 	39635.0 	35140.0 	37881.0 	33717.0 	40996.0 	36133.0 	39318.0 	35123.0 	42279.0 	38010.0 	41271.0 	36547.0 	44412.0 	39977.0 	43590.0 	38451.0 	46877.0 	42117.0 	45709.0 	40946.0 	49589.0 	43172.0 	46070.0 	40880.0 	49501.0 	43273.0 	47004.0 	41834.0 	51119.0 	45496.0 	48984.0 	44029.0 	53117.0 	47134.0 	51088.0 	45279.0 	54804.0 	48035.0 	52046.0 	46288.0 	55903.0 	49076.0 	52598.0 	46812.0 	56365.0 	49343.0 	53514.0 	46946.0 	56738.0 	49941.0 	54035.0 	47758.0 	57411.0 	50927.0 	56055.0 	49482.0 	59679.0 	52442.0 	57747.0 
D1,NSA,CP_MNAC,BG	67.6 	83.5 	101.5 	127.3 	73.6 	94.1 	171.0 	319.3 	689.8 	1342.3 	1867.4 	2069.7 	2126.1 	2297.8 	2368.3 	2441.3 	2195.7 	2298.3 	2400.1 	2456.5 	2299.3 	2483.6 	2542.5 	2644.2 	2530.4 	2755.0 	2786.9 	2975.1 	2759.7 	2844.6 	2892.8 	3251.3 	2971.5 	3109.0 	3132.9 	3473.7 	3219.8 	3328.6 	3438.7 	3864.0 	3457.9 	3731.3 	3955.1 	4565.8 	3766.6 	4133.7 	4378.0 	5137.3 	4388.0 	4759.9 	5198.1 	6097.8 	5339.1 	5844.3 	6070.2 	7197.8 	6081.5 	6504.1 	6486.2 	6797.8 	6583.5 	6773.4 	6608.5 	7228.2 	6597.7 	7106.3 	7172.3 	7713.7 	6941.5 	7514.9 	7666.3 	8117.0 	7651.8 	8166.9 	8149.1 	8560.0 	7870.1 	8519.4 	8691.1 	9201.8 	8372.7 	9012.7 	9164.0 	10023.4 	9158.2 	9718.6 	9943.2 	10567.6 	9977.5 	10680.0 	11146.4 	11860.6 	10681.5 p	11421.7 p
D1,NSA,CP_MNAC,CY	722.1 	784.5 	733.6 	857.7 	758.6 	822.2 	779.3 	914.6 	807.9 	874.5 	833.7 	980.1 	856.9 	921.3 	859.6 	1028.9 	909.4 	985.3 	910.0 	1103.0 	969.7 	1037.9 	993.7 	1208.3 	1048.9 	1106.4 	1040.8 	1289.9 	1124.5 	1192.6 	1124.4 	1396.7 	1235.4 	1315.9 	1231.4 	1582.2 	1323.4 	1416.3 	1339.6 	1636.5 	1502.2 	1580.6 	1480.3 	1822.2 	1634.8 	1720.9 	1610.7 	1964.6 	1803.7 	1879.9 	1796.8 	2150.6 	1960.5 	2031.4 	2010.8 	2376.5 	2083.8 	2152.5 	2056.1 	2630.4 	2187.7 	2227.7 	2149.4 	2640.4 	2242.6 	2309.9 	2243.7 	2695.1 	2271.3 	2308.5 	2200.3 	2579.9 	2095.3 	2030.9 	1929.2 	2255.6 	1862.0 	1915.4 	1835.8 	2233.4 	1862.6 	1925.5 	1845.4 	2237.3 	1888.8 	1989.7 	1912.8 	2360.2 	1938.0 	2076.3 	2027.2 	2488.3 	2064.0 	2188.3 
D1,NSA,CP_MNAC,CZ	137355.0 	149428.0 	155042.0 	178270.0 	159502.0 	182540.0 	179109.0 	207278.0 	177890.0 	204622.0 	196825.0 	217985.0 	191881.0 	210192.0 	204887.0 	230169.0 	196188.0 	215793.0 	210803.0 	239182.0 	208176.0 	226951.0 	224366.0 	255692.0 	224775.0 	246626.0 	243364.0 	273673.0 	243106.0 	266124.0 	259641.0 	292068.0 	257101.0 	278034.0 	274827.0 	308623.0 	280125.0 	295814.0 	300225.0 	336169.0 	301027.0 	319682.0 	323485.0 	354989.0 	323369.0 	343007.0 	345414.0 	382214.0 	353542.0 	371421.0 	374669.0 	413425.0 	390393.0 	401124.0 	397537.0 	427683.0 	384187.0 	387739.0 	379638.0 	416838.0 	377565.0 	391912.0 	394145.0 	427484.0 	388159.0 	402713.0 	402562.0 	432958.0 	401568.0 	410475.0 	408621.0 	444037.0 	401651.0 	415521.0 	416070.0 	442941.0 	416920.0 	429224.0 	428359.0 	460157.0 	435757.0 	451429.0 	448993.0 	484910.0 	461746.0 	475938.0 	476532.0 	513931.0 	491825.0 	517454.0 	516902.0 	562520.0 	544482.0 	569886.0 
