unit,sex,citizen,age,wstatus,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
THS,T,TOTAL,Y15-74,POP,AT	6016.6 	6027.1 	6026.2 	6026.6 	6028.8 	6047.6 	6063.6 	5989.9 	6088.0 	6120.2 b	6197.0 b	6238.7 	6276.3 	6312.9 	6342.3 	6368.7 	6397.5 	6439.6 	6486.3 	6527.3 	6555.2 	6612.2 	6614.7 
THS,T,TOTAL,Y15-74,POP,BE	7671.6 	7672.7 	7682.7 	7686.2 	7694.2 b	7698.4 	7701.0 	7726.0 	7757.1 	7784.8 	7839.6 b	7878.6 	7927.5 	7985.2 	8042.2 	8100.7 	8162.3 	8211.0 	8247.4 	8277.1 	8317.0 	8360.2 	8359.0 b
THS,T,TOTAL,Y15-74,POP,BG	: 	: 	: 	: 	: 	6362.4 	6204.3 b	6225.0 	6166.5 	6137.4 	6116.4 b	6067.8 	6028.6 	5986.7 	5939.5 	5827.0 b	5766.2 b	5698.1 	5649.3 	5608.7 	5562.9 	5510.3 	5454.8 
THS,T,TOTAL,Y15-74,POP,CY	: 	: 	: 	: 	473.6 	482.3 	490.4 	494.6 	506.7 	521.6 	546.3 b	553.5 	574.3 	580.9 	596.3 b	615.9 	634.7 	644.6 	641.8 	634.8 	627.1 	628.7 	638.7 
THS,T,TOTAL,Y15-74,POP,CZ	: 	: 	7976.8 	7987.4 	7998.6 	7998.2 	7994.0 	7994.9 	8006.9 	8068.4 	8099.2 b	8148.2 	8187.8 	8275.6 	8333.6 	8334.6 	8271.8 b	8268.8 	8237.8 	8214.3 	8201.0 	8174.5 	8161.6 
THS,T,TOTAL,Y15-74,POP,DE	62575.2 	62806.5 	62750.0 	62972.5 	62944.9 	63139.7 	63223.0 	63360.4 	63478.5 	63610.4 	63915.2 b	63949.9 	63930.6 	63878.8 	63608.6 	61922.1 b	61423.5 	61430.2 	61375.5 	61363.9 	61544.1 	62061.3 	62053.9 
THS,T,TOTAL,Y15-74,POP,DK	3943.2 	3958.4 	3962.2 	3957.7 	3972.4 	3961.6 	3978.9 	3965.5 	3969.6 	3993.0 	4011.2 b	4029.0 	4048.2 	4089.4 	4122.5 	4150.0 	4174.5 	4196.9 	4224.5 	4252.8 	4283.5 	4320.0 b	4341.3 b
THS,T,TOTAL,Y15-74,POP,EE	: 	: 	1032.2 	1046.0 	1042.8 	1068.5 b	1070.0 	1062.0 	1055.6 	1052.3 	1049.8 b	1048.6 	1041.4 	1035.5 	1029.8 	1023.9 	1016.7 	1005.8 	995.9 	987.0 	979.7 	977.5 	972.0 
THS,T,TOTAL,Y15-74,POP,EL	7882.5 	7956.1 	8022.1 	8035.9 b	8116.5 	8188.1 	8464.3 b	8435.7 	8449.1 	8463.2 b	8474.2 b	8478.2 	8480.9 	8470.2 	8432.5 b	8367.2 	8306.4 	8246.5 	8183.7 	8134.8 	8086.3 	8047.1 	8012.1 
THS,T,TOTAL,Y15-74,POP,ES	30036.3 	30246.7 	30493.8 	30682.8 	30922.9 	31184.8 	31642.0 	32144.1 	32685.7 	33182.6 	33836.2 b	34225.0 	34766.5 	35243.1 	35369.5 	35344.7 	35332.2 	35240.1 	35036.6 	34975.2 	34953.7 	34907.0 	35039.9 
THS,T,TOTAL,Y15-74,POP,FI	3773.8 	3822.9 	3850.5 	3859.9 	3869.6 	3880.0 b	3888.3 	3897.5 	3906.8 	3911.4 	3927.7 b	3940.3 	3960.5 	3981.3 	4005.4 	4025.1 	4038.2 	4055.1 	4067.1 	4075.8 	4081.3 	4090.9 	4096.7 
THS,T,TOTAL,Y15-74,POP,FR	41598.4 	41678.7 	41812.2 	41997.3 	42146.9 	42384.2 	42674.8 	42844.5 	43390.5 b	43642.1 	44021.7 b	44250.1 	44431.4 	44588.0 	44721.0 	44865.9 	45039.0 	45205.3 	45426.3 	46943.5 b	47114.8 	47372.3 	47713.7 
THS,T,TOTAL,Y15-74,POP,HR	: 	: 	: 	: 	: 	: 	: 	3250.1 	3288.3 	3289.6 	3301.1 b	3291.8 	3326.8 	3324.7 	3312.5 	3297.7 	3283.5 	3270.5 	3258.2 	3242.9 	3210.3 	3184.9 	3161.5 
THS,T,TOTAL,Y15-74,POP,HU	: 	7768.9 	7768.8 	7737.9 	7700.6 	7662.4 	7773.4 b	7763.1 	7747.6 	7719.1 	7722.3 b	7717.1 	7703.5 	7689.9 	7676.1 	7662.7 	7649.3 	7635.8 	7609.7 	7573.3 	7537.9 	7507.5 	7460.4 
THS,T,TOTAL,Y15-74,POP,IE	2503.1 	2550.1 	2606.7 	2687.0 b	2729.0 	2777.4 	2833.2 	2899.3 	2951.1 	3003.0 	3090.0 b	3179.7 	3300.2 b	3363.4 	3379.1 	3374.2 	3369.9 	3372.1 	3383.4 	3404.5 	3436.5 	3479.2 	3523.0 b
THS,T,TOTAL,Y15-74,POP,IT	44263.3 	44363.6 	44425.2 	44459.2 	44398.2 	44432.4 	44461.5 	44538.3 	44544.1 	44076.6 b	44374.8 b	44493.6 	44590.1 	44868.8 	45074.8 	45175.5 	45260.8 	45382.1 	45556.5 	45626.4 	45520.1 	45371.6 	45277.5 
THS,T,TOTAL,Y15-74,POP,LT	: 	: 	: 	2647.5 	2635.8 	2626.8 	2605.8 	2604.4 b	2605.5 	2592.3 	2566.1 b	2523.1 	2501.1 	2479.8 	2461.0 	2426.4 	2327.6 	2290.7 	2261.9 	2237.5 	2211.5 	2175.2 	2129.1 
THS,T,TOTAL,Y15-74,POP,LU	309.3 	314.2 	319.3 	321.3 	323.7 	324.6 	329.0 	329.8 	335.8 b	339.3 	342.8 b	346.8 	353.5 b	357.5 	372.6 b	378.1 	389.6 	399.5 	403.3 	410.3 	425.1 b	436.2 	452.9 
THS,T,TOTAL,Y15-74,POP,LV	: 	: 	: 	1835.4 	1832.8 	1827.2 	1789.0 	1773.8 b	1764.7 	1755.3 	1740.7 b	1728.2 	1715.6 	1702.5 	1674.3 	1635.3 	1595.3 	1560.0 	1536.1 	1495.8 	1472.6 	1450.3 	1423.4 
THS,T,TOTAL,Y15-74,POP,MT	: 	: 	: 	: 	: 	289.2 	296.4 	301.6 	302.4 	302.4 	307.9 b	310.4 	312.6 	315.5 	318.8 	321.0 	322.1 	326.1 	331.0 	338.5 	347.4 	355.6 	367.0 
THS,T,TOTAL,Y15-74,POP,NL	11628.6 	11668.5 	11714.9 	11767.9 	11817.5 	11888.3 	11980.7 	12058.9 	12127.2 	12183.4 	12191.1 b	12228.5 	12267.2 	12284.5 	12322.0 	12412.4 b	12452.2 	12540.7 	12637.6 	12664.6 	12685.2 	12768.0 	12870.1 
THS,T,TOTAL,Y15-74,POP,PL	: 	: 	27971.7 	28239.3 	28401.6 	28775.0 b	28978.2 	29173.1 	29139.5 b	29138.1 b	29188.6 b	29283.4 	29212.4 	29090.9 	29104.7 	28609.4 b	28605.0 	28577.3 	28526.6 	28451.9 	28410.3 	28081.6 	27982.8 
THS,T,TOTAL,Y15-74,POP,PT	7639.5 	7703.8 	7743.2 	7792.2 b	7845.8 	7902.3 	7954.8 	7995.5 	8014.0 	8027.3 	8036.4 b	8040.6 	8046.4 	8047.1 	8044.0 	8036.6 	8009.3 b	7965.3 	7907.3 	7859.6 	7825.2 	7804.8 	7789.3 
THS,T,TOTAL,Y15-74,POP,RO	: 	: 	17096.8 	17162.3 	17172.5 	17208.1 	17277.0 	17335.1 	16922.4 b	16954.3 	17019.7 b	17003.1 	16983.7 	16934.5 	16885.5 	15607.0 b	15522.8 	15437.5 	15370.1 	15304.4 	15225.7 	15142.7 	15026.5 
THS,T,TOTAL,Y15-74,POP,SE	6435.9 	6431.9 	6428.3 	6428.9 	6429.9 	6439.0 	6474.6 b	6508.5 	6550.3 	6596.1 	6657.7 b	6724.3 	6797.7 	6873.6 	6950.9 	7017.8 	7073.3 	7114.5 	7155.7 	7205.2 	7257.0 	7322.4 	7402.4 
THS,T,TOTAL,Y15-74,POP,SI	: 	1548.5 	1553.1 	1550.6 	1560.1 	1575.7 	1577.6 	1579.1 	1583.3 	1592.8 	1591.4 b	1594.2 	1601.7 	1612.9 	1607.3 	1610.8 	1606.7 	1602.1 	1595.7 	1589.6 	1585.6 	1580.4 	1577.2 
THS,T,TOTAL,Y15-74,POP,SK	: 	: 	: 	4009.5 	4039.7 b	4072.6 	4098.2 	4106.6 	4111.5 	4143.8 	4189.1 b	4228.3 	4239.7 	4260.8 	4289.5 	4305.4 	4271.5 b	4279.6 	4285.6 	4286.4 	4285.5 	4281.9 	4274.8 
THS,T,TOTAL,Y15-74,POP,UK	42566.2 	42644.4 	42688.7 	42796.0 	42422.0 b	42636.0 	42901.6 	43167.6 	43476.8 	43768.4 b	44230.8 b	44657.4 	45056.5 b	45437.8 b	45777.9 	46124.5 	46482.5 	46733.9 	46965.0 	47256.7 	47568.1 	47819.7 	48042.0 
