unit,sex,geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_ACT,T,AT	: 	: 	: 	: 	: 	: 	1.1 	1.1 	1.5 b	1.4 	1.5 	1.3 b	1.0 	1.2 	1.2 	1.2 	1.2 	1.3 	1.5 	1.7 	1.9 	1.8 
PC_ACT,T,BE	: 	: 	: 	4.9 b	3.8 	3.2 b	3.7 	3.7 	4.1 	4.4 	4.2 	3.8 	3.3 	3.5 	4.0 	3.5 	3.4 	3.9 	4.3 	4.4 	4.0 	3.5 b
PC_ACT,T,BG	: 	: 	: 	: 	9.6 	12.6 b	12.0 	9.0 	7.2 	6.0 	5.0 	4.1 	2.9 	3.0 	4.7 b	6.3 b	6.8 	7.4 	6.9 	5.6 	4.5 	3.4 
PC_ACT,T,CY	: 	: 	: 	: 	: 	: 	: 	: 	1.3 e	1.3 	0.9 	0.7 	0.5 	0.6 b	1.3 	1.6 	3.6 	6.1 	7.7 	6.8 	5.8 	4.5 
PC_ACT,T,CZ	: 	: 	2.0 	3.2 	4.2 	4.2 	3.7 	3.8 	4.2 	4.2 	3.9 	2.8 	2.2 	2.0 	3.0 	2.7 b	3.0 	3.0 	2.7 	2.4 	1.7 	1.0 
PC_ACT,T,DE	: 	: 	: 	: 	: 	: 	: 	: 	5.5 e	5.9 b	5.7 	4.9 	3.9 	3.5 	3.3 b	2.8 b	2.4 	2.3 	2.2 	2.0 	1.7 	1.6 
PC_ACT,T,DK	: 	: 	: 	1.2 b	1.0 	0.9 	0.9 	1.1 	1.2 	1.1 	0.8 	0.6 	0.5 	0.6 	1.5 	1.8 	2.1 	1.8 	1.7 	1.7 	1.4 b	1.3 b
PC_ACT,T,EE	: 	: 	: 	: 	6.7 b	6.4 	6.1 	4.8 	5.2 	4.4 	2.9 	2.3 	1.7 	3.7 	7.6 	7.1 	5.5 	3.8 	3.3 	2.4 	2.1 	1.9 
PC_ACT,T,EL	: 	: 	6.0 b	6.6 	6.2 	5.5 b	5.3 	5.4 	5.6 b	5.2 	4.9 	4.2 	3.7 	3.9 b	5.7 	8.8 	14.5 	18.5 	19.5 	18.2 	17.0 	15.6 
PC_ACT,T,ES	11.6 	10.7 	9.3 	7.2 	5.8 	3.8 b	3.8 	3.8 	3.5 	2.2 b	1.8 	1.7 	2.0 	4.3 	7.3 	8.9 	11.0 	13.0 	12.9 	11.4 	9.5 	7.7 
PC_ACT,T,FI	: 	: 	: 	2.9 	2.7 b	2.5 	2.2 	2.3 	2.1 	2.1 	1.9 	1.5 	1.2 	1.4 	2.0 	1.7 	1.6 	1.7 	1.9 	2.3 	2.3 	2.1 
PC_ACT,T,FR	: 	: 	: 	: 	: 	: 	: 	: 	3.7 e	3.7 e	3.8 e	3.3 e	2.9 e	3.3 e	3.9 e	4.0 e	4.1 e	4.4 e	4.5 	4.6 	4.6 	4.2 
