na_item,nace_r2,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
SAL_DC,TOTAL,PCH_PRE_PER,AT	: 	-0.1 	0.9 	1.1 	1.7 	1.2 	0.7 	-0.2 	0.5 	0.5 	1.2 	1.7 	2.0 	1.9 	-0.7 	0.9 	1.8 	1.4 	0.6 	0.9 	1.1 	1.5 	1.9 
SAL_DC,TOTAL,PCH_PRE_PER,BE	: 	0.1 	0.8 	2.2 	1.7 	2.5 	1.8 	0.0 	-0.1 	1.1 	1.6 	1.2 	1.8 	1.9 	-0.4 	0.6 	1.4 	0.3 	-0.5 	0.4 	0.8 	1.2 	1.3 
SAL_DC,TOTAL,PCH_PRE_PER,BG	: 	0.8 	-5.3 	-2.7 	-5.1 	-3.0 	-2.3 	0.4 	3.7 	2.8 	3.7 	4.3 	4.2 	2.4 	-2.1 	-4.4 	-1.5 	-1.8 p	-1.1 p	-0.2 p	1.0 p	1.8 p	0.3 p
SAL_DC,TOTAL,PCH_PRE_PER,CY	: 	1.0 	1.2 	2.0 	2.0 	1.6 	2.7 	2.9 	2.8 	4.3 	4.8 	4.1 	8.1 	6.4 	0.7 	2.5 	1.0 	-3.1 	-6.2 	-2.1 	1.6 	4.7 	3.9 p
SAL_DC,TOTAL,PCH_PRE_PER,CZ	: 	0.4 	-0.9 	-3.2 	-3.0 	-1.2 	-0.3 	-0.4 	-2.1 	0.4 	3.1 	1.3 	2.3 	2.7 	-2.4 	-2.0 	-0.5 	0.6 	1.0 	0.9 	1.9 	1.8 	1.8 
SAL_DC,TOTAL,PCH_PRE_PER,DE	0.3 	-0.1 	-0.2 	1.2 	1.7 	2.5 	-0.3 	-0.6 	-1.4 	0.0 	-0.5 	0.7 	1.8 	1.6 	0.1 	0.3 	1.3 	1.3 	0.9 	1.1 	1.2 	1.5 	1.7 
SAL_DC,TOTAL,PCH_PRE_PER,DK	1.0 	1.2 	1.7 	1.7 	1.0 	1.0 	1.2 	-0.1 	-0.9 	-0.2 	1.6 	2.4 	2.5 	1.3 	-3.1 	-2.3 	0.0 	-0.7 	0.1 	0.9 	1.3 	1.8 	1.8 
SAL_DC,TOTAL,PCH_PRE_PER,EE	: 	-3.0 	-0.3 	-2.6 	-4.5 	0.8 	1.2 	0.2 	1.1 	-1.3 	4.3 	4.5 	-1.0 	1.3 	-10.7 	-5.1 	6.3 	1.3 	0.9 	0.9 	2.8 	0.1 	1.8 
SAL_DC,TOTAL,PCH_PRE_PER,EL	: 	-0.3 	0.2 	4.8 	2.1 	1.5 	2.1 	4.1 	2.2 	3.4 	-1.9 	3.8 	2.6 	2.0 	-0.7 	-1.3 	-7.3 p	-7.0 p	-2.3 p	1.2 p	1.0 p	0.9 p	1.7 p
SAL_DC,TOTAL,PCH_PRE_PER,ES	: 	1.8 	5.4 	4.9 	5.4 	5.6 	3.9 	3.1 	4.1 	4.1 	4.9 	4.9 	3.8 	0.4 	-6.1 	-1.6 	-2.6 	-4.7 	-3.0 	1.2 	3.2 	2.9 p	2.9 p
SAL_DC,TOTAL,PCH_PRE_PER,FI	2.1 	1.6 	3.7 	3.0 	2.5 	2.4 	2.0 	1.4 	0.3 	0.6 	1.7 	1.6 	2.2 	2.2 	-3.1 	-0.6 	1.2 	0.8 	-0.5 	-0.7 	-0.4 	0.6 	1.9 
SAL_DC,TOTAL,PCH_PRE_PER,FR	1.5 	1.0 	1.1 	2.2 	2.7 	2.9 	1.7 	0.6 	0.0 	0.1 	0.6 	1.1 	1.5 	0.5 	-1.3 	-0.2 	0.4 	0.0 	-0.2 	0.4 	0.2 	0.8 p	1.2 p
SAL_DC,TOTAL,PCH_PRE_PER,HR	: 	0.0 p	0.1 p	-0.2 p	0.0 p	-0.7 p	0.2 p	0.4 p	2.6 p	1.4 p	0.8 p	4.2 p	4.4 p	3.2 d	-0.7 d	-5.0 d	-3.8 d	-1.1 d	-0.7 d	5.8 d	1.2 d	2.4 d	4.0 d
SAL_DC,TOTAL,PCH_PRE_PER,HU	: 	-1.1 	0.5 	2.7 	2.3 	2.4 	1.1 	0.4 	1.3 	-0.8 	0.7 	1.1 	0.8 	-1.8 	-2.2 	-0.8 	0.2 	0.1 	2.1 	5.2 	2.9 	3.3 	2.0 
SAL_DC,TOTAL,PCH_PRE_PER,IE	: 	4.5 	4.1 	4.0 	7.3 	5.4 	3.6 	1.9 	2.2 	3.3 	5.8 	5.5 	3.6 	-1.3 	-8.0 	-4.5 	-1.4 b	-0.4 	2.7 	3.0 	3.8 	4.1 	3.8 
SAL_DC,TOTAL,PCH_PRE_PER,IT	: 	0.4 	0.4 	0.9 	1.4 	1.8 	2.3 	2.2 	1.2 	0.2 	1.7 	2.2 	1.5 	0.7 	-1.2 	-1.1 	0.5 	-0.2 	-1.7 	0.2 	1.1 	2.0 	2.2 
SAL_DC,TOTAL,PCH_PRE_PER,LT	: 	-4.4 	-0.1 	3.4 	-1.8 	-3.9 	-4.0 	3.2 	1.8 	1.2 	2.4 	-0.1 	5.1 	2.1 	-8.0 	-4.1 	0.8 	1.2 	0.5 	1.6 	1.1 	1.9 	-0.1 
SAL_DC,TOTAL,PCH_PRE_PER,LU	: 	2.6 	3.6 	4.7 	5.1 	5.7 	5.8 	3.1 	1.9 	2.3 	2.8 	4.1 	4.6 	4.9 	1.0 	1.8 	3.0 	2.5 	1.8 	2.5 	2.6 	3.0 	3.5 
SAL_DC,TOTAL,PCH_PRE_PER,LV	: 	0.6 	4.5 	-0.4 	-1.8 	-3.4 	1.5 	2.6 	1.8 	0.4 	2.5 	5.5 	4.7 	0.0 	-15.6 	-6.7 	1.7 	1.4 	2.1 	-1.3 	0.3 	-0.6 	0.3 
