na_item,s_adj,unit,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
RLPR_PER,NSA,I10,AT	: 	: 	: 	: 	83.1 	86.0 	85.9 	90.3 	83.7 	86.7 	87.0 	92.5 	86.4 	89.7 	89.2 	93.6 	87.3 	90.9 	91.5 	96.4 	90.7 	93.4 	92.9 	97.9 	92.5 	93.9 	92.8 	97.7 	93.7 	95.6 	94.7 	99.5 	94.1 	95.9 	95.0 	99.7 	95.8 	97.9 	97.3 	101.7 	95.9 	99.6 	98.0 	103.2 	98.4 	100.3 	99.4 	105.3 	100.8 	102.9 	100.9 	106.4 	101.7 	102.8 	100.8 	103.9 	96.2 	97.4 	98.1 	104.1 	96.2 	99.1 	99.8 	104.9 	100.1 	101.0 	100.0 	104.3 	100.3 	100.0 	99.5 	104.3 	98.9 	99.4 	99.5 	104.9 	98.6 	99.3 	99.0 	104.7 	98.7 	99.8 	100.1 	105.2 	100.2 	101.0 	100.2 	105.6 	101.4 	101.5 	101.2 	106.2 	103.1 	102.2 
RLPR_PER,NSA,I10,BE	83.8 	86.7 	82.0 	89.2 	84.6 	88.0 	83.1 	90.4 	86.9 	90.9 	85.9 	92.9 	88.7 	91.3 	85.4 	92.1 	88.7 	92.7 	87.8 	95.9 	91.1 	94.6 	88.4 	96.8 	91.1 	94.2 	87.7 	95.9 	91.5 	95.7 	89.9 	99.1 	93.3 	96.2 	90.2 	99.8 	95.0 	99.0 	93.0 	102.4 	95.9 	99.5 	93.1 	103.4 	97.5 	100.7 	94.3 	104.8 	99.3 	102.7 	96.1 	106.1 	99.5 	103.0 	95.1 	102.6 	95.3 	98.5 	93.8 	104.2 	97.6 	101.4 	95.5 	105.4 	98.8 	101.8 	95.8 	105.4 	98.6 	101.6 	95.6 	105.1 	98.0 	102.2 	96.4 	106.5 	99.3 	103.1 	97.1 	107.0 	99.9 	104.1 	97.3 	107.4 	100.0 	104.4 	97.4 	107.5 	100.2 	104.4 	97.7 	108.3 	100.4 	104.6 
RLPR_PER,NSA,I10,BG	56.6 	64.0 	72.4 	93.8 	73.3 	68.3 	77.1 	86.8 	56.1 	55.7 	70.6 	78.9 	63.9 	57.4 	73.1 	82.7 	60.3 	55.6 	71.9 	77.6 	63.5 	61.5 	75.6 	84.7 	66.1 	65.6 	79.2 	86.5 	70.2 	69.4 	83.5 	91.0 	73.9 	71.5 	83.3 	91.8 	75.1 	74.2 	87.2 	96.0 	79.6 	78.1 	89.8 	99.5 	80.3 	81.4 	93.7 	103.2 	83.2 	86.5 	96.2 	107.2 	86.7 	91.1 	99.9 	108.8 	83.8 	88.9 	100.4 	106.6 	84.7 	95.9 	103.6 	115.7 	87.7 	101.8 	108.6 	118.6 	91.0 p	104.4 p	110.8 p	121.5 p	91.9 p	102.8 p	111.9 p	125.1 p	92.3 p	104.5 p	112.6 p	128.7 p	95.0 p	107.4 p	116.6 p	132.7 p	98.1 p	110.6 p	121.2 p	137.6 p	100.6 p	113.8 p	123.0 p	138.9 p	102.9 p	117.3 p
RLPR_PER,NSA,I10,CY	81.7 	84.3 	83.8 	85.6 	81.0 	80.8 	80.6 	83.6 	81.4 	82.3 	83.2 	85.7 	83.9 	85.9 	87.5 	90.1 	86.9 	88.8 	89.6 	92.8 	90.2 	96.5 	93.7 	93.0 	90.7 	95.8 	97.4 	95.9 	92.9 	97.8 	97.2 	98.1 	92.6 	95.1 	97.0 	97.7 	93.0 	96.1 	98.2 	99.0 	94.8 	96.9 	98.4 	100.6 	98.3 	100.1 	100.9 	102.5 	99.5 	100.4 	100.6 	103.8 	101.6 	101.2 	99.7 	102.4 	97.4 	98.6 	98.4 	102.2 	98.8 	99.1 	99.9 	102.3 	99.2 	100.5 	99.2 	102.7 	100.6 	100.2 	100.8 	101.3 	98.7 	100.0 	102.0 	102.8 	100.4 	101.2 	101.7 	102.2 	100.8 	101.9 	101.7 	102.9 	101.1 	101.9 	101.8 	103.4 	102.3 p	103.0 p	101.9 p	102.6 p	101.9 p	102.6 p
RLPR_PER,NSA,I10,CZ	: c	: c	: c	: c	64.6 	69.3 	70.4 	71.1 	65.0 	69.6 	70.3 	70.8 	65.4 	70.0 	71.5 	72.7 	67.0 	72.6 	74.0 	76.2 	71.2 	76.3 	77.6 	79.6 	74.0 	79.1 	79.3 	82.0 	75.3 	79.0 	80.8 	82.5 	77.0 	82.7 	85.1 	86.9 	81.3 	86.9 	88.3 	92.0 	84.9 	91.7 	92.0 	95.6 	89.8 	96.1 	97.3 	100.8 	93.5 	99.0 	100.3 	104.5 	94.8 	101.1 	102.0 	101.3 	90.9 	96.7 	98.4 	101.2 	94.1 	101.0 	100.7 	104.2 	96.9 	103.1 	102.5 	105.8 	97.3 	101.8 	100.7 	103.6 	94.5 	99.9 	101.1 	104.6 	96.2 	102.6 	104.1 	105.7 	99.8 	106.9 	108.0 	109.6 	101.2 	109.1 	108.1 	109.5 	103.3 	111.6 	111.2 	113.3 	104.9 	112.5 
RLPR_PER,NSA,I10,DE	88.5 	89.5 	90.7 	90.7 	88.3 	89.8 	92.0 	92.1 	89.0 	92.7 	93.7 	93.7 	92.4 	92.5 	93.8 	93.3 	91.5 	92.8 	94.3 	94.7 	93.1 	93.8 	94.7 	94.2 	95.1 	95.4 	96.7 	96.0 	94.2 	95.8 	98.2 	96.7 	95.0 	96.0 	98.4 	97.1 	96.6 	96.9 	98.5 	97.5 	96.0 	98.5 	99.8 	98.2 	100.0 	100.0 	102.2 	101.5 	102.2 	101.6 	103.9 	102.1 	102.7 	103.4 	103.8 	99.1 	95.3 	95.0 	98.1 	97.1 	98.3 	99.3 	102.0 	100.5 	102.8 	101.6 	103.8 	101.0 	103.0 	100.8 	102.9 	99.8 	100.8 	101.0 	103.5 	100.6 	103.1 	101.6 	104.3 	102.3 	103.7 	102.6 	105.1 	103.1 	104.4 	105.0 	105.8 	103.2 	106.4 	104.4 	106.5 	104.0 	106.2 	105.4 
RLPR_PER,NSA,I10,DK	85.4 	84.8 	82.8 	88.0 	86.4 	87.2 	84.8 	89.0 	88.0 	89.3 	86.3 	90.1 	90.0 	87.8 	87.4 	91.5 	89.9 	90.4 	88.9 	94.8 	92.5 	92.9 	91.8 	97.7 	92.8 	92.2 	92.4 	96.9 	92.9 	93.6 	92.3 	96.9 	94.5 	93.5 	92.9 	99.9 	97.1 	97.1 	96.5 	102.3 	96.4 	99.6 	97.7 	102.7 	98.5 	101.6 	99.5 	103.3 	97.5 	98.1 	98.2 	103.6 	97.1 	99.0 	96.2 	98.3 	94.4 	95.0 	94.7 	99.6 	97.5 	99.7 	99.5 	103.3 	100.2 	102.0 	99.3 	104.1 	101.1 	102.3 	101.1 	104.8 	101.4 	103.9 	102.0 	105.9 	102.4 	103.5 	103.3 	107.2 	103.4 	105.1 	102.7 	105.8 	102.4 	105.9 	103.1 	107.2 	106.0 	106.2 	102.5 	107.0 	102.7 	106.1 
RLPR_PER,NSA,I10,EE	44.0 	48.0 	46.9 	47.7 	45.5 	51.0 	51.9 	52.9 	50.1 	57.3 	57.8 	59.8 	56.1 	61.5 	60.6 	60.6 	57.5 	63.8 	61.7 	64.6 	64.0 	69.9 	66.6 	71.1 	67.7 	74.9 	70.6 	73.7 	69.7 	78.9 	76.7 	79.4 	76.3 	82.8 	79.3 	82.1 	81.8 	84.7 	86.0 	89.3 	85.0 	92.7 	92.3 	95.3 	89.5 	96.6 	96.8 	101.5 	98.5 	105.3 	102.5 	107.1 	92.1 	103.9 	100.6 	95.2 	87.2 	96.2 	90.8 	98.0 	93.4 	103.5 	99.7 	103.4 	96.0 	103.9 	99.8 	104.4 	98.3 	106.6 	102.4 	107.3 	99.5 	104.9 	103.7 	109.4 	102.2 	108.0 	105.5 	110.4 	100.4 	108.7 	103.1 	110.3 	103.3 	108.9 	107.9 	115.8 	106.0 	115.0 	109.4 	114.9 	108.5 	116.1 
RLPR_PER,NSA,I10,EL	74.0 	76.4 	83.7 	83.9 	76.2 	78.5 	86.9 	87.4 	79.2 	82.6 	91.3 	91.9 	80.6 	82.6 	89.8 	90.4 	81.5 	85.1 	93.0 	94.6 	86.1 	87.7 	96.0 	96.7 	89.9 	91.5 	99.6 	99.5 	91.9 	94.6 	100.4 	98.8 	94.9 	98.8 	104.3 	104.5 	99.2 	101.3 	107.6 	104.9 	98.5 	101.3 	107.0 	104.9 	102.0 	106.0 	108.8 	110.4 	102.9 	110.5 	112.1 	109.8 	103.2 	107.3 	110.4 	107.4 	95.6 	103.7 	106.5 	106.6 	97.4 	101.0 	101.3 	100.3 	91.9 p	98.4 p	102.3 p	97.9 p	89.8 p	96.5 p	101.5 p	98.7 p	89.1 p	96.0 p	101.6 p	96.9 p	90.7 p	96.5 p	101.1 p	94.6 p	90.0 p	95.4 p	98.4 p	95.3 p	88.3 p	94.4 p	98.8 p	94.8 p	87.9 p	93.5 p	98.0 p	94.0 p	88.6 p	93.8 p
RLPR_PER,NSA,I10,ES	90.6 	94.1 	91.2 	96.9 	92.1 	95.4 	92.5 	97.4 	91.4 	94.9 	92.4 	98.5 	91.9 	95.0 	92.1 	98.0 	91.4 	95.1 	92.2 	98.1 	92.7 	95.4 	92.0 	97.8 	93.2 	95.7 	92.5 	98.9 	93.7 	96.1 	92.5 	99.0 	93.9 	96.0 	92.2 	98.7 	93.1 	95.6 	92.1 	97.8 	92.5 	95.5 	91.4 	97.2 	92.4 	95.5 	91.3 	97.5 	92.7 	95.8 	91.6 	98.4 	92.7 	96.5 	92.9 	100.0 	95.1 	99.1 	95.9 	102.9 	97.3 	101.3 	97.5 	103.9 	99.4 	102.7 	99.7 	105.1 	100.9 	104.0 	100.6 	106.2 	101.5 	105.4 	101.5 	107.0 	103.1 	105.6 	101.6 	106.7 	103.4 	106.5 	102.5 	107.9 	104.4 p	107.5 p	103.1 p	107.8 p	104.7 p	108.2 p	103.1 p	108.5 p	105.4 p	108.5 p
