unit,direct,na_item,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CP_MNAC,PAID,B8N,S1,AT	14580 	14200 	14925 	16285 	15428 	18472 	17297 	21105 	20384 	22766 	22614 	27355 	33774 	35508 	21138 	24641 	27193 	26094 	24457 	26665 	26699 	31956 	35015 
CP_MNAC,PAID,B8N,S1,BE	22625 	20258 	24299 	24633 	26659 	28445 	25757 	26440 	25276 	28928 	29304 	31342 	35990 	29685 	10923 	26078 	18164 	19401 	14167 	14354 	15543 	20454 	: 
CP_MNAC,PAID,B8N,S1,BG	137 b	-139 b	2270 b	3298 b	26 b	262 	977 	1661 	911 	1338 	1008 	512 	-2374 	1829 	4558 	4979 	6248 	6459 	7983 	5736 	6568 	9569 	: 
CP_MNAC,PAID,B8N,S1,CY	879 	751 	387 	1081 	373 	246 	451 	580 	593 	-450 	-596 	-883 	-2546 	434 	698 	125 	538 	-404 	-843 	-968 	-122 	-151 p	: 
CP_MNAC,PAID,B8N,S1,CZ	147573 	164823 	97779 	142935 	100025 	117576 	133105 	94536 	82906 	136981 	195514 	216981 	287861 	239441 	48459 	24608 	36793 	92621 	60270 	124905 	245203 	245708 	291612 
CP_MNAC,PAID,B8N,S1,DE	120264 	109991 	114811 	125391 	116408 	115389 	113374 	107702 	90107 	150076 	146369 	208515 	270298 	236671 	138268 	194791 	261472 	237239 	234941 	280182 	321686 	343544 	354295 
CP_MNAC,PAID,B8N,S1,DK	51347 	55472 	71492 	64223 	80970 	103375 	114654 	103594 	101278 	114037 	150684 	185318 	167237 	157358 	75008 	125507 	150754 	155453 	195857 	240648 	246737 	241522 	278039 
CP_MNAC,PAID,B8N,S1,EE	200 	299 	366 	496 	471 	718 	797 	759 	890 	980 	1426 	1535 	1815 	1392 	888 	996 	1961 	2162 	2220 	2391 	2200 	2138 	3130 
CP_MNAC,PAID,B8N,S1,EL	5015 p	4620 p	6282 p	5969 p	4884 p	3303 p	2685 p	1884 p	3480 p	4723 p	-3470 p	-981 p	-6691 p	-15403 p	-23843 p	-25009 p	-26971 p	-20642 p	-17994 p	-14461 p	-13459 p	-12789 p	: 
CP_MNAC,PAID,B8N,S1,ES	: 	: 	: 	: 	54388 	57121 	61452 	69385 	79023 	74337 	71473 	73595 	70842 	53234 	41598 	30545 	13410 	16860 	23959 	27313 	43100 	57689 	65737 
CP_MNAC,PAID,B8N,S1,FI	5389 	5082 	9625 	12560 	15059 	18705 	20562 	19380 	15214 	18301 	17005 	18617 	22834 	19085 	6630 	7831 	6819 	2853 	684 	907 	2110 	5734 	10188 
CP_MNAC,PAID,B8N,S1,FR	69378 	68946 	90029 	112191 	127756 	126614 	130702 	114013 	107366 	116692 	113382 	125864 	137769 	125284 	59744 	67676 	86530 	71891 	69569 	74211 	97555 	87834 p	110205 p
CP_MNAC,PAID,B8N,S1,HR	: 	: 	: 	: 	: 	: 	: 	9045 	11417 	16227 	21791 	25119 	25458 	27536 	13294 	13544 	14177 	14515 	: 	: 	: 	: 	: 
CP_MNAC,PAID,B8N,S1,HU	60787 	124316 	287729 	381955 	60629 	199771 	424833 	397842 	45632 	359653 	265473 	582337 	262225 	492269 	469502 	797667 	988880 	835740 	2136759 	2546960 	2930716 	3327153 	3647267 
CP_MNAC,PAID,B8N,S1,IE	5183 	6067 	8662 	11082 	11996 	14562 	14483 	14891 	18164 	20069 	21072 	22053 	18112 	7455 	-308 	2519 	2368 	4601 	11839 	18850 	27440 	36254 	: 
CP_MNAC,PAID,B8N,S1,IT	70241 	77829 	80436 	74929 	72208 	70841 	78419 	77906 	71069 	78331 	69349 	73788 	81368 	44378 	4829 	-5381 	-3932 	-12604 	-7867 	10630 	11247 	38609 	46429 
CP_MNAC,PAID,B8N,S1,LT	-579 	-531 	-102 	-244 	-574 	-251 	-1 	277 	314 	449 	981 	1069 	1606 	874 	-77 	925 	1431 	1724 	2645 	3576 	1952 	1473 	2643 
CP_MNAC,PAID,B8N,S1,LU	3040 	2973 	3048 	3532 	3522 	3910 	4041 	3510 	2738 	4084 	5296 	2694 	6372 	5572 	498 	4325 	3799 	2994 	2775 	3205 	4527 	4934 	: 
CP_MNAC,PAID,B8N,S1,LV	-1036 	-1091 	-1045 	-1010 	-1164 	-633 	-444 	-323 	-213 	-283 	102 	-836 	-258 	70 	1186 	-694 	-476 	-487 	-560 	-703 	-307 	145 	666 
CP_MNAC,PAID,B8N,S1,NL	39747 	43267 	47685 	47198 	55442 	61504 	55583 	50315 	53589 	56759 	52726 	73897 	80434 	69489 	58004 	64451 	76471 	77928 	75591 	69831 	82801 	84314 	107967 p
CP_MNAC,PAID,B8N,S1,PL	23075 	26776 	32762 	44584 	42268 	38718 	28849 	15727 	21873 	3235 	30872 	46142 	68476 	76125 	76255 	75238 	107556 	108644 	117747 	130290 	164685 	163865 	: 
CP_MNAC,PAID,B8N,S1,PT	4768 	4091 	5168 	6331 	6324 	3234 	3189 	2074 	215 	-1234 	-4570 	-6186 	-5352 	-10280 	-11277 	-11577 	-8275 	-7487 	-3720 	-4276 	-4155 	-2544 	-242 p
CP_MNAC,PAID,B8N,S1,RO	-818 	-1190 	-2348 	-4032 	-5610 	-3653 	-4361 	-2406 	-9659 	-8876 	-12088 	-2920 	8457 	16074 	22588 	20488 	28878 	24359 	42600 b	41775 	46555 	33057 p	: 
CP_MNAC,PAID,B8N,S1,SE	200873 	195697 	207045 	240095 	255724 	289936 	297503 	287586 	338121 	361124 	393607 	505494 	587653 	558781 	329328 	450444 	462129 	422573 	412470 	450992 	525343 	545447 	587978 
CP_MNAC,PAID,B8N,S1,SI	584 	596 	864 	959 	1039 	936 	1258 	1630 	1708 	1917 	2210 	3138 	3856 	3690 	1050 	571 	476 	-305 	493 	1744 	1235 	1619 	3282 
CP_MNAC,PAID,B8N,S1,SK	1278 	947 	1160 	1034 	799 	853 	724 	381 	-1054 	-139 	276 	662 	3037 	2797 	-1516 	-279 	-348 	877 	1369 	1829 	1708 	1565 	2341 
CP_MNAC,PAID,B8N,S1,UK	45307 	54216 	54511 	60981 	34112 	42855 	39295 	38220 	43971 	35876 	46553 	37687 	40689 	15979 	-21930 	2644 	24500 	-3032 	-16151 	1093 	1228 	-3285 	23864 
CP_MNAC,PAID,B8N,S11,AT	1256 	894 	1485 	2759 	2836 	3806 	1945 	7785 	7501 	7178 	6204 	10317 	8085 	7557 	6571 	12067 	12768 	7649 	8356 	7880 	8602 	17060 	16093 
CP_MNAC,PAID,B8N,S11,BE	9153 	8348 	9534 	6790 	6441 	9451 	5694 	4321 	8147 	7133 	7463 	2848 	8428 	6742 	10609 	7516 	1391 	5038 	4896 	5953 	7112 	12382 	: 
CP_MNAC,PAID,B8N,S11,BG	-507 b	-202 b	1349 b	2201 b	242 b	448 	2156 	3106 	2736 	2931 	3398 	2402 	578 	2527 	5668 	5988 	7257 	9914 	9439 	9297 	8427 	4749 	: 
CP_MNAC,PAID,B8N,S11,CY	287 	-4 	-390 	520 	-346 	-772 	-754 	202 	362 	42 	-599 	-824 	-1484 	-1018 	-1201 	-1394 	-1062 	-1326 	-886 	-1523 	-1489 	-1718 p	: 
CP_MNAC,PAID,B8N,S11,CZ	44144 	71205 	-1779 	29693 	26254 	61148 	65226 	58469 	42090 	43403 	93285 	79256 	120711 	127150 	34922 	9580 	22355 	59631 	8705 	43536 	93710 	63807 	97275 
CP_MNAC,PAID,B8N,S11,DE	6969 	12253 	8624 	15968 	-15167 	-15302 	16837 	21040 	11169 	49083 	29458 	42892 	68464 	29547 	13110 	69813 	81432 	61844 	80092 	92146 	128197 	131268 	108707 
CP_MNAC,PAID,B8N,S11,DK	61665 	69661 	88737 	73065 	93414 	117603 	72972 	119447 	112501 	97512 	87947 	92284 	50705 	46959 	16717 	44397 	75967 	89606 	96435 	134168 	133094 	130976 	111513 
