unit,co_nco,na_item,finpos,sector,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,NCO,F4,LIAB,S11,AT	: 	8864.5 	5961.7 	9821.9 	16127.6 	19034.0 	13412.2 	6862.7 	7098.0 	-101.5 	8007.2 	13195.5 	21766.0 	11984.1 	-10115.7 	5816.4 	6396.9 	592.6 	7031.6 	3272.1 	5812.3 	14579.4 	14605.5 
MIO_NAC,NCO,F4,LIAB,S11,BE	2390.9 	4964.5 	20510.7 	24664.2 	34181.8 	39614.6 	28385.0 	7007.0 	40273.2 	22489.5 	6234.1 	9919.0 	45958.8 	55987.4 	26489.3 	-31378.9 	55102.2 	36338.1 	-7734.5 	-2433.9 	297.9 	89096.6 	-15220.3 
MIO_NAC,NCO,F4,LIAB,S11,BG	0.0 	719.0 	509.0 	697.0 	1740.0 	2538.0 	4525.0 	1306.0 	4115.0 	5802.0 	7322.0 	6641.0 	19937.0 	21266.0 	6270.0 	2475.0 	2527.0 	3177.0 	5232.0 	1103.0 	-1320.0 	2736.0 	3011.0 
MIO_NAC,NCO,F4,LIAB,S11,CY	4277.9 	1252.4 	1260.2 	463.2 	515.7 	2956.8 	-204.9 	-1583.3 	133.1 	591.6 	2307.8 	808.4 	3059.7 	3141.6 	1004.2 	806.1 	1471.7 	1941.5 	-1050.0 	391.9 	954.3 	1906.3 	1689.8 
MIO_NAC,NCO,F4,LIAB,S11,CZ	133892.0 	181840.0 	217047.0 	-49757.0 	6172.0 	-10697.0 	-41077.0 	57611.0 	-103604.0 	82675.0 	31699.0 	137313.0 	111780.0 	181578.0 	-60196.0 	20783.0 	83018.0 	98518.0 	189321.0 	-32644.0 	65281.0 	13466.0 	170258.0 
MIO_NAC,NCO,F4,LIAB,S11,DE	36271.0 	54377.0 	47264.0 	83731.0 	84380.0 	93273.0 	57543.0 	26393.0 	-13191.0 	-58209.0 	-11920.0 	40738.0 	49711.0 	33599.0 	-11805.0 	14466.0 	17492.0 	24613.0 	32358.0 	-459.0 	54654.0 	32730.0 	105825.0 
MIO_NAC,NCO,F4,LIAB,S11,DK	-68229.0 	36317.0 	20969.0 	-14500.0 	56275.0 	142491.0 	35373.0 	26633.0 	31717.0 	44194.0 	52099.0 	308193.0 	132403.0 	171354.0 	-145381.0 	-27684.0 	24837.0 	77544.0 	-52592.0 	-108314.0 	54944.0 	17649.0 	-28978.0 
MIO_NAC,NCO,F4,LIAB,S11,EE	284.4 	486.9 	527.2 	808.5 	379.7 	681.4 	1143.6 	1045.1 	1407.1 	1558.2 	1609.4 	3038.5 	1177.7 	1816.8 	-321.8 	-900.6 	12.7 	1617.5 	838.1 	1030.7 	100.2 	338.0 	221.5 
MIO_NAC,NCO,F4,LIAB,S11,EL	2763.1 	3149.6 	3594.8 	5945.7 	5744.5 	6673.8 	9517.4 	4944.2 	8488.3 	6104.8 	9459.7 	13752.5 	13383.8 	15320.6 	3315.0 	9838.3 	-7580.5 	-5188.6 	-5498.5 	-1519.4 	-1535.4 	-665.0 	91.9 
MIO_NAC,NCO,F4,LIAB,S11,ES	5563.0 	10230.0 	19692.0 	37232.0 	78001.0 	116053.0 	90464.0 	68937.0 	67968.0 	89959.0 	141366.0 	234299.0 	188163.0 	88969.0 	-23657.0 	35312.0 	6254.0 	-80260.0 	-57969.0 	-34644.0 	-8400.0 	-1252.0 	569.0 
