co_nco,sector,finpos,na_item,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT	181741.7 	190274.2 	205016.3 	214266.5 	234293.4 	259400.3 	270875.1 	277087.2 	289254.7 	297830.2 	313728.4 	327549.9 	351885.2 	372198.9 	380015.9 	391499.1 	401390.3 	408450.0 	411587.2 	415800.6 	427704.1 	442226.5 	453222.8 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE	195566.2 	210130.5 	228731.2 	246068.8 	271793.7 	294648.7 	299732.1 	307580.1 	330591.3 	360474.8 	375992.3 	400624.2 	463676.3 	575941.6 	600003.0 	617703.3 	687974.2 	733416.9 	663715.7 	667416.0 	743626.1 	844745.8 	821209.6 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG	391.0 	1123.0 	1889.0 	2755.0 	4077.0 	7491.0 	8878.0 	10874.0 	15033.0 	23413.0 	33870.0 	48518.0 	78338.0 	95637.0 	97662.0 	99083.0 	100314.0 	102533.0 	108339.0 	103395.0 	97835.0 	98673.0 	101100.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CY	24384.6 	25107.6 	26394.1 	28084.6 	29543.6 	32274.5 	31280.1 	32909.4 	33141.0 	34315.6 	39495.7 	41475.0 	46498.9 	54165.5 	57145.5 	60900.5 	63457.8 	63941.3 	61692.6 	62054.8 	62724.3 	62459.6 	61908.5 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,CZ	1022596.0 	1183645.0 	1425647.0 	1332309.0 	1361204.0 	1352364.0 	1300448.0 	1392402.0 	1300936.0 	1436781.0 	1564600.0 	1856735.0 	2204534.0 	2568878.0 	2589337.0 	2690158.0 	2756980.0 	2869270.0 	3019209.0 	3085841.0 	3131719.0 	3284538.0 	3402876.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DE	2005758.0 	2122950.0 	2229323.0 	2354874.0 	2471123.0 	2603335.0 	2683320.0 	2697413.0 	2728822.0 	2699679.0 	2690879.0 	2729135.0 	2785933.0 	2809501.0 	2780613.0 	2753156.0 	2771693.0 	2806950.0 	2903443.0 	2898735.0 	2995297.0 	3111864.0 	3279545.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,DK	1431580.0 	1553526.0 	1651566.0 	1732530.0 	1836222.0 	2097419.0 	2318650.0 	2356833.0 	2489463.0 	2604996.0 	2977137.0 	3363922.0 	3624993.0 	4004187.0 	3998847.0 	3995537.0 	4081505.0 	4244903.0 	4170603.0 	4239375.0 	4319053.0 	4405804.0 	4385959.0 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EE	802.2 	1289.2 	2336.8 	2850.3 	2909.1 	3330.2 	4300.8 	5284.0 	6514.3 	8291.5 	10880.3 	15416.4 	19988.0 	22571.2 	21673.3 	20665.8 	20073.4 	21135.3 	21935.1 	23287.2 	23434.9 	24330.7 	25123.3 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,EL	33239.8 	37356.9 	42402.1 	50570.1 	58655.5 	74655.5 	91357.0 	104233.7 	121475.3 	142616.2 	170709.7 	201602.7 	236187.9 	273557.6 	276653.6 	289539.7 	269587.2 	251431.1 	235418.0 	230866.9 	224664.8 	218799.4 	209714.9 
CO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,ES	344929.0 	367829.0 	407908.0 	471073.0 	559172.0 	665415.0 	768098.0 	872237.0 	1014999.0 	1185317.0 	1438661.0 	1789659.0 	2069387.0 	2186891.0 	2175461.0 	2168273.0 	2102416.0 	1955123.0 	1817539.0 	1720864.0 	1673557.0 	1642087.0 	1618835.0 
