sectperf,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,MIO_NAC,AT	2701.68 e	2885.55 e	3123.21 e	3399.835 	3761.8 e	4028.67 e	4393.09 e	4684.313 	5041.98 e	5249.546 	6029.81 e	6318.587 	6867.815 	7548.06 e	7479.745 	8066.44 e	8276.335 	9287.84 e	9571.282 	10222.38 e	10499.146 	10906.09 p
TOTAL,MIO_NAC,BE	3467.36 	3734.99 	4055.6 	4276.21 	4617.525 	4963.95 	5373.378 	5200.737 	5177.444 	5403.617 	5551.553 	5926.513 	6356.931 	6812.699 	6924.591 	7487.5 	8171 	8809.188 	9156.953 	9551.244 	10118.2 	10517.682 p
TOTAL,MIO_NAC,BG	5.447 	9.148 b	88.591 	127.598 	134.45 b	139.265 	138.539 	158.327 	173.01 	194 	208.142 	237.036 	273.047 	325.855 	361.06 	421.612 	429.566 	496.176 	521.682 	664.829 	850.457 	734.274 
TOTAL,MIO_NAC,CY	: 	: 	: 	18.419 	21.221 	24.04 	27.051 	33.217 	40.892 	46.508 	54.438 	61.353 	70.058 	73.365 	82.988 	86.198 	89.883 	85.322 	87.469 	89.521 	85.286 	91.4 p
TOTAL,MIO_NAC,CZ	13982.6 b	16264.3 	19477.4 	22865 	23646.7 	26487.2 	28337 	29552.2 	32246.596 	35083.039 	38145.745 	43268.254 	50008.888 	49871.977 	50874.619 	52973.568 	62753.403 	72360.307 	77853.386 	85104.467 	88663.39 	80109.157 p
TOTAL,MIO_NAC,DE	40460.2 e	41168.45 e	42858.9 	44649.33 	48190.74 	50619 	52002 	53363.751 	54538.5 	54966.9 	55739.038 	58779.1 	61481.981 	66531.54 	67014.884 	70014.208 	75569.073 	79110.378 	79729.508 	84246.766 	88781.819 	92419.184 e
TOTAL,MIO_NAC,DK	18543 	19657 e	21652 	23793.14 	26415.11 	29009 	31883.38 	34431 	36074.597 	36432.619 	37958.515 	40424.757 	43739.13 b	49963 	52613.9 	52825.9 	54383.4 	56494.7 	57320.7 	57732 	59950 p	59319 e
TOTAL,MIO_NAC,EE	: 	: 	: 	28.818 	36.609 	37.03 	48.797 	55.699 	66.864 	82.702 	104.023 	150.991 	173.648 	208.039 	197.393 	232.76 	384.447 	380.695 	326.045 	286.736 	302.82 	270.33 
TOTAL,MIO_NAC,EL	388.56 b	: 	492.23 	: 	760.23 	: 	851.5 	: 	977.78 	1021.47 e	1153.526 	1222.6 e	1341.6 e	1601.57 be	1485.94 e	1352.52 e	1391.156 	1337.6 	1465.67 	1488.74 	1703.82 	1754.18 
TOTAL,MIO_NAC,ES	3550.108 	3852.634 e	4038.901 	4715.016 	4995.358 	5718.99 	6227.157 	7193.538 	8213.036 	8945.761 	10196.871 	11815.218 	13342.371 	14701.393 	14581.676 	14588.455 	14184.295 	13391.607 	13011.798 	12820.756 	13172 	13260 
