Country,Indicator,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union,HWCDW,1000 ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6611,22.50762,23.36067,24.06297,25.16265,26.62723,27.56899,28.30423,28.6662,29.51141,30.34885,31.30278,32.35297,32.52688,32.25339,33.51899,34.17036,35.21477,35.56059,36.1988,37.33281,37.13899,37.50572,38.5198,39.48441
European Union excluding UK,HWCDW,1000 ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.75446,22.55948,22.73037,23.15424,24.04769,25.01623,25.89142,26.6566,27.37039,27.94694,28.74665,29.47064,30.37924,31.54965,31.75499,32.81147,33.57107,34.23338,34.74644,35.09094,35.53629,36.00227,36.71054,37.67083,38.56167
European Union (15 countries),HWCDW,1000 ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4394,24.86151,25.33029,25.86087,26.49636,27.43916,28.36052,28.97128,30.05716,31.49453,32.3139,33.12646,33.55276,34.60007,35.39656,36.51712,37.65303,37.59821,37.50422,38.71341,39.48579,40.73438,41.16813,41.98713,43.36636,43.03199,43.25781,44.25751,45.1976
Euro area,HWCDW,1000 ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.50773,27.29975,27.34635,27.63812,28.4471,29.20182,29.98539,30.80493,31.64775,32.37195,33.10949,33.93577,34.86142,36.0767,36.76082,37.55451,38.35977,39.05646,39.69543,40.23249,40.78834,41.25779,41.9138,42.92976,43.76432
Euro area (12 countries),HWCDW,1000 ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6883,25.41748,26.21086,26.83671,27.74952,28.54475,28.54051,28.80276,29.58952,30.29328,31.07585,31.91725,32.78521,33.49791,34.2361,35.05123,35.94941,37.16051,37.82234,38.60973,39.45543,40.18051,40.84228,41.38826,41.94807,42.41135,43.05508,44.06712,44.88845
EU15 (including D_W West-Germany),HWCDW,1000 ECU/EUR- Standard aggregation,1.54503,1.67963,1.82901,2.00168,2.19217,2.3805,2.57066,2.74334,2.9589,3.23983,3.66784,4.10037,4.55727,5.19536,6.10771,7.14021,8.10397,8.89294,9.67893,10.767,12.15563,13.55551,14.68621,15.50548,16.50747,17.46812,18.12124,18.75382,19.75747,21.03064,22.41283,23.99577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EA12 (including D_W West-Germany),HWCDW,1000 ECU/EUR- Standard aggregation,1.41216,1.55504,1.72074,1.91505,2.11302,2.30382,2.49628,2.67334,2.96648,3.26104,3.70303,4.15717,4.65996,5.46397,6.42538,7.47521,8.57497,9.49387,10.34803,11.42386,12.56302,13.70785,14.94721,15.89879,16.93111,17.80869,18.83359,19.57867,20.30391,21.49577,23.02246,24.42959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,HWCDW,1000 EURO-BEF,2.37003,2.44845,2.62925,2.84353,3.12466,3.42579,3.72688,4.00515,4.26015,4.62163,5.05131,5.67133,6.50124,7.40561,8.76314,10.20996,11.80244,12.85433,13.78471,14.59994,16.13214,17.26814,18.53362,19.69522,21.15371,22.17544,22.96493,23.40797,23.89536,25.23811,26.91932,28.92129,30.44832,31.85572,33.27083,33.60181,34.23102,35.28292,35.76268,37.00608,37.72164,39.10307,40.62987,41.4324,42.17357,42.9292,44.46418,46.04182,47.72464,48.23526,48.89888,50.42261,52.01729,53.34865,53.83415,53.85284,53.90613,54.83335,55.95247,57.1752
Bulgaria,HWCDW,1000 BGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1398,0.24019,2.30047,3.65766,3.9016,4.28735,4.86155,5.15146,5.36459,5.6956,6.22689,6.61911,7.46005,8.7124,9.41526,10.3495,11.05119,11.90577,12.95386,13.67889,14.45082,15.28976,16.44129,17.69371,18.92456
Czech Republic,HWCDW,1000 CZK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.0542,120.9587,137.6842,161.1597,178.0003,193.0563,205.0123,220.2659,238.677,257.3096,277.2185,299.1288,310.787,329.2334,349.4519,363.7212,361.7063,374.2546,384.4762,391.2028,390.1857,400.2566,412.1631,431.125,460.1695,491.5416,522.0543
Denmark,HWCDW,1000 DKK,11.8055,13.3228,14.8043,15.4863,17.1403,19.5081,21.4955,23.8241,26.1622,29.0955,32.3322,36.4454,39.3962,44.4969,52.5799,59.5788,66.6695,73.8461,80.8026,88.6461,97.6884,107.4739,120.8466,131.5568,139.2518,146.3596,153.4211,164.501,173.7179,180.9581,188.1617,196.244,203.9748,208.417,209.7305,217.0293,225.8561,232.8232,242.1527,251.8127,259.7165,270.1182,280.2297,290.1774,299.3295,309.3596,320.2441,332.219,345.1377,354.7176,366.232,371.2924,378.1493,384.1531,389.7905,396.6984,401.8775,407.1579,416.0341,427.6859
Germany,HWCDW,1000 EURO-DEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.25415,26.74665,27.84452,28.65009,29.64281,29.95363,30.15716,30.43278,30.77649,31.19331,31.7828,32.18324,32.67624,32.73816,32.81811,33.14995,33.43958,34.14499,34.21493,35.09055,36.12884,37.03453,37.70922,38.75465,39.78874,40.66149,41.71483,42.99068,44.307
West Germany,HWCDW,1000 EURO-DEM,3.64089,4.01253,4.37672,4.64239,5.0232,5.4995,5.91808,6.1127,6.52268,7.1443,8.28524,9.23774,10.12015,11.31356,12.57948,13.45268,14.50075,15.44014,16.26077,17.17521,18.31081,19.15327,19.90062,20.52431,21.12385,21.6283,22.31739,22.94974,23.53464,24.14031,25.25381,26.7429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,HWCDW,1000 EURO-EEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10051,1.72175,2.45469,3.15834,3.79199,4.31095,4.67745,5.21809,5.74206,6.34614,7.04744,7.90996,8.74483,10.03967,12.60675,13.93914,13.52851,13.89028,14.00026,15.08918,15.81541,16.83615,17.39642,18.42065,19.4143,20.67514,21.87836
Ireland,HWCDW,1000 EURO-IEP,0.52246,0.56574,0.61357,0.6452,0.73352,0.77256,0.83836,0.90519,1.00095,1.14045,1.33239,1.52943,1.77056,2.10427,2.48232,3.19986,3.82584,4.39465,5.07417,6.03287,7.30678,8.62902,9.85711,11.11618,12.31015,13.43871,14.13059,14.84523,15.88614,16.92644,17.6407,18.44005,19.8738,20.96096,21.4198,22.06705,22.9756,24.60358,26.6156,27.94158,30.14204,32.54133,34.21867,36.44235,38.32473,40.3405,42.12247,44.54568,46.30193,45.77833,44.13771,44.521,44.65166,44.74341,45.55094,46.51483,47.46459,48.86138,50.06078,51.42483
Greece,HWCDW,1000 EURO-GRD,0.07876,0.08238,0.08782,0.09458,0.10716,0.12023,0.13538,0.14824,0.16278,0.1784,0.19409,0.20963,0.23604,0.27664,0.33002,0.39703,0.48914,0.59673,0.73459,0.89695,1.03774,1.2588,1.60464,1.9509,2.3574,2.85262,3.196,3.55653,4.26972,5.25856,6.20231,7.15424,7.97911,8.76166,9.71981,10.98498,12.00576,13.65493,14.46222,15.40426,16.20097,17.11573,18.94649,20.39061,21.28085,23.09039,23.80112,24.89271,25.8015,26.59967,26.07305,25.09098,24.33227,22.5128,22.06313,21.55266,21.36244,21.38473,21.55581,21.83604
