Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,age,topn,personality
1,337,118.0,4,4.5,4.5,9.65,1,0.92,25,41,1
2,324,107.0,4,4.0,4.5,8.87,1,0.76,18,39,1
3,316,,3,3.0,3.5,8.0,1,0.72,21,76,1
4,322,,3,3.5,2.5,8.67,1,0.8,24,47,1
5,314,103.0,2,2.0,3.0,8.21,0,0.65,23,51,1
6,330,,5,4.5,3.0,9.34,1,0.9,23,39,1
7,321,109.0,3,3.0,4.0,8.2,1,0.75,18,54,1
8,308,,2,3.0,4.0,7.9,0,0.68,26,8,1
9,302,102.0,1,2.0,1.5,8.0,0,0.5,25,97,1
10,323,,3,3.5,3.0,8.6,0,0.45,24,84,1
11,325,106.0,3,3.5,4.0,8.4,1,0.52,20,20,1
12,327,111.0,4,4.0,4.5,9.0,1,0.84,23,13,1
13,328,112.0,4,4.0,4.5,9.1,1,0.78,20,61,1
14,307,109.0,3,4.0,3.0,8.0,1,0.62,23,61,1
15,311,104.0,3,3.5,2.0,8.2,1,0.61,26,56,1
16,314,,3,3.5,2.5,8.3,0,0.54,25,31,1
17,317,107.0,3,4.0,3.0,8.7,0,0.66,19,18,1
18,319,106.0,3,4.0,3.0,8.0,1,0.65,21,22,1
19,318,110.0,3,4.0,3.0,8.8,0,0.63,22,18,1
20,303,102.0,3,3.5,3.0,8.5,0,0.62,26,99,1
21,312,107.0,3,3.0,2.0,7.9,1,0.64,20,83,1
22,325,114.0,4,3.0,2.0,8.4,0,0.7,18,31,1
23,328,116.0,5,5.0,5.0,9.5,1,0.94,18,46,1
24,334,119.0,5,5.0,4.5,9.7,1,0.95,21,3,1
25,336,119.0,5,4.0,3.5,9.8,1,0.97,18,59,1
26,340,120.0,5,4.5,4.5,9.6,1,0.94,21,10,1
27,322,109.0,5,4.5,3.5,8.8,0,0.76,21,33,1
28,298,98.0,2,1.5,2.5,7.5,1,0.44,22,91,1
29,295,,1,2.0,2.0,7.2,0,0.46,24,34,1
30,310,99.0,2,1.5,2.0,7.3,0,0.54,20,58,1
31,300,97.0,2,3.0,3.0,8.1,1,0.65,19,30,1
32,327,,3,4.0,4.0,8.3,1,0.74,21,97,1
33,338,118.0,4,3.0,4.5,9.4,1,0.91,20,29,1
34,340,,5,4.0,4.0,9.6,1,0.9,22,32,1
35,331,112.0,5,4.0,5.0,9.8,1,0.94,24,36,1
36,320,110.0,5,5.0,5.0,9.2,1,0.88,25,55,1
37,299,106.0,2,4.0,4.0,8.4,0,0.64,21,39,1
38,300,105.0,1,1.0,2.0,7.8,0,0.58,19,68,1
39,304,105.0,1,3.0,1.5,7.5,0,0.52,19,27,1
40,307,108.0,2,4.0,3.5,7.7,0,0.48,26,68,1
41,308,,3,3.5,3.0,8.0,1,0.46,21,31,1
42,316,,2,2.5,2.5,8.2,1,0.49,20,15,1
43,313,,2,2.5,2.0,8.5,1,0.53,18,68,1
44,332,117.0,4,4.5,4.0,9.1,0,0.87,24,5,1
45,326,113.0,5,4.5,4.0,9.4,1,0.91,21,34,1
46,322,110.0,5,5.0,4.0,9.1,1,0.88,21,76,1
47,329,114.0,5,4.0,5.0,9.3,1,0.86,25,59,1
48,339,,5,4.5,4.0,9.7,0,0.89,25,95,1
49,321,110.0,3,3.5,5.0,8.85,1,0.82,18,35,1
50,327,111.0,4,3.0,4.0,8.4,1,0.78,19,29,1
51,313,98.0,3,2.5,4.5,8.3,1,0.76,26,61,1
52,312,100.0,2,1.5,3.5,7.9,1,0.56,23,42,1
53,334,116.0,4,4.0,3.0,8.0,1,0.78,19,44,1
54,324,112.0,4,4.0,2.5,8.1,1,0.72,21,62,1
55,322,110.0,3,3.0,3.5,8.0,0,0.7,23,13,1
56,320,103.0,3,3.0,3.0,7.7,0,0.64,26,23,1
57,316,102.0,3,2.0,3.0,7.4,0,0.64,26,14,1
58,298,99.0,2,4.0,2.0,7.6,0,0.46,26,98,1
59,300,,1,3.0,2.0,6.8,1,0.36,20,56,1
60,311,,2,2.0,2.0,8.3,0,0.42,24,34,1
61,309,100.0,2,3.0,3.0,8.1,0,0.48,23,16,1
62,307,,3,4.0,3.0,8.2,0,0.47,24,50,1
63,304,105.0,2,3.0,3.0,8.2,1,0.54,24,65,1
64,315,107.0,2,4.0,3.0,8.5,1,0.56,21,71,1
65,325,111.0,3,3.0,3.5,8.7,0,0.52,20,7,1
66,325,,4,3.5,3.5,8.92,0,0.55,18,47,1
