E1,E2,beta,pvalue,intercept,rvalue,stderr
ML FP Equity,CBT US Equity,0.10802667578423913,0.02020678760589722,0.0006914146821050348,0.16252261271929774,0.046145438933253236
ML FP Equity,OEC US Equity,0.0822659553313927,0.03178710115127263,0.0006317316775660501,0.15039358849644188,0.03804935117692437
ML FP Equity,BEKB BB Equity,0.07054428475104867,0.029908709271198174,0.0009356594258733441,0.15207040290594098,0.032259739811993
ML FP Equity,ANA SM Equity,0.20723157253368435,0.000835815330843519,0.0006807732270379268,0.2321161037235693,0.061101034417426744
ML FP Equity,SOP FP Equity,0.21412413172662384,8.504711423180758e-05,0.000329260981385878,0.27161368059084834,0.053382237787501466
ML FP Equity,ATO FP Equity,0.25472522894201965,9.981436076914953e-06,0.0004006019992397654,0.30381646979285687,0.05620242661163646
ML FP Equity,ALFA SS Equity,0.3024606134238694,4.290031069361459e-07,0.00032853887219547233,0.34514704024861553,0.05786897205756992
ML FP Equity,CAP FP Equity,0.23788014628634527,4.238274260053961e-06,0.0003577623455762734,0.3156853818120797,0.05030741171796046
ML FP Equity,DSY FP Equity,0.2157629362659626,0.0004836994702497471,0.0005777794425466638,0.24216389688508277,0.060823143113725026
ML FP Equity,004800 KS Equity,0.10804231813061162,0.0023632555109973316,0.0008278700973032398,0.2117472189275574,0.03508643679281488
ML FP Equity,VOW GR Equity,0.2753997943504257,1.2512625560726746e-07,0.00040656562051596186,0.35982343634950514,0.05024462700048981
ML FP Equity,DAI GR Equity,0.41089491384463744,2.223716261982453e-08,0.00042060644643370393,0.37923465098243514,0.07053909469179682
ML FP Equity,BMW GR Equity,0.45613858320591993,2.9562619881838735e-11,0.0002631039462931476,0.44382122916707584,0.06480029280215714
ML FP Equity,F US Equity,0.16343456694761185,0.0020190924184881327,0.0010007842817000173,0.21495031225429637,0.05224659387511835
ML FP Equity,GM US Equity,0.16156186594600036,0.000970822918089087,0.0008218731018351029,0.22928967232469818,0.04825600755142331
ML FP Equity,FCAU US Equity,0.09494392792465095,0.0031306818808639167,0.00035128382925806915,0.20590777011412464,0.03174762887369552
ML FP Equity,RNO FP Equity,0.2902118484467198,7.822802891679865e-09,0.0004887384423249264,0.3903850591574138,0.048155025150682595
ML FP Equity,UG FP Equity,0.23151243292216372,6.681407171355941e-08,0.00017683901529007067,0.3670219429405545,0.041284656413860164
ML FP Equity,TTMT IN Equity,0.09517396504476439,0.0211548820875926,0.0006718509177042594,0.16132953757889779,0.0409639661908169
ML FP Equity,AIR FP Equity,0.2826312974348874,2.7741048922006526e-08,0.0002757779766881421,0.3768198217053349,0.048882813944424446
